"Name","AIC"
"preserved ~ RndCumErr",1289.50845156259
"preserved ~ RndCumErr",1297.36519596546
"preserved ~ RndCumErr",1303.97779949102
"preserved ~ RndCumErr",1315.63309264248
"preserved ~ RndCumErr",1320.22429106741
"preserved ~ RndCumErr",1320.9216598284
"preserved ~ RndCumErr",1322.52243686
"preserved ~ RndCumErr",1322.54237325568
"preserved ~ RndCumErr",1323.85518097326
"preserved ~ RndCumErr",1325.98462263718
"preserved ~ RndCumErr",1326.07668372025
"preserved ~ RndCumErr",1329.96629323152
"preserved ~ RndCumErr",1334.13652399785
"preserved ~ RndCumErr",1334.27779420922
"preserved ~ RndCumErr",1334.52612244086
"preserved ~ RndCumErr",1336.1899657885
"preserved ~ RndCumErr",1338.13627454912
"preserved ~ RndCumErr",1338.65405739008
"preserved ~ RndCumErr",1339.71909317783
"preserved ~ RndCumErr",1340.43861111379
"preserved ~ RndCumErr",1340.46291059172
"preserved ~ RndCumErr",1340.8928214313
"preserved ~ RndCumErr",1341.40859935616
"preserved ~ RndCumErr",1341.42416153014
"preserved ~ RndCumErr",1341.50208178298
"preserved ~ RndCumErr",1341.81464468404
"preserved ~ RndCumErr",1343.15661255906
"preserved ~ RndCumErr",1344.82736436036
"preserved ~ RndCumErr",1348.82279736755
"preserved ~ RndCumErr",1349.45970395004
"preserved ~ RndCumErr",1351.23241645912
"preserved ~ RndCumErr",1353.63744045409
"preserved ~ RndCumErr",1353.65048254904
"preserved ~ RndCumErr",1355.59070971981
"preserved ~ RndCumErr",1356.22270201378
"preserved ~ RndCumErr",1357.17658542861
"preserved ~ RndCumErr",1357.19832672204
"preserved ~ RndCumErr",1358.14447158446
"preserved ~ RndCumErr",1359.48572156365
"preserved ~ RndCumErr",1359.65018411761
"preserved ~ RndCumErr",1360.00727539149
"preserved ~ RndCumErr",1360.39283730731
"preserved ~ RndCumErr",1360.84643462665
"preserved ~ RndCumErr",1360.97813780789
"preserved ~ RndCumErr",1362.38176805265
"preserved ~ RndCumErr",1362.4080397793
"preserved ~ RndCumErr",1362.61306000891
"preserved ~ RndCumErr",1363.51926591381
"preserved ~ RndCumErr",1364.46913560733
"preserved ~ RndCumErr",1364.4856812951
"preserved ~ RndCumErr",1364.63828019316
"preserved ~ RndCumErr",1364.66216732214
"preserved ~ RndCumErr",1365.19338535019
"preserved ~ RndCumErr",1365.26025741743
"preserved ~ RndCumErr",1366.65570870929
"preserved ~ RndCumErr",1367.02901713783
"preserved ~ RndCumErr",1367.58383346092
"preserved ~ RndCumErr",1369.55959450661
"preserved ~ RndCumErr",1369.71350902685
"preserved ~ RndCumErr",1370.86872940361
"preserved ~ RndCumErr",1371.09614131474
"preserved ~ RndCumErr",1371.66565985178
"preserved ~ RndCumErr",1372.18088731961
"preserved ~ RndCumErr",1372.77081098137
"preserved ~ RndCumErr",1374.78568039133
"preserved ~ RndCumErr",1375.70094119399
"preserved ~ RndCumErr",1376.08161718757
"preserved ~ RndCumErr",1377.73405611748
"preserved ~ RndCumErr",1378.5630984778
"preserved ~ RndCumErr",1379.09041941968
"preserved ~ RndCumErr",1379.44618742886
"preserved ~ RndCumErr",1379.73094104469
"preserved ~ RndCumErr",1381.22292738733
"preserved ~ RndCumErr",1382.01349283898
"preserved ~ RndCumErr",1382.09853962653
"preserved ~ RndCumErr",1382.12451360949
"preserved ~ RndCumErr",1382.21939584921
"preserved ~ RndCumErr",1383.75419705787
"preserved ~ RndCumErr",1384.33370709946
"preserved ~ RndCumErr",1384.36145965589
"preserved ~ RndCumErr",1384.36387907235
"preserved ~ RndCumErr",1385.13521696475
"preserved ~ RndCumErr",1385.33529033204
"preserved ~ RndCumErr",1386.67093318848
"preserved ~ RndCumErr",1388.41546994722
"preserved ~ RndCumErr",1389.90240810312
"preserved ~ RndCumErr",1391.36750562043
"preserved ~ RndCumErr",1391.94215225356
"preserved ~ RndCumErr",1392.80223589728
"preserved ~ RndCumErr",1396.67445257828
"preserved ~ RndCumErr",1398.40417733249
"preserved ~ RndCumErr",1400.02270883237
"preserved ~ RndCumErr",1400.80637135577
"preserved ~ RndCumErr",1402.138339283
"preserved ~ RndCumErr",1403.09464389366
"preserved ~ RndCumErr",1405.78121502592
"preserved ~ RndCumErr",1408.59592427626
"preserved ~ RndCumErr",1408.63907170066
"preserved ~ RndCumErr",1409.84627390956
"preserved ~ RndCumErr",1413.35338723489
"***preserved ~ CumErr",1526.55460862169
"Random average",1362.97949711102
"Random SD",26.2066070209679
