"Name","AIC"
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1256.80602082172
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1259.54916439785
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1275.24524563083
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1276.47280697119
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1280.87692523114
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1290.31962288267
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1290.55939249702
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1295.00604940351
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1295.61465621973
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1301.25316379282
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1301.9267516319
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1302.17874991294
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1303.15216422387
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1303.48711779931
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1303.65310715227
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1306.15387856183
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1306.16916563612
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1307.1513332973
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1307.42938996854
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1307.54480140728
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1307.62230265808
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1310.05606832327
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1311.99906949928
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1312.68812609038
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1314.67628977422
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1314.7545771955
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1315.26658803912
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1317.03950933875
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1317.04624969481
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1317.91286363245
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1319.15000469003
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1319.15109955317
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1319.30060846673
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1319.40653376969
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1319.46249058117
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1319.49710117702
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1321.05309658233
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1321.77158820167
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1322.79876787183
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1324.80578491117
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1327.15623384802
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1327.83402287857
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1328.94993951069
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1329.23875532216
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1329.86926759338
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1331.34510488924
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1332.56261707349
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1333.99593221501
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1334.63043338788
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1335.30286966308
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1335.42151573129
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1335.51242012771
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1336.49237808558
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1336.84883490018
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1337.26762814349
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1337.53827446233
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1337.80784123136
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1338.79828696416
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1339.3613769792
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1339.72893387879
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1340.14511350083
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1340.51436923124
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1340.70379154562
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1340.94270173362
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1341.66093132169
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1343.50724473847
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1343.70052694908
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1343.88159701284
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1345.79072377978
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1346.58115814947
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1347.45173127029
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1347.76808326354
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1348.8035304723
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1349.16610354717
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1349.99378105588
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1350.65184046446
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1351.66478975267
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1352.08153747056
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1354.61532955541
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1355.01994551233
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1355.33803680349
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1356.48192244625
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1357.29224856059
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1359.00146008482
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1359.44745514811
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1363.85164426085
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1364.62754901616
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1366.58903561082
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1370.09222212573
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1370.09399584823
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1371.59789472872
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1376.81370312755
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1376.99268114997
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1378.03469064585
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1379.51050640662
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1385.85347800988
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1386.25487288374
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1388.33331664313
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1394.66727298675
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1413.85197773869
"***preserved ~ CumErr + CumPres + stimlen + log_freq",1461.99940506955
"Random average",1333.11041688929
"Random SD",28.9761994686497
