"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + pos",1496.46675574483,0,1,0.999999707244115,0.162210922543356,2.60618397704912,-1.3210286255422,NA,0.225486040163631,NA,NA
"preserved ~ CumErr + CumPres",1496.46675574483,0,1,0.999999707244115,0.162210922543356,2.83167001721285,-1.0955425853786,NA,NA,NA,0.225486040163624
"preserved ~ CumErr + I(pos^2) + pos",1498.38183331385,0,1,0.999999237290351,0.162225963229738,2.63562326114851,-1.32236227288829,0.00240464976739068,0.205903496267017,NA,NA
"preserved ~ CumErr + stimlen",1523.96056607996,0,1,0.78533324098214,0.143141998179542,4.02895180114121,-1.03826396031067,NA,NA,-0.0897719171131018,NA
"preserved ~ CumErr",1526.55460862169,28.1727753078424,7.62710230815856e-07,7.62709649089403e-07,0.140560948408811,3.33843219712094,-1.07570613303848,NA,NA,NA,NA
"preserved ~ CumErr",1526.55460862169,2.59404254172978,0.273344801691314,0.21466675901786,0.140560948408811,3.33843219712094,-1.07570613303848,NA,NA,NA,NA
"preserved ~ CumErr",1526.55460862169,30.0878528768583,2.9275597100144e-07,2.92755885295406e-07,0.140560948408811,3.33843219712094,-1.07570613303848,NA,NA,NA,NA
"preserved ~ CumErr",1526.55460862169,30.0878528768596,2.9275597100124e-07,2.92755885295207e-07,0.140560948408811,3.33843219712094,-1.07570613303848,NA,NA,NA,NA
"preserved ~ CumPres",1705.08682862405,208.620072879215,4.99720041248521e-46,4.99719894952538e-46,0.0233403356336708,2.46325018567008,NA,NA,NA,NA,0.208114653074146
"preserved ~ stimlen",1711.08786327838,187.127297198421,2.32179411801375e-41,1.82338209959301e-41,0.0171872819376734,4.60144456274584,NA,NA,NA,-0.210263681449034,NA
"preserved ~ I(pos^2) + pos",1737.30442625187,238.92259293802,1.31406891666306e-52,1.31406791441002e-52,0.0022478396981831,2.61882164913298,NA,-0.0244346782520644,0.207796533658149,NA,NA
"preserved ~ pos",1737.55976976636,241.093014021533,4.43932757506814e-53,4.43932627542886e-53,1.56630456351019e-05,2.95658430848902,NA,NA,-0.00479236792404815,NA,NA
