"Name","AIC"
"preserved ~ RndCumErr",1998.82088138706
"preserved ~ RndCumErr",2007.79412616315
"preserved ~ RndCumErr",2013.84002674138
"preserved ~ RndCumErr",2015.12415763487
"preserved ~ RndCumErr",2016.84965821178
"preserved ~ RndCumErr",2018.54863144975
"preserved ~ RndCumErr",2022.50409921498
"preserved ~ RndCumErr",2025.57719108213
"preserved ~ RndCumErr",2025.99906353124
"preserved ~ RndCumErr",2028.12054261856
"preserved ~ RndCumErr",2028.30727946592
"preserved ~ RndCumErr",2028.59408280626
"preserved ~ RndCumErr",2031.24729408315
"preserved ~ RndCumErr",2032.4440550866
"preserved ~ RndCumErr",2033.12936873722
"preserved ~ RndCumErr",2034.25249692338
"preserved ~ RndCumErr",2034.40351768529
"preserved ~ RndCumErr",2034.74071342932
"preserved ~ RndCumErr",2035.16563811648
"preserved ~ RndCumErr",2035.54639890836
"preserved ~ RndCumErr",2035.6784815064
"preserved ~ RndCumErr",2036.63909312299
"preserved ~ RndCumErr",2038.32771907861
"preserved ~ RndCumErr",2038.94453892501
"preserved ~ RndCumErr",2041.2466518552
"preserved ~ RndCumErr",2042.01581743916
"preserved ~ RndCumErr",2042.64827880588
"preserved ~ RndCumErr",2043.80581814738
"preserved ~ RndCumErr",2044.32935730363
"preserved ~ RndCumErr",2044.86790156977
"preserved ~ RndCumErr",2046.69826765892
"preserved ~ RndCumErr",2046.91827250616
"preserved ~ RndCumErr",2049.31016916943
"preserved ~ RndCumErr",2049.38064122241
"preserved ~ RndCumErr",2049.66494237352
"preserved ~ RndCumErr",2051.59140561727
"preserved ~ RndCumErr",2051.88611802047
"preserved ~ RndCumErr",2052.10474935881
"preserved ~ RndCumErr",2052.16426675674
"preserved ~ RndCumErr",2052.84800990571
"preserved ~ RndCumErr",2053.54735535662
"preserved ~ RndCumErr",2054.52595805095
"preserved ~ RndCumErr",2054.57791790523
"preserved ~ RndCumErr",2055.38700367952
"preserved ~ RndCumErr",2055.52478774146
"preserved ~ RndCumErr",2056.08815197317
"preserved ~ RndCumErr",2059.18562628238
"preserved ~ RndCumErr",2059.8896288472
"preserved ~ RndCumErr",2060.01764019742
"preserved ~ RndCumErr",2060.17490744792
"preserved ~ RndCumErr",2060.24966116081
"preserved ~ RndCumErr",2060.38566579822
"preserved ~ RndCumErr",2062.07058283822
"preserved ~ RndCumErr",2062.75753129132
"preserved ~ RndCumErr",2063.62141914857
"preserved ~ RndCumErr",2064.05709877459
"preserved ~ RndCumErr",2064.11845916234
"preserved ~ RndCumErr",2065.04824102679
"preserved ~ RndCumErr",2068.01815479883
"preserved ~ RndCumErr",2070.62457054436
"preserved ~ RndCumErr",2070.77719606438
"preserved ~ RndCumErr",2070.8640883312
"preserved ~ RndCumErr",2071.58513758462
"preserved ~ RndCumErr",2072.02527372297
"preserved ~ RndCumErr",2072.15321474604
"preserved ~ RndCumErr",2073.2490721104
"preserved ~ RndCumErr",2074.66931856057
"preserved ~ RndCumErr",2074.79492997348
"preserved ~ RndCumErr",2074.87053392977
"preserved ~ RndCumErr",2075.11366110859
"preserved ~ RndCumErr",2079.2751228766
"preserved ~ RndCumErr",2079.49171264842
"preserved ~ RndCumErr",2080.34097790699
"preserved ~ RndCumErr",2080.93394982638
"preserved ~ RndCumErr",2081.60661972808
"preserved ~ RndCumErr",2081.9018325545
"preserved ~ RndCumErr",2084.76992660433
"preserved ~ RndCumErr",2084.94072251747
"preserved ~ RndCumErr",2086.56656618246
"preserved ~ RndCumErr",2086.99603192298
"preserved ~ RndCumErr",2087.33430520519
"preserved ~ RndCumErr",2087.54136562019
"preserved ~ RndCumErr",2089.74776591079
"preserved ~ RndCumErr",2090.33765470635
"preserved ~ RndCumErr",2090.45910212654
"preserved ~ RndCumErr",2091.27321454965
"preserved ~ RndCumErr",2091.61527981382
"preserved ~ RndCumErr",2091.82276288177
"preserved ~ RndCumErr",2097.54304555239
"preserved ~ RndCumErr",2099.18333494081
"preserved ~ RndCumErr",2099.94395320462
"preserved ~ RndCumErr",2100.10855445524
"preserved ~ RndCumErr",2100.23891449585
"preserved ~ RndCumErr",2100.95940743107
"preserved ~ RndCumErr",2102.55710580766
"preserved ~ RndCumErr",2105.23292673471
"preserved ~ RndCumErr",2117.62862098703
"preserved ~ RndCumErr",2118.33560965253
"preserved ~ RndCumErr",2124.35795952635
"preserved ~ RndCumErr",2140.43863408412
"***preserved ~ CumErr",2220.78869550459
"Random average",2062.05535492233
"Random SD",27.7048376699883
