"Name","AIC"
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1981.24764077843
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1992.94622222566
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1996.38938535355
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",2003.76815132919
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",2013.36123665722
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",2015.94301950288
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",2016.13296502572
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",2016.99584220584
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",2017.10704701449
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",2017.2295506493
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",2018.72812764012
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",2019.71769125253
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",2019.72009728907
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",2019.81694384832
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",2021.23489265321
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",2022.94532925289
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",2024.14909601987
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",2024.38789531735
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",2025.12592669841
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",2025.17207957871
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",2025.21940747217
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",2026.20692555113
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",2028.3622326426
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",2028.96917547801
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",2032.19267775458
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",2032.52529438357
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",2032.57266653496
