"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ pos + log_freq",2371.0644679559,0,1,0.213951115213116,0.0142486104827526,2.63148638954154,NA,0.132621097952935,NA,-0.0480459857276903,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",2372.20331176579,1.13884380988748,0.565852460675626,0.121064765007636,0.0158273807539106,2.44897361446683,0.0246120567486225,0.365196661887703,-0.0288660360386748,-0.0555667941574315,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",2372.86863302348,1.80416506757774,0.405723845710495,0.0868050692583145,0.0164428047390445,2.44882985102062,0.0197965655002775,0.369146248010545,-0.037737273120634,-0.0460293462498098,NA,0.0160285769915251,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",2372.89911181798,1.83464386208061,0.399587732934799,0.0854922410868809,0.0143391891733976,2.62171384046308,NA,0.110428044271122,NA,-0.044934108144793,0.00550960212361232,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",2373.0730248517,2.0085568958043,0.366308850389356,0.078372187053237,0.0145103221092358,2.4534551680897,0.0269653742191141,0.138469572325582,NA,-0.0555698223236803,NA,NA,NA,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",2373.14233589794,2.07786794203912,0.353831675800499,0.0757026816352423,0.0157857729625098,2.7321768079001,NA,-0.0152073189403921,NA,-0.10594604824335,0.0794461438882741,NA,0.00650182979639537,-0.00823183778765303,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",2373.1650506974,2.10058274149605,0.349835802340308,0.0748477600521841,0.0160768839805956,2.59559821421463,0.0200827327035518,0.360587724861693,-0.0283077097062554,-0.124037503254676,NA,NA,0.00789678909888339,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",2373.46116450491,2.39669654900899,0.301692113156007,0.0645473640607292,0.0136603515090623,2.45467809728835,-0.0045577751983395,0.365005873564296,-0.028857688818692,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",2373.84503327387,2.78056531796938,0.249004911208086,0.0532748784465127,0.0148225833325406,2.61654623928191,0.0219391033472942,0.138220628895525,NA,-0.132006216376219,NA,NA,0.00880875708947575,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",2374.06756570683,3.00309775093228,0.222784826825813,0.0476650621519436,0.0174361790104816,2.57869093114819,0.0158772014878636,0.238260555217216,-0.0340983671947444,-0.101313431173339,NA,0.0767235988967661,0.00603657689497252,NA,-0.0068366271307246,NA,NA
"preserved ~ stimlen + log_freq",2374.33158605166,3.26711809575772,0.195233490823373,0.0417704230886101,0.0123419606528817,2.45909926030168,-0.00219920022018433,0.138325089674249,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",2374.93739838338,3.87293042748479,0.144212811353153,0.0308544918170257,0.0145699392996097,2.45515633709001,0.0254818694513297,0.119965810219023,NA,-0.052585396915227,0.00451351573009591,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",2375.30920542106,4.24473746515787,0.119747642159146,0.0256201415840904,0.0159421185226141,2.57528167755833,0.02135255703918,-0.00821583571981388,NA,-0.101888019856326,0.0794004952588887,NA,0.00530578701535065,-0.00834099638871679,NA,NA,NA
"preserved ~ pos",2391.20195295478,20.1374849988842,4.23838781882385e-05,9.06807800543047e-06,0.00318531645238183,2.6577333897957,NA,NA,NA,-0.0616854269061709,NA,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",2392.21329131974,21.1488233638443,2.5561795564444e-05,5.46897466786247e-06,0.00345315139501613,2.77597343258026,NA,NA,NA,-0.132372213065618,NA,NA,0.00797880355726642,NA,NA,NA,NA
"preserved ~ stimlen + pos",2392.45713698922,21.3926690333228,2.26277276470023e-05,4.84122756481478e-06,0.00335380069880917,2.79180634680906,-0.0205805904527671,NA,NA,-0.0552584005100563,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * pos",2392.74508364485,21.6806156889475,1.95935947330264e-05,4.19207144416484e-06,0.00410617278492143,3.37195585350873,-0.0907800419376644,NA,NA,-0.234636033210276,NA,NA,NA,NA,NA,0.0210517074225029,NA
"preserved ~ stimlen + I(pos^2) + pos",2393.10682847965,22.0423605237534,1.63516743051917e-05,3.49845895319742e-06,0.00371128902505438,2.96486971861107,-0.0258491189943327,NA,NA,-0.136508196238744,NA,NA,0.00935308938884864,NA,NA,NA,NA
"preserved ~ stimlen",2393.69531961076,22.630851654857,1.21835262336758e-05,2.60667902492318e-06,0.0011873295623862,2.79711017819413,-0.0495376003624792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",2394.87897564589,23.8145076899941,6.74132648192343e-06,1.44231431882323e-06,2.62022787284737e-16,2.4129426992999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",2396.31985683103,25.2553888751322,3.27991045066938e-06,7.01740498719867e-07,0.00427979867424867,2.91900792554401,-0.0345294223052487,NA,NA,0.0692412672648625,NA,NA,-0.0395424776692926,NA,NA,-0.015636645607688,0.00464852386403801
