"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + I(pos^2) + pos",2214.49228476889,0,1,0.95883795002798,0.0964336013339183,2.70125602755155,-0.953049763568728,0.0165015747876514,-0.0651064792033434,NA,NA
"preserved ~ CumErr + CumPres",2215.37665366697,0,1,0.937380991124104,0.0954589656241553,2.54644453920797,-0.870631142541333,NA,NA,NA,0.0771686767567724
"preserved ~ CumErr + pos",2215.37665366697,0,1,0.937380991124091,0.0954589656241553,2.46927586245122,-0.947799819298105,NA,0.0771686767567692,NA,NA
"preserved ~ CumErr",2220.78869550459,6.29641073569928,0.0429290997199464,0.0411620499720201,0.091892904321349,2.73886280416035,-0.86410682765034,NA,NA,NA,NA
"preserved ~ CumErr",2220.78869550459,0,1,0.72311398734983,0.091892904321349,2.73886280416035,-0.86410682765034,NA,NA,NA,NA
"preserved ~ CumErr",2220.78869550459,5.41204183761874,0.0668020895119744,0.0626190088758957,0.091892904321349,2.73886280416035,-0.86410682765034,NA,NA,NA,NA
"preserved ~ CumErr",2220.78869550459,5.41204183761829,0.0668020895119896,0.0626190088759091,0.091892904321349,2.73886280416035,-0.86410682765034,NA,NA,NA,NA
"preserved ~ CumErr + stimlen",2222.70861741212,1.91992190753308,0.382907836792013,0.27688601265017,0.092199769422355,2.53346896490395,-0.874490238602918,NA,NA,0.0270827434081803,NA
"preserved ~ CumPres",2391.15554745197,175.778893785003,6.76235859823613e-39,6.3389064051512e-39,0.00289515731217326,2.2523157281858,NA,NA,NA,NA,0.0638104417575121
"preserved ~ pos",2391.20195295478,175.825299287815,6.60725959289058e-39,6.19351954579793e-39,0.00318531645238183,2.6577333897957,NA,NA,-0.0616854269061709,NA,NA
"preserved ~ I(pos^2) + pos",2392.21329131974,177.721006550856,2.56078883920311e-39,2.45538152103604e-39,0.00345315139501613,2.77597343258026,NA,0.00797880355726642,-0.132372213065618,NA,NA
"preserved ~ stimlen",2393.69531961076,172.90662410617,2.84317527072356e-38,2.05593980674734e-38,0.0011873295623862,2.79711017819413,NA,NA,NA,-0.0495376003624792,NA
