"Name","AIC"
"preserved ~ RndCumErr",3208.74087574367
"preserved ~ RndCumErr",3212.66126412919
"preserved ~ RndCumErr",3213.24950739156
"preserved ~ RndCumErr",3242.77195897067
"preserved ~ RndCumErr",3243.91717446953
"preserved ~ RndCumErr",3251.26519914202
"preserved ~ RndCumErr",3257.41097119713
"preserved ~ RndCumErr",3259.72405009267
"preserved ~ RndCumErr",3264.09275462069
"preserved ~ RndCumErr",3265.41671700562
"preserved ~ RndCumErr",3266.50446182602
"preserved ~ RndCumErr",3269.70112761621
"preserved ~ RndCumErr",3271.88820238584
"preserved ~ RndCumErr",3272.98054711567
"preserved ~ RndCumErr",3273.94338884601
"preserved ~ RndCumErr",3274.0125720356
"preserved ~ RndCumErr",3274.2314020338
"preserved ~ RndCumErr",3276.88427532617
"preserved ~ RndCumErr",3277.9619599804
"preserved ~ RndCumErr",3280.33940800043
"preserved ~ RndCumErr",3281.10643232918
"preserved ~ RndCumErr",3281.29309841969
"preserved ~ RndCumErr",3283.48450361348
"preserved ~ RndCumErr",3283.90232520313
"preserved ~ RndCumErr",3284.07366718862
"preserved ~ RndCumErr",3284.94064607389
"preserved ~ RndCumErr",3285.03142468731
"preserved ~ RndCumErr",3288.05821822054
"preserved ~ RndCumErr",3288.08461134134
"preserved ~ RndCumErr",3288.41586816761
"preserved ~ RndCumErr",3290.24347017349
"preserved ~ RndCumErr",3290.51668695839
"preserved ~ RndCumErr",3291.56282122069
"preserved ~ RndCumErr",3293.17850761825
"preserved ~ RndCumErr",3294.24536669962
"preserved ~ RndCumErr",3294.79278708722
"preserved ~ RndCumErr",3295.50277992176
"preserved ~ RndCumErr",3297.00329836141
"preserved ~ RndCumErr",3298.90733337021
"preserved ~ RndCumErr",3300.69899096457
"preserved ~ RndCumErr",3301.19355722312
"preserved ~ RndCumErr",3302.04610210559
"preserved ~ RndCumErr",3302.38666085642
"preserved ~ RndCumErr",3304.2168153511
"preserved ~ RndCumErr",3305.55112130392
"preserved ~ RndCumErr",3305.71831342136
"preserved ~ RndCumErr",3306.70180360421
"preserved ~ RndCumErr",3306.90938548191
"preserved ~ RndCumErr",3306.98561521638
"preserved ~ RndCumErr",3307.76796907783
"preserved ~ RndCumErr",3308.45251723243
"preserved ~ RndCumErr",3310.11967131248
"preserved ~ RndCumErr",3310.37809792188
"preserved ~ RndCumErr",3311.42362083994
"preserved ~ RndCumErr",3312.27376589032
"preserved ~ RndCumErr",3312.39137401069
"preserved ~ RndCumErr",3313.83854157276
"preserved ~ RndCumErr",3314.74312871912
"preserved ~ RndCumErr",3315.05479829184
"preserved ~ RndCumErr",3316.23575481725
"preserved ~ RndCumErr",3317.70788287759
"preserved ~ RndCumErr",3318.1987404763
"preserved ~ RndCumErr",3318.46331807077
"preserved ~ RndCumErr",3319.36800089016
"preserved ~ RndCumErr",3320.18931433218
"preserved ~ RndCumErr",3320.28318736687
"preserved ~ RndCumErr",3320.48084647075
"preserved ~ RndCumErr",3320.84862245352
"preserved ~ RndCumErr",3323.27765575534
"preserved ~ RndCumErr",3324.77313698131
"preserved ~ RndCumErr",3324.92905892625
"preserved ~ RndCumErr",3325.0766641737
"preserved ~ RndCumErr",3325.18181014782
"preserved ~ RndCumErr",3325.52104185536
"preserved ~ RndCumErr",3325.86228963056
"preserved ~ RndCumErr",3326.53572654087
"preserved ~ RndCumErr",3326.7883191905
"preserved ~ RndCumErr",3326.81591251288
"preserved ~ RndCumErr",3327.35328349288
"preserved ~ RndCumErr",3327.44812456234
"preserved ~ RndCumErr",3328.21472324241
"preserved ~ RndCumErr",3328.85877333265
"preserved ~ RndCumErr",3328.93141519805
"preserved ~ RndCumErr",3330.48635963174
"preserved ~ RndCumErr",3330.80210397882
"preserved ~ RndCumErr",3337.75083794516
"preserved ~ RndCumErr",3338.87441243137
"preserved ~ RndCumErr",3340.96593221308
"preserved ~ RndCumErr",3341.36806595658
"preserved ~ RndCumErr",3341.59842956291
"preserved ~ RndCumErr",3341.82238722599
"preserved ~ RndCumErr",3343.62585202501
"preserved ~ RndCumErr",3344.15805392433
"preserved ~ RndCumErr",3345.928738201
"preserved ~ RndCumErr",3346.89446719035
"preserved ~ RndCumErr",3348.20661687126
"preserved ~ RndCumErr",3349.88038483788
"preserved ~ RndCumErr",3353.14350527998
"preserved ~ RndCumErr",3363.98924732915
"preserved ~ RndCumErr",3370.27901396082
"***preserved ~ CumErr",3456.84722083383
"Random average",3304.48011526846
"Random SD",31.4402020914299
