"Name","AIC"
"preserved ~ RndCumErr + pos + log_freq",3210.15296840851
"preserved ~ RndCumErr + pos + log_freq",3237.6138234738
"preserved ~ RndCumErr + pos + log_freq",3242.08559959947
"preserved ~ RndCumErr + pos + log_freq",3257.02079412781
"preserved ~ RndCumErr + pos + log_freq",3257.54470242857
"preserved ~ RndCumErr + pos + log_freq",3259.18503217721
"preserved ~ RndCumErr + pos + log_freq",3261.70716899167
"preserved ~ RndCumErr + pos + log_freq",3266.23132301745
"preserved ~ RndCumErr + pos + log_freq",3266.94172879295
"preserved ~ RndCumErr + pos + log_freq",3269.63560826926
"preserved ~ RndCumErr + pos + log_freq",3271.33933209266
"preserved ~ RndCumErr + pos + log_freq",3271.34660004083
"preserved ~ RndCumErr + pos + log_freq",3275.74993853495
"preserved ~ RndCumErr + pos + log_freq",3277.17488489406
"preserved ~ RndCumErr + pos + log_freq",3279.15691129133
"preserved ~ RndCumErr + pos + log_freq",3279.4730180611
"preserved ~ RndCumErr + pos + log_freq",3280.31867104889
"preserved ~ RndCumErr + pos + log_freq",3280.58190406854
"preserved ~ RndCumErr + pos + log_freq",3281.45003516048
"preserved ~ RndCumErr + pos + log_freq",3282.27674526793
"preserved ~ RndCumErr + pos + log_freq",3282.75277200748
"preserved ~ RndCumErr + pos + log_freq",3283.52690508897
"preserved ~ RndCumErr + pos + log_freq",3283.81715440063
"preserved ~ RndCumErr + pos + log_freq",3285.29260162908
"preserved ~ RndCumErr + pos + log_freq",3285.74322532027
"preserved ~ RndCumErr + pos + log_freq",3287.41667809573
"preserved ~ RndCumErr + pos + log_freq",3288.30642212488
"preserved ~ RndCumErr + pos + log_freq",3288.99301357539
"preserved ~ RndCumErr + pos + log_freq",3292.00591567781
"preserved ~ RndCumErr + pos + log_freq",3294.97961559001
"preserved ~ RndCumErr + pos + log_freq",3295.21756114782
"preserved ~ RndCumErr + pos + log_freq",3295.62842033003
"preserved ~ RndCumErr + pos + log_freq",3296.67498522292
"preserved ~ RndCumErr + pos + log_freq",3297.23537571828
"preserved ~ RndCumErr + pos + log_freq",3298.23292275723
"preserved ~ RndCumErr + pos + log_freq",3298.28916564502
"preserved ~ RndCumErr + pos + log_freq",3298.46943381859
"preserved ~ RndCumErr + pos + log_freq",3298.64429189388
"preserved ~ RndCumErr + pos + log_freq",3299.24197437645
"preserved ~ RndCumErr + pos + log_freq",3299.60420821058
"preserved ~ RndCumErr + pos + log_freq",3300.29727417886
"preserved ~ RndCumErr + pos + log_freq",3300.68301346456
"preserved ~ RndCumErr + pos + log_freq",3301.41321387022
"preserved ~ RndCumErr + pos + log_freq",3301.97332030168
"preserved ~ RndCumErr + pos + log_freq",3302.22501359575
"preserved ~ RndCumErr + pos + log_freq",3302.67945281521
"preserved ~ RndCumErr + pos + log_freq",3303.09286604899
"preserved ~ RndCumErr + pos + log_freq",3303.55154516169
"preserved ~ RndCumErr + pos + log_freq",3303.89029899275
"preserved ~ RndCumErr + pos + log_freq",3305.29061516062
"preserved ~ RndCumErr + pos + log_freq",3305.39920854555
"preserved ~ RndCumErr + pos + log_freq",3307.27299425921
"preserved ~ RndCumErr + pos + log_freq",3307.7639253291
"preserved ~ RndCumErr + pos + log_freq",3308.44684806514
"preserved ~ RndCumErr + pos + log_freq",3308.93166414313
"preserved ~ RndCumErr + pos + log_freq",3309.37566618048
"preserved ~ RndCumErr + pos + log_freq",3309.50889066028
"preserved ~ RndCumErr + pos + log_freq",3310.10950601974
"preserved ~ RndCumErr + pos + log_freq",3310.36177706155
"preserved ~ RndCumErr + pos + log_freq",3310.55190219763
"preserved ~ RndCumErr + pos + log_freq",3310.63143643326
"preserved ~ RndCumErr + pos + log_freq",3310.8072927104
"preserved ~ RndCumErr + pos + log_freq",3311.10794840848
"preserved ~ RndCumErr + pos + log_freq",3312.34313246011
"preserved ~ RndCumErr + pos + log_freq",3314.43849154928
"preserved ~ RndCumErr + pos + log_freq",3316.86153027413
"preserved ~ RndCumErr + pos + log_freq",3317.30695633994
"preserved ~ RndCumErr + pos + log_freq",3317.33633360337
"preserved ~ RndCumErr + pos + log_freq",3318.73971164406
"preserved ~ RndCumErr + pos + log_freq",3319.11783570865
"preserved ~ RndCumErr + pos + log_freq",3320.86065688682
"preserved ~ RndCumErr + pos + log_freq",3321.46172336764
"preserved ~ RndCumErr + pos + log_freq",3322.08893346786
"preserved ~ RndCumErr + pos + log_freq",3322.88568012189
"preserved ~ RndCumErr + pos + log_freq",3323.37185119889
"preserved ~ RndCumErr + pos + log_freq",3324.02446260319
"preserved ~ RndCumErr + pos + log_freq",3325.03877098912
"preserved ~ RndCumErr + pos + log_freq",3328.71365957874
"preserved ~ RndCumErr + pos + log_freq",3328.75554519898
"preserved ~ RndCumErr + pos + log_freq",3329.74121385923
"preserved ~ RndCumErr + pos + log_freq",3331.54422640329
"preserved ~ RndCumErr + pos + log_freq",3332.13599905795
"preserved ~ RndCumErr + pos + log_freq",3333.61431881562
"preserved ~ RndCumErr + pos + log_freq",3335.10360111435
"preserved ~ RndCumErr + pos + log_freq",3338.04580490382
"preserved ~ RndCumErr + pos + log_freq",3340.35362326476
"preserved ~ RndCumErr + pos + log_freq",3342.20353571596
"preserved ~ RndCumErr + pos + log_freq",3342.81290742236
"preserved ~ RndCumErr + pos + log_freq",3343.31620760565
"preserved ~ RndCumErr + pos + log_freq",3343.88744731125
"preserved ~ RndCumErr + pos + log_freq",3344.26511200369
"preserved ~ RndCumErr + pos + log_freq",3345.37352306001
"preserved ~ RndCumErr + pos + log_freq",3346.53723195663
"preserved ~ RndCumErr + pos + log_freq",3347.18250330228
"preserved ~ RndCumErr + pos + log_freq",3349.64728939637
"preserved ~ RndCumErr + pos + log_freq",3349.72648020659
"preserved ~ RndCumErr + pos + log_freq",3354.86279284693
"preserved ~ RndCumErr + pos + log_freq",3356.99042503819
"preserved ~ RndCumErr + pos + log_freq",3365.05038564465
"preserved ~ RndCumErr + pos + log_freq",3368.74069916389
"***preserved ~ CumErr + pos + log_freq",3429.28380270545
"Random average",3305.76905709069
"Random SD",28.7121943198543
