"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + pos",3430.37522655239,0,1,0.9999982148336,0.113321497725349,1.65246071252277,-0.824315671483117,NA,0.126362129596217,NA,NA
"preserved ~ CumErr + CumPres",3430.37522655239,0,1,0.9999982148336,0.113321497725349,1.778822842119,-0.697953541886903,NA,NA,NA,0.126362129596212
"preserved ~ CumErr + I(pos^2) + pos",3432.06308804067,0,1,0.999995848623317,0.113353087935204,1.68870022025088,-0.824539858468738,0.0026835796119864,0.103529427511182,NA,NA
"preserved ~ CumErr",3456.84722083383,24.7841327931596,4.15139391668309e-06,4.15137668268318e-06,0.102712641952802,2.05713315879445,-0.684601332424468,NA,NA,NA,NA
"preserved ~ CumErr",3456.84722083383,0,1,0.692300511937427,0.102712641952802,2.05713315879445,-0.684601332424468,NA,NA,NA,NA
"preserved ~ CumErr",3456.84722083383,26.471994281444,1.78516958664442e-06,1.78516639981966e-06,0.102712641952802,2.05713315879445,-0.684601332424468,NA,NA,NA,NA
"preserved ~ CumErr",3456.84722083383,26.4719942814445,1.78516958664402e-06,1.78516639981925e-06,0.102712641952802,2.05713315879445,-0.684601332424468,NA,NA,NA,NA
"preserved ~ CumErr + stimlen",3458.469013851,1.62179301717106,0.444459425866182,0.307699488062573,0.102978601259696,1.89001720913626,-0.693765321148403,NA,NA,0.0224372522304304,NA
"preserved ~ CumPres",3707.15028909042,276.775062538028,7.92608646405223e-61,7.926072314669e-61,0.00906176877003578,1.41594028283483,NA,NA,NA,NA,0.10569671071052
"preserved ~ stimlen",3719.81050727574,262.963286441906,7.91130043907959e-58,5.4769973440656e-58,0.00339707576111653,2.21219040915513,NA,NA,NA,-0.0723875227827005,NA
"preserved ~ pos",3719.82155507266,289.446328520271,1.40452139199988e-63,1.40451888469548e-63,0.00367817288196911,1.88172223321231,NA,NA,-0.0582961844914321,NA,NA
"preserved ~ I(pos^2) + pos",3721.97676244243,289.913674401753,1.11184818001997e-63,1.11184356431936e-63,0.00379480921180591,1.81565375860358,NA,-0.00456632896671305,-0.0181188706613825,NA,NA
