"Name","AIC"
"preserved ~ RndCumErr",1470.48096454441
"preserved ~ RndCumErr",1480.36584992273
"preserved ~ RndCumErr",1493.39766272577
"preserved ~ RndCumErr",1497.10657242347
"preserved ~ RndCumErr",1501.67910835759
"preserved ~ RndCumErr",1504.17990874263
"preserved ~ RndCumErr",1505.66184024638
"preserved ~ RndCumErr",1507.42994936954
"preserved ~ RndCumErr",1508.41128501533
"preserved ~ RndCumErr",1509.18687777858
"preserved ~ RndCumErr",1510.66343176022
"preserved ~ RndCumErr",1513.71162499949
"preserved ~ RndCumErr",1518.62720992566
"preserved ~ RndCumErr",1518.73351578891
"preserved ~ RndCumErr",1520.55165789621
"preserved ~ RndCumErr",1521.72847833818
"preserved ~ RndCumErr",1522.97860690623
"preserved ~ RndCumErr",1524.01612004967
"preserved ~ RndCumErr",1527.55768826562
"preserved ~ RndCumErr",1528.14854190234
"preserved ~ RndCumErr",1534.24135110349
"preserved ~ RndCumErr",1535.2459097572
"preserved ~ RndCumErr",1537.30726841228
"preserved ~ RndCumErr",1537.69566514751
"preserved ~ RndCumErr",1538.71099047547
"preserved ~ RndCumErr",1539.39457961907
"preserved ~ RndCumErr",1539.52010955247
"preserved ~ RndCumErr",1541.66611425872
"preserved ~ RndCumErr",1542.96404429286
"preserved ~ RndCumErr",1543.70635897357
"preserved ~ RndCumErr",1545.61539687625
"preserved ~ RndCumErr",1546.37016945505
"preserved ~ RndCumErr",1546.75371534861
"preserved ~ RndCumErr",1547.35308240743
"preserved ~ RndCumErr",1547.85431774296
"preserved ~ RndCumErr",1548.26231185553
"preserved ~ RndCumErr",1548.52632231412
"preserved ~ RndCumErr",1549.07365740084
"preserved ~ RndCumErr",1549.08006450148
"preserved ~ RndCumErr",1549.12133458725
"preserved ~ RndCumErr",1549.54001605501
"preserved ~ RndCumErr",1550.44837317087
"preserved ~ RndCumErr",1551.00467041035
"preserved ~ RndCumErr",1551.64260254032
"preserved ~ RndCumErr",1552.06280581716
"preserved ~ RndCumErr",1552.3045787503
"preserved ~ RndCumErr",1552.50367125364
"preserved ~ RndCumErr",1552.52798497274
"preserved ~ RndCumErr",1553.02824275614
"preserved ~ RndCumErr",1554.21596681384
"preserved ~ RndCumErr",1554.52651957101
"preserved ~ RndCumErr",1555.80020584263
"preserved ~ RndCumErr",1557.27185253432
"preserved ~ RndCumErr",1558.74023918843
"preserved ~ RndCumErr",1559.37135929444
"preserved ~ RndCumErr",1560.80204325626
"preserved ~ RndCumErr",1562.12499709696
"preserved ~ RndCumErr",1564.63999641768
"preserved ~ RndCumErr",1565.91184169489
"preserved ~ RndCumErr",1566.59841318085
"preserved ~ RndCumErr",1567.2425207874
"preserved ~ RndCumErr",1568.44722236031
"preserved ~ RndCumErr",1568.55403664367
"preserved ~ RndCumErr",1568.67354146721
"preserved ~ RndCumErr",1568.93933017168
"preserved ~ RndCumErr",1568.97860719875
"preserved ~ RndCumErr",1569.71508272737
"preserved ~ RndCumErr",1569.77904563745
"preserved ~ RndCumErr",1570.14618011066
"preserved ~ RndCumErr",1570.3285322397
"preserved ~ RndCumErr",1570.79624962112
"preserved ~ RndCumErr",1570.89025142571
"preserved ~ RndCumErr",1572.96077677704
"preserved ~ RndCumErr",1573.60853113384
"preserved ~ RndCumErr",1573.89244150827
"preserved ~ RndCumErr",1574.08848467816
"preserved ~ RndCumErr",1574.7616429274
"preserved ~ RndCumErr",1574.83735089006
"preserved ~ RndCumErr",1575.09084757689
"preserved ~ RndCumErr",1575.88181423647
"preserved ~ RndCumErr",1576.16680960355
"preserved ~ RndCumErr",1576.52142437987
"preserved ~ RndCumErr",1581.00694473159
"preserved ~ RndCumErr",1581.27133921385
"preserved ~ RndCumErr",1582.46379407699
"preserved ~ RndCumErr",1582.7607066155
"preserved ~ RndCumErr",1583.78533293942
"preserved ~ RndCumErr",1585.49561570489
"preserved ~ RndCumErr",1585.79766812049
"preserved ~ RndCumErr",1593.13610692038
"preserved ~ RndCumErr",1597.40999832484
"preserved ~ RndCumErr",1597.84470546449
"preserved ~ RndCumErr",1600.55291381179
"preserved ~ RndCumErr",1600.91486655428
"preserved ~ RndCumErr",1603.16947226121
"preserved ~ RndCumErr",1604.39603716767
"preserved ~ RndCumErr",1606.11257955116
"preserved ~ RndCumErr",1612.62510684439
"preserved ~ RndCumErr",1615.21289906371
"preserved ~ RndCumErr",1617.05379617255
"***preserved ~ CumErr",1757.47756904178
"Random average",1554.89456647301
"Random SD",30.0699340959774
