"Name","AIC"
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1447.05989855614
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1463.78875623467
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1466.24840397022
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1467.59063900468
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1481.45290872998
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1484.3470120988
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1485.0677341961
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1486.83611621356
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1490.35451757442
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1492.87208034907
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1494.58917504446
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1496.79420430406
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1499.0455702498
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1503.02447433517
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1504.99186216066
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1506.22451226593
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1507.07923390625
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1507.88096534577
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1508.36243394123
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1510.04859475431
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1510.62993510254
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1512.01107593473
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1512.2118767472
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1513.60519387642
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1516.37369461282
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1520.13776234592
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1525.54350469029
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1527.53187699935
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1527.68055882769
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1528.64834864876
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1529.39721651111
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1530.57853131926
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1530.84416102485
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1531.37067324723
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1532.11323153851
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1533.77603115287
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1534.00963299008
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1536.85713064964
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1537.08647665254
