"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + I(pos^2) + pos",1729.32985576681,0,1,0.999999227672698,0.0965678038843822,2.13400735805753,-1.25484152959781,-0.0351302610282187,0.482133333669523,NA,NA
"preserved ~ CumErr + CumPres",1732.19568953117,0,1,0.999996763257037,0.0927888242908595,2.75947553174017,-1.06325106507022,NA,NA,NA,0.189527623569378
"preserved ~ CumErr + pos",1732.19568953117,0,1,0.999996763257037,0.0927888242908595,2.56994790817082,-1.25277868863962,NA,0.189527623569376,NA,NA
"preserved ~ CumErr",1757.47756904178,28.1477132749728,7.72327898980121e-07,7.72327302490198e-07,0.0751264326848112,3.19594059628146,-1.02683912095319,NA,NA,NA,NA
"preserved ~ CumErr",1757.47756904178,0,1,0.729617986720839,0.0751264326848112,3.19594059628146,-1.02683912095319,NA,NA,NA,NA
"preserved ~ CumErr",1757.47756904178,25.2818795106048,3.23675343971311e-06,3.23674296317419e-06,0.0751264326848112,3.19594059628146,-1.02683912095319,NA,NA,NA,NA
"preserved ~ CumErr",1757.47756904178,25.2818795106048,3.23675343971311e-06,3.23674296317419e-06,0.0751264326848112,3.19594059628146,-1.02683912095319,NA,NA,NA,NA
"preserved ~ CumErr + stimlen",1759.46293957836,1.98537053657992,0.370580246375714,0.270382013279161,0.0751545945843635,3.13025437955951,-1.02943398285865,NA,NA,0.00863563527265101,NA
"preserved ~ CumPres",1866.32793303715,134.132243505973,7.47400527493754e-30,7.47398108350356e-30,0.0144894991747339,2.51314872528041,NA,NA,NA,NA,0.158919344250681
"preserved ~ I(pos^2) + pos",1883.00053831488,153.670682548076,4.27400739771265e-34,4.27400409678005e-34,0.00576291674591881,2.2713605493415,NA,-0.0348461693772009,0.341002866636613,NA,NA
"preserved ~ stimlen",1886.29299492991,128.815425888128,1.06680655704629e-28,7.78361252372702e-29,0.000700262435447362,3.20465251279306,NA,NA,NA,-0.0406791191668209,NA
"preserved ~ pos",1886.49012999955,154.294440468372,3.12887316206303e-34,3.12886303470484e-34,0.00129358009971689,2.72652986800881,NA,NA,0.0439037069388828,NA,NA
