"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ pos * log_freq",584.254778933941,0,1,0.202335613812738,0.101497881070855,0.40653494387158,NA,0.16659961793109,NA,0.324041200896519,0.0454562675063799,NA,NA,NA,NA,NA,NA
"preserved ~ pos + log_freq",584.334438643781,0.0796597098403709,0.960952926656036,0.194435000260096,0.0971622176659199,0.483249350980288,NA,0.306479079771823,NA,0.287179874529541,NA,NA,NA,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",584.936233638398,0.681454704457565,0.711252803264263,0.143911772524506,0.108624337292537,0.717077620354586,NA,-0.0436647161952556,NA,0.101611935874849,0.176639771806359,NA,0.030746686695327,-0.0143905260363876,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",585.588273703806,1.33349476986507,0.513375678565601,0.103874183039102,0.103020773316016,0.0588600932213059,0.0585440042489413,0.195606112099781,NA,0.309900781407928,0.0448832264978083,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",585.599488127741,1.3447091938001,0.510505127731449,0.103293368374093,0.0988432043965406,0.118108030503853,0.0614251800751352,0.334864941894347,NA,0.27259813309788,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",586.591872594108,2.33709366016728,0.310818285027727,0.0628896084853079,0.109424710993338,0.430621886727933,0.0430337831842283,-0.0214197946287668,NA,0.115227651561967,0.177100163411969,NA,0.0271980556032129,-0.0147443590773243,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",587.012739709308,2.75796077536768,0.251835196467094,0.050955229056821,0.0998206066280095,0.0701320477215084,0.0724015227640264,0.178063999395805,0.0223501763771741,0.273480376778052,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",587.103475813423,2.84869687948208,0.240665220027624,0.048695145017667,0.0999873488268411,0.361113852787306,0.0536187150712527,0.335603281857873,NA,0.127877596145017,NA,NA,0.0203153804443251,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",587.548864775991,3.29408584205009,0.1926186558685,0.0389736139669376,0.103056512045739,0.0509047898330551,0.0609602310799345,0.168933331101019,0.00462242545813111,0.308676077054316,NA,0.0430182023201974,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",588.344049705524,4.08927077158296,0.129427372434112,0.026187766845626,0.101288077739432,0.337998749732808,0.0654353400856023,0.152614151378559,0.0261565152469734,0.109370669453092,NA,NA,0.0230092635007022,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",588.485966834483,4.23118790054207,0.120561660652241,0.0243939176103542,0.109555939879942,0.409878963033836,0.0478770134446795,-0.0778059185510176,0.00893504159542315,0.116976110088702,NA,0.177260631903248,0.0264788179302229,NA,-0.0152794824853294,NA,NA
"preserved ~ stimlen + log_freq",602.847452582293,18.5926736483518,9.1759748666699e-05,1.85662650697791e-05,0.0501704465438063,0.225520907506627,0.172554472993559,0.323005275615953,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",604.34284012424,20.0880611902988,4.34443132496193e-05,8.79033178803461e-06,0.0510308951937587,0.179661151151205,0.183202812670331,0.181179472715261,0.0201078139529803,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos",604.425819932761,20.1710409988206,4.16786938154856e-05,8.43308409606946e-06,0.0441552594501186,0.604855268766782,NA,NA,NA,0.234493197253655,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos",604.49384962966,20.239070695719,4.02848396207241e-05,8.15105775200694e-06,0.0489542986682006,1.1259885955911,-0.0904708137392257,NA,NA,0.263350117231073,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",606.084215753309,21.8294368193684,1.81885476910731e-05,3.68019096143554e-06,0.049939650670752,1.34616162389873,-0.0974772449580252,NA,NA,0.131083055649369,NA,NA,0.0186729519904356,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",606.277752454227,22.0229735202865,1.65109500108983e-05,3.34075320508656e-06,0.0445080976350684,0.710273945768369,NA,NA,NA,0.155393260015464,NA,NA,0.0110162310664486,NA,NA,NA,NA
"preserved ~ stimlen * pos",606.358329733134,22.1035507991932,1.58589682162365e-05,3.20883406846893e-06,0.0491910212987259,1.3534381573464,-0.121590367381813,NA,NA,0.175402317991899,NA,NA,NA,NA,NA,0.0116093296893688,NA
"preserved ~ stimlen * (I(pos^2) + pos)",609.701310766138,25.4465318321968,2.98095775109299e-06,6.0315391631724e-07,0.0507545367728622,0.620698179888932,0.000469644237674592,NA,NA,0.695586621371059,NA,NA,-0.0667705662914652,NA,NA,-0.0738149760712367,0.0108287747437172
"preserved ~ 1",619.174872523228,34.9200935892876,2.61335268151714e-08,5.28774318923937e-09,-3.51715762663567e-16,1.346503607641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",621.071781346812,36.8170024128711,1.01225401012404e-08,2.04815036472853e-09,0.000313439418035355,1.20313716359329,0.0210938279543023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
