"Name","AIC"
"***preserved ~ CumPres",3160.70820535623
"preserved ~ RndCumPres",3310.75072156997
"preserved ~ RndCumPres",3312.78393505786
"preserved ~ RndCumPres",3313.21674734158
"preserved ~ RndCumPres",3313.51028017065
"preserved ~ RndCumPres",3314.53728836494
"preserved ~ RndCumPres",3315.77928240265
"preserved ~ RndCumPres",3316.74808197616
"preserved ~ RndCumPres",3318.82837111235
"preserved ~ RndCumPres",3319.76152220569
"preserved ~ RndCumPres",3319.8560524209
"preserved ~ RndCumPres",3323.15830301503
"preserved ~ RndCumPres",3323.44886146464
"preserved ~ RndCumPres",3323.49077618716
"preserved ~ RndCumPres",3323.71835946711
"preserved ~ RndCumPres",3323.78965468126
"preserved ~ RndCumPres",3324.11030619849
"preserved ~ RndCumPres",3325.47313679718
"preserved ~ RndCumPres",3325.7852077524
"preserved ~ RndCumPres",3326.15532927601
"preserved ~ RndCumPres",3326.25063221621
"preserved ~ RndCumPres",3326.38450206544
"preserved ~ RndCumPres",3327.73555150073
"preserved ~ RndCumPres",3329.25446752965
"preserved ~ RndCumPres",3329.72455867397
"preserved ~ RndCumPres",3329.75167118136
"preserved ~ RndCumPres",3329.9213951492
"preserved ~ RndCumPres",3330.64327071628
"preserved ~ RndCumPres",3331.42922687797
"preserved ~ RndCumPres",3331.53952965873
"preserved ~ RndCumPres",3332.37416111998
"preserved ~ RndCumPres",3333.1450635611
"preserved ~ RndCumPres",3333.2250739779
"preserved ~ RndCumPres",3333.41241406997
"preserved ~ RndCumPres",3333.90108144892
"preserved ~ RndCumPres",3334.12736305438
"preserved ~ RndCumPres",3334.36582616992
"preserved ~ RndCumPres",3334.7466664663
"preserved ~ RndCumPres",3334.81460626456
"preserved ~ RndCumPres",3336.50125106083
"preserved ~ RndCumPres",3336.91587042777
"preserved ~ RndCumPres",3337.45825648578
"preserved ~ RndCumPres",3338.50992607477
"preserved ~ RndCumPres",3338.50994367589
"preserved ~ RndCumPres",3339.02838700393
"preserved ~ RndCumPres",3340.20128791763
"preserved ~ RndCumPres",3340.2802326719
"preserved ~ RndCumPres",3340.60981941902
"preserved ~ RndCumPres",3340.80098995955
"preserved ~ RndCumPres",3341.17770780006
"preserved ~ RndCumPres",3341.44033896367
"preserved ~ RndCumPres",3341.6724478898
"preserved ~ RndCumPres",3341.67880873879
"preserved ~ RndCumPres",3341.76648926197
"preserved ~ RndCumPres",3341.94590353798
"preserved ~ RndCumPres",3342.06780811148
"preserved ~ RndCumPres",3342.41985794854
"preserved ~ RndCumPres",3342.83702573702
"preserved ~ RndCumPres",3343.13639585546
"preserved ~ RndCumPres",3343.95139637634
"preserved ~ RndCumPres",3344.03212564154
"preserved ~ RndCumPres",3344.26525709481
"preserved ~ RndCumPres",3344.51260957112
"preserved ~ RndCumPres",3344.93594069195
"preserved ~ RndCumPres",3345.06186996734
"preserved ~ RndCumPres",3345.13168427451
"preserved ~ RndCumPres",3345.88663710966
"preserved ~ RndCumPres",3346.16293457906
"preserved ~ RndCumPres",3346.79301022957
"preserved ~ RndCumPres",3347.3807958908
"preserved ~ RndCumPres",3347.46542070839
"preserved ~ RndCumPres",3348.19337340858
"preserved ~ RndCumPres",3348.28148988156
"preserved ~ RndCumPres",3348.68761650167
"preserved ~ RndCumPres",3348.687734762
"preserved ~ RndCumPres",3349.16168563836
"preserved ~ RndCumPres",3349.25423238816
"preserved ~ RndCumPres",3349.53352689342
"preserved ~ RndCumPres",3349.64396951948
"preserved ~ RndCumPres",3350.12809172928
"preserved ~ RndCumPres",3350.45805746169
"preserved ~ RndCumPres",3350.47055890192
"preserved ~ RndCumPres",3350.57307383846
"preserved ~ RndCumPres",3350.66770714711
"preserved ~ RndCumPres",3350.75311090218
"preserved ~ RndCumPres",3351.38807416729
"preserved ~ RndCumPres",3352.40023596028
"preserved ~ RndCumPres",3352.75914845694
"preserved ~ RndCumPres",3353.35084533221
"preserved ~ RndCumPres",3353.72085720615
"preserved ~ RndCumPres",3353.96766240299
"preserved ~ RndCumPres",3356.22564174139
"preserved ~ RndCumPres",3357.66289276788
"preserved ~ RndCumPres",3357.84602674054
"preserved ~ RndCumPres",3360.95294880831
"preserved ~ RndCumPres",3362.84608127269
"preserved ~ RndCumPres",3363.59395062564
"preserved ~ RndCumPres",3363.66681698638
"preserved ~ RndCumPres",3366.61006082931
"preserved ~ RndCumPres",3369.54748174988
"preserved ~ RndCumPres",3371.29095337628
"Random average",3339.6851161724
"Random SD",13.5192870284045
