"Name","AIC"
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3053.11484396085
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3054.44623604965
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3055.26846090755
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3055.88180779979
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3058.50011937048
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3058.63325743607
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3061.2312016662
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3064.58959147553
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3064.64225612154
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3069.69323758672
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3069.82078904781
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3069.96087324107
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3071.49081148715
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3072.86989362991
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3074.31719437456
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3074.71580870754
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3075.34174649657
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3076.58688818763
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3076.74760121108
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3077.61469690044
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3077.65849946863
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3077.82415537655
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3078.04164349627
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3078.37401900545
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3079.24019822651
"***preserved ~ CumPres + I(pos^2) + pos + stimlen + log_freq",3079.48128585871
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3080.10863824233
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3080.44836736518
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3080.50299301378
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3080.98375054277
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3081.30385375113
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3081.87056266293
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3081.9555945072
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3082.24153538344
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3084.54059108567
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3084.8468486305
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3085.37157390583
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3085.45040724169
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3085.46316226756
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3086.60082643319
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3086.63343705733
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3086.99994810301
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3087.01096592319
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3087.49090048616
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3087.69494993312
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3087.92026329217
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3088.21199938691
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3088.44804354373
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3088.79513533378
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3089.35139030176
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3089.47373738686
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3089.5239614553
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3089.70199432566
"preserved ~ RndCumPres + I(pos^2) + pos + stimlen + log_freq",3089.71019062983
