"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen * log_freq + I(pos^2) + pos",3183.47437122629,0,1,0.712134780514305,0.105716280991325,0.999155164423427,-0.111614729640627,0.603077214505713,-0.065662403993621,0.742527319694571,NA,NA,-0.0521750416482166,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",3185.28695397781,1.81258275152413,0.404019806690114,0.287716556360696,0.106479680878826,1.00392104757988,-0.114455841350847,0.55164848811935,-0.0701317207676274,0.750951755381504,NA,0.0445302308134196,-0.052584202339346,NA,-0.00364183959512931,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",3202.3028313744,18.82846014811,8.15552319952117e-05,5.80783172367033e-05,0.096965621000407,1.67030188203132,-0.130904368548889,0.566397865735145,-0.0696506239907129,0.347598072976504,NA,0.0218318205464303,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",3203.00477647789,19.5304052516021,5.74151342901132e-05,4.08873140558891e-05,0.0975571193676927,1.09871633573992,-0.115824588744356,0.0921924091882099,NA,0.727775660379675,NA,NA,-0.0503076615701384,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",3203.13939139303,19.6650201667417,5.36778518729853e-05,3.82258652620478e-05,0.0959538536527742,1.67325839900802,-0.128245638739683,0.584737113679205,-0.0636345816525405,0.33876054129035,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",3205.62030939835,22.1459381720611,1.55263948925336e-05,1.10568858189728e-05,0.098132198648703,1.06876422628867,-0.114178897448005,0.0330785068843654,NA,0.744846136077783,0.0469137854623242,NA,-0.0529509253652817,-0.00619184419941948,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",3212.8792849582,29.4049137319093,4.11911685583279e-07,2.93336637804126e-07,0.0942755074806897,2.09400337656687,-0.258623441129106,NA,NA,0.42884930973024,NA,NA,-0.0599673058540149,NA,NA,0.0497070755140822,-0.000722824199702524
"preserved ~ stimlen + I(pos^2) + pos",3214.90849136452,31.434120138234,1.49337040442338e-07,1.06348100518061e-07,0.092090714132699,1.32735153289233,-0.145635243403791,NA,NA,0.72258533618417,NA,NA,-0.0497885501892476,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",3219.87214042639,36.397769200109,1.24831687491183e-08,8.88969863727639e-09,0.0920856429080752,0.226107202081433,NA,0.0667229064357215,NA,0.761965645093469,0.0475032678664276,NA,-0.0587570432234514,-0.00681402859776127,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",3221.29851788988,37.8241466635991,6.11773851870823e-09,4.35665437726419e-09,0.0883207541080775,1.74161114423425,-0.131015558218076,0.0906427275812425,NA,0.338048005799079,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",3223.07423839157,39.5998671652874,2.51766593060054e-09,1.79291747489656e-09,0.0883931239591463,1.74195214427799,-0.131804677921406,0.0742133313508212,NA,0.340657030792807,0.00552150197313464,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos",3232.89096457531,49.4165933490231,1.85918709858655e-11,1.32399179638696e-11,0.0829589292094705,1.9607048115409,-0.160257845346887,NA,NA,0.336840856171714,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * pos",3234.86578077519,51.3914095489035,6.9262347641878e-12,4.93241267358543e-12,0.083099821746089,1.75312572637341,-0.134957550114775,NA,NA,0.420262993774666,NA,NA,NA,NA,NA,-0.00991635437347715,NA
"preserved ~ pos + log_freq",3241.16010644489,57.6857352186089,2.97647168173406e-13,2.11964900777873e-13,0.0799019732911809,0.834678720090796,NA,0.122982299894641,NA,0.310214996163036,NA,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",3241.81618334564,58.3418121193563,2.14405768731702e-13,1.52685805056751e-13,0.081110656850753,0.260613622938143,NA,NA,NA,0.740095630725156,NA,NA,-0.0568267522844324,NA,NA,NA,NA
"preserved ~ pos * log_freq",3243.13063149663,59.6562602703443,1.11123951641078e-13,7.91352309118013e-14,0.0799091191180078,0.832934619369678,NA,0.117873712430909,NA,0.311032701127303,0.00174467277140428,NA,NA,NA,NA,NA,NA
"preserved ~ pos",3266.73909887431,83.2647276480229,8.30412968002891e-19,5.91365956704972e-19,0.0690141470536787,0.862769832404229,NA,NA,NA,0.298063124136454,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",3399.89108105486,216.416709828574,1.01323122455716e-47,7.21557195710254e-48,0.0137679010175534,1.84323429051251,-0.00103678522838047,0.567820780865541,-0.0617674354024607,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",3417.6174573149,234.143086088612,1.43375474418456e-51,1.02102662006122e-51,0.00595369785035937,1.90760156593048,-0.00378730051857611,0.0861330218757911,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",3428.34722160859,244.872850382304,6.70712121944709e-54,4.77637429749379e-54,2.05653120957331e-16,1.86832391252142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",3428.50492258269,245.030551356408,6.19857448272911e-54,4.41422047875987e-54,0.000631357977628823,2.11555081612093,-0.0320396918457974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
