"Name","AIC"
"preserved ~ RndCumErr",1243.05697508593
"preserved ~ RndCumErr",1249.04193638999
"preserved ~ RndCumErr",1265.68873232445
"preserved ~ RndCumErr",1267.91272496536
"preserved ~ RndCumErr",1269.69688989363
"preserved ~ RndCumErr",1288.34721331326
"preserved ~ RndCumErr",1291.11796616133
"preserved ~ RndCumErr",1291.73711324837
"preserved ~ RndCumErr",1292.49309439028
"preserved ~ RndCumErr",1294.09931780159
"preserved ~ RndCumErr",1295.20271469489
"preserved ~ RndCumErr",1295.24536073407
"preserved ~ RndCumErr",1298.95717004156
"preserved ~ RndCumErr",1299.1624929339
"preserved ~ RndCumErr",1299.47439652056
"preserved ~ RndCumErr",1301.29550348164
"preserved ~ RndCumErr",1303.44458984874
"preserved ~ RndCumErr",1308.57763756606
"preserved ~ RndCumErr",1309.97265481776
"preserved ~ RndCumErr",1311.34769794075
"preserved ~ RndCumErr",1311.38310845174
"preserved ~ RndCumErr",1312.3366180592
"preserved ~ RndCumErr",1312.58471248896
"preserved ~ RndCumErr",1312.99220082895
"preserved ~ RndCumErr",1313.11755860931
"preserved ~ RndCumErr",1314.08245428292
"preserved ~ RndCumErr",1316.07935794365
"preserved ~ RndCumErr",1316.48495455957
"preserved ~ RndCumErr",1317.60665366371
"preserved ~ RndCumErr",1320.19153058083
"preserved ~ RndCumErr",1320.32864093525
"preserved ~ RndCumErr",1321.12479560559
"preserved ~ RndCumErr",1321.59083955236
"preserved ~ RndCumErr",1322.82193487561
"preserved ~ RndCumErr",1323.20851893364
"preserved ~ RndCumErr",1324.96168198813
"preserved ~ RndCumErr",1325.278043455
"preserved ~ RndCumErr",1325.76751551897
"preserved ~ RndCumErr",1325.94881705516
"preserved ~ RndCumErr",1326.90201963545
"preserved ~ RndCumErr",1327.96237296438
"preserved ~ RndCumErr",1328.57767282882
"preserved ~ RndCumErr",1328.80870158799
"preserved ~ RndCumErr",1328.84118799927
"preserved ~ RndCumErr",1328.99956541592
"preserved ~ RndCumErr",1329.88008985531
"preserved ~ RndCumErr",1330.67002183436
"preserved ~ RndCumErr",1331.19538592564
"preserved ~ RndCumErr",1331.65277345843
"preserved ~ RndCumErr",1333.68378891188
"preserved ~ RndCumErr",1334.78092269351
"preserved ~ RndCumErr",1335.73735962239
"preserved ~ RndCumErr",1337.11951332263
"preserved ~ RndCumErr",1337.24167179867
"preserved ~ RndCumErr",1339.53120173721
"preserved ~ RndCumErr",1341.77938137601
"preserved ~ RndCumErr",1342.51288931948
"preserved ~ RndCumErr",1342.69444546973
"preserved ~ RndCumErr",1345.75593287806
"preserved ~ RndCumErr",1346.02682531531
"preserved ~ RndCumErr",1346.23480296765
"preserved ~ RndCumErr",1346.69932200676
"preserved ~ RndCumErr",1349.99558722063
"preserved ~ RndCumErr",1350.38957121084
"preserved ~ RndCumErr",1350.81241983582
"preserved ~ RndCumErr",1351.32070813973
"preserved ~ RndCumErr",1352.15940987588
"preserved ~ RndCumErr",1352.63994690867
"preserved ~ RndCumErr",1353.1634844758
"preserved ~ RndCumErr",1354.11061558458
"preserved ~ RndCumErr",1355.43342345202
"preserved ~ RndCumErr",1356.38099001344
"preserved ~ RndCumErr",1356.61763457686
"preserved ~ RndCumErr",1358.05295712147
"preserved ~ RndCumErr",1358.75605136436
"preserved ~ RndCumErr",1358.91819689582
"preserved ~ RndCumErr",1358.93068286564
"preserved ~ RndCumErr",1361.16993654418
"preserved ~ RndCumErr",1361.24291876592
"preserved ~ RndCumErr",1363.00102250223
"preserved ~ RndCumErr",1363.48532241904
"preserved ~ RndCumErr",1364.05267460496
"preserved ~ RndCumErr",1365.03187293331
"preserved ~ RndCumErr",1365.97088884718
"preserved ~ RndCumErr",1366.19970104224
"preserved ~ RndCumErr",1366.99298997375
"preserved ~ RndCumErr",1371.52818967358
"preserved ~ RndCumErr",1376.6677285389
"preserved ~ RndCumErr",1376.80586542819
"preserved ~ RndCumErr",1376.95227387474
"preserved ~ RndCumErr",1382.54215826695
"preserved ~ RndCumErr",1383.86424050084
"preserved ~ RndCumErr",1386.27438118069
"preserved ~ RndCumErr",1386.92141109007
"preserved ~ RndCumErr",1387.53125709014
"preserved ~ RndCumErr",1396.10022630108
"preserved ~ RndCumErr",1396.67824816492
"preserved ~ RndCumErr",1400.43104874148
"preserved ~ RndCumErr",1403.48376148649
"preserved ~ RndCumErr",1432.83854550687
"***preserved ~ CumErr",1516.64939211248
"Random average",1336.10498311487
"Random SD",34.1063085828416
