Name,AIC
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1221.915459
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1234.139986
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1248.900543
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1250.509717
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1252.205689
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1252.735981
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1252.788905
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1260.445213
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1261.24509
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1263.504671
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1263.941092
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1266.137831
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1266.544158
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1266.7594
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1273.475727
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1273.478208
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1273.866261
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1276.410971
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1276.726318
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1277.443428
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1277.736899
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1278.243064
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1279.738293
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1281.665999
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1282.09754
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1282.259191
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1284.274331
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1284.367119
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1285.195024
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1285.494452
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1286.226524
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1286.782163
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1291.367183
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1292.864025
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1293.21725
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1293.239485
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1295.826543
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1296.974175
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1297.0801
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1297.198824
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1297.206173
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1297.943404
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1298.653836
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1298.653978
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1299.173949
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1300.196994
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1300.371148
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1300.596825
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1300.840532
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1301.471153
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1304.771722
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1305.029505
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1305.12226
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1305.806702
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1306.50092
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1307.051876
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1307.549546
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1308.336851
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1308.444809
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1310.658359
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1311.48923
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1312.489287
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1313.628512
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1313.934465
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1314.310304
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1316.918405
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1318.291617
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1318.521072
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1318.669432
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1320.52543
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1322.503664
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1323.354242
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1324.016426
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1324.453912
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1325.493557
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1326.806583
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1327.935095
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1328.087749
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1332.970296
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1334.011017
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1334.023058
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1334.32219
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1336.071551
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1337.738145
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1340.385016
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1340.521457
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1342.350466
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1343.249945
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1343.45504
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1343.97042
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1351.940369
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1353.520767
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1354.656307
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1355.043465
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1356.28195
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1359.08183
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1361.54494
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1365.162408
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1369.935464
preserved ~ RndCumErr + RndCumPres + stimlen + log_freq,1374.302285
***preserved ~ CumErr + CumPres + stimlen + log_freq,1433.594026
Random average,1304.553707
Random SD,31.76310336
