"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen + log_freq",1793.65338136649,0,1,0.236625429555175,0.068866173210256,5.51941053188209,-0.325593771718065,0.188636910155873,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",1794.14773849422,0.494357127731746,0.781001222481964,0.184804749752911,0.0698424614376721,5.51727855680353,-0.343795959529743,0.188734564130425,NA,0.0375730526202539,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",1794.56438447711,0.911003110620641,0.634129836987587,0.150051245070941,0.0695973838782319,5.5999423480433,-0.336587086897538,0.417385954686928,-0.0269421090022788,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",1795.06146443752,1.40808307103589,0.494582386804822,0.117030769728115,0.0705717256198595,5.59769780505541,-0.354743133796071,0.41725584468199,-0.0269165838896471,0.0375079301965835,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",1795.46497901735,1.8115976508634,0.4042188557962,0.0956484603870771,0.0702170478157691,5.53255567058353,-0.340446343526282,0.238083568027265,NA,0.0263745624547886,-0.0120099030620684,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",1795.74136805935,2.08798669286921,0.352046029455471,0.0833030429430946,0.0704080803313996,5.28482182317572,-0.336656893158117,0.189062366300913,NA,0.144990085533158,NA,NA,-0.0121284483247134,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",1796.60236078096,2.94897941447493,0.228895500965764,0.0541624962392709,0.0711856477262211,5.3568773646023,-0.347508941462415,0.424062222465769,-0.0276788050445646,0.149482354111593,NA,NA,-0.0126480363455381,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",1796.76688870146,3.11350733497147,0.210819351238152,0.049885219545271,0.0707140305285116,5.59833842843715,-0.351378798076168,0.418205689704482,-0.0232759177061773,0.0304643424917879,NA,-0.0077567827612959,NA,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",1798.69046837635,5.03708700986249,0.0805768811540611,0.019066539115296,0.071000186554898,5.2419843638158,-0.331922379091503,0.192350865859558,NA,0.163694522189255,0.017393443198316,NA,-0.0155724567738833,-0.00334251612070927,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",1800.10072874265,6.44734737616068,0.039808545125929,0.00941971409038951,0.0714364538466658,5.31386006067751,-0.342475614767124,0.374875108537081,-0.0220571207309796,0.162356322952472,NA,0.013900560578364,-0.0149651805722386,NA,-0.00248973655718708,NA,NA
"preserved ~ stimlen",1818.51842640162,24.865045035137,3.98679655654102e-06,9.43377447740611e-07,0.0510344511987614,5.87874268748205,-0.379968299382696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos",1819.02684559236,25.373464225873,3.09187729425845e-06,7.31616792885797e-07,0.0520078450089298,5.87671881646331,-0.398018485785307,NA,NA,0.0372240845307239,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",1820.67715299254,27.023771626051,1.35476057992712e-06,3.20570804169673e-07,0.0525228967387252,5.65776009147177,-0.391428028109266,NA,NA,0.138850540400495,NA,NA,-0.0114629498420456,NA,NA,NA,NA
"preserved ~ stimlen * pos",1820.99339571538,27.3400143488989,1.15662164802207e-06,2.73686094296037e-07,0.0523121594645677,5.40756025821501,-0.344679882274645,NA,NA,0.183848166000179,NA,NA,NA,NA,NA,-0.0163279435524834,NA
"preserved ~ stimlen * (I(pos^2) + pos)",1823.88962416998,30.2362428034978,2.71821183145416e-07,6.43198042239799e-08,0.0528817212020108,4.74630972791546,-0.286530664792021,NA,NA,0.726087884685108,NA,NA,-0.0821777223388078,NA,NA,-0.0662902301920106,0.00784604823603905
"preserved ~ (I(pos^2) + pos) * log_freq",1846.97663548369,53.3232541172092,2.6363465004138e-12,6.23826623116698e-13,0.0415939558483351,2.68500389132879,NA,0.283134896735721,NA,0.220687456182641,0.0155604097002365,NA,-0.031646449703837,-0.00451247910155501,NA,NA,NA
"preserved ~ pos * log_freq",1847.38752518028,53.7341438137973,2.14673741677464e-12,5.07972663386464e-13,0.0382332710499978,3.14820923628845,NA,0.34894004452773,NA,-0.0611350808085313,-0.0243210500509617,NA,NA,NA,NA,NA,NA
"preserved ~ pos + log_freq",1847.94438538944,54.2910040229592,1.62501834418781e-12,3.84520663728478e-13,0.0367666511350476,3.06332943823623,NA,0.25058714871562,NA,-0.0385537581580762,NA,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",1895.11407619747,101.46069483098,9.29159031048586e-23,2.19862654846942e-23,0.00644015984307407,2.6228755509677,NA,NA,NA,0.200822084685255,NA,NA,-0.0295769753400656,NA,NA,NA,NA
"preserved ~ pos",1897.59698985519,103.943608488709,2.68492526822028e-23,6.35321594916165e-24,0.00289443652334577,3.05823179692696,NA,NA,NA,-0.063386367110678,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",1900.49653141138,106.843150044897,6.29948075027063e-24,1.49061733850734e-24,6.36295588661472e-16,2.80791332915084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
