"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + pos",1485.1704517774,0,1,0.999999853972418,0.255987501547054,2.60627712533087,-1.45900354595698,NA,0.229832783106128,NA,NA
"preserved ~ CumErr + CumPres",1485.1704517774,0,1,0.999999853972418,0.255987501547053,2.83610990843707,-1.22917076285087,NA,NA,NA,0.229832783106134
"preserved ~ CumErr + I(pos^2) + pos",1486.63816044785,0,1,0.999999695810853,0.256374883625719,2.44611565097672,-1.4614335329162,-0.0132602344389284,0.3384474449777,NA,NA
"preserved ~ CumErr + stimlen",1498.14770830782,0,1,0.999903978451533,0.24657790866797,4.99422523428164,-1.15552355783651,NA,NA,-0.207723094511301,NA
"preserved ~ CumErr",1516.64939211248,30.0112316646253,3.0418923905711e-07,3.04189146526044e-07,0.235711808736644,3.36463163127624,-1.24139234764119,NA,NA,NA,NA
"preserved ~ CumErr",1516.64939211248,18.5016838046602,9.60307694899665e-05,9.60215484667796e-05,0.235711808736644,3.36463163127624,-1.24139234764119,NA,NA,NA,NA
"preserved ~ CumErr",1516.64939211248,31.478940335079,1.46027603573109e-07,1.46027582249051e-07,0.235711808736644,3.36463163127624,-1.24139234764119,NA,NA,NA,NA
"preserved ~ CumErr",1516.64939211248,31.4789403350801,1.46027603573026e-07,1.46027582248968e-07,0.235711808736644,3.36463163127624,-1.24139234764119,NA,NA,NA,NA
"preserved ~ stimlen",1818.51842640162,320.370718093803,2.70634079597537e-70,2.70608092894146e-70,0.0510344511987614,5.87874268748205,NA,NA,NA,-0.379968299382696,NA
"preserved ~ CumPres",1841.23571782712,356.065266049724,4.80186425357818e-78,4.80186355237355e-78,0.0409303039730625,2.2023421596102,NA,NA,NA,NA,0.282753019237768
"preserved ~ I(pos^2) + pos",1895.11407619747,408.475915749611,1.99793750641046e-89,1.99793689865956e-89,0.00644015984307407,2.6228755509677,NA,-0.0295769753400656,0.200822084685255,NA,NA
"preserved ~ pos",1897.59698985519,412.426538077795,2.77150177566961e-90,2.7715013709539e-90,0.00289443652334577,3.05823179692696,NA,NA,-0.063386367110678,NA,NA
