"Description","ParameterValue"
"min preserved",0.200511363636364
"max preserved",0.851193181818182
"mean change in probability for each additional length: ",-0.0443289259661544
"mean change in probability for each additional position (excluding  U-shape): ",-0.0221660665320911
"U-shape",1
"Average upward change after U minimum",0.0302887397239903
"Proportion of average downward change",1.36644630566906
"row with biggest return upward",7
"downward distance for row with the largest upward value",0.0852420030517667
"return upward value",0.118797852730534
"Return upward as a proportion of the downward distance:",1.39365393206902
