Name,AIC
preserved ~ RndCumErr,3136.674632
preserved ~ RndCumErr,3163.549656
preserved ~ RndCumErr,3164.775318
preserved ~ RndCumErr,3166.960028
preserved ~ RndCumErr,3168.086878
preserved ~ RndCumErr,3168.614418
preserved ~ RndCumErr,3176.269751
preserved ~ RndCumErr,3178.329655
preserved ~ RndCumErr,3179.174005
preserved ~ RndCumErr,3180.208238
preserved ~ RndCumErr,3180.482289
preserved ~ RndCumErr,3181.453197
preserved ~ RndCumErr,3182.35066
preserved ~ RndCumErr,3182.516924
preserved ~ RndCumErr,3185.129727
preserved ~ RndCumErr,3185.443661
preserved ~ RndCumErr,3185.757979
preserved ~ RndCumErr,3186.314245
preserved ~ RndCumErr,3187.60443
preserved ~ RndCumErr,3189.812741
preserved ~ RndCumErr,3191.056783
preserved ~ RndCumErr,3192.433585
preserved ~ RndCumErr,3192.828777
preserved ~ RndCumErr,3194.022955
preserved ~ RndCumErr,3195.224421
preserved ~ RndCumErr,3196.555703
preserved ~ RndCumErr,3196.773721
preserved ~ RndCumErr,3198.643867
preserved ~ RndCumErr,3198.650418
preserved ~ RndCumErr,3208.806577
preserved ~ RndCumErr,3209.598178
preserved ~ RndCumErr,3210.594036
preserved ~ RndCumErr,3210.999684
preserved ~ RndCumErr,3211.407424
preserved ~ RndCumErr,3212.139217
preserved ~ RndCumErr,3212.477362
preserved ~ RndCumErr,3212.487299
preserved ~ RndCumErr,3212.945977
preserved ~ RndCumErr,3213.270306
preserved ~ RndCumErr,3213.460177
preserved ~ RndCumErr,3214.143373
preserved ~ RndCumErr,3217.619487
preserved ~ RndCumErr,3217.892976
preserved ~ RndCumErr,3218.105174
preserved ~ RndCumErr,3220.298061
preserved ~ RndCumErr,3221.217798
preserved ~ RndCumErr,3223.175217
preserved ~ RndCumErr,3224.108552
preserved ~ RndCumErr,3224.238139
preserved ~ RndCumErr,3225.412418
preserved ~ RndCumErr,3225.960761
preserved ~ RndCumErr,3226.10418
preserved ~ RndCumErr,3226.228586
preserved ~ RndCumErr,3227.30173
preserved ~ RndCumErr,3227.323365
preserved ~ RndCumErr,3229.062024
preserved ~ RndCumErr,3229.292661
preserved ~ RndCumErr,3230.338024
preserved ~ RndCumErr,3230.81994
preserved ~ RndCumErr,3232.51428
preserved ~ RndCumErr,3232.721634
preserved ~ RndCumErr,3232.821152
preserved ~ RndCumErr,3233.027071
preserved ~ RndCumErr,3233.209231
preserved ~ RndCumErr,3233.528355
preserved ~ RndCumErr,3235.374493
preserved ~ RndCumErr,3236.175039
preserved ~ RndCumErr,3237.391424
preserved ~ RndCumErr,3237.753596
preserved ~ RndCumErr,3238.622366
preserved ~ RndCumErr,3239.734708
preserved ~ RndCumErr,3240.154911
preserved ~ RndCumErr,3240.256793
preserved ~ RndCumErr,3240.381235
preserved ~ RndCumErr,3240.728496
preserved ~ RndCumErr,3241.440417
preserved ~ RndCumErr,3242.884533
preserved ~ RndCumErr,3242.9315
preserved ~ RndCumErr,3243.757318
preserved ~ RndCumErr,3244.260351
preserved ~ RndCumErr,3245.308275
preserved ~ RndCumErr,3246.30765
preserved ~ RndCumErr,3248.311795
preserved ~ RndCumErr,3248.319319
preserved ~ RndCumErr,3248.9109
preserved ~ RndCumErr,3249.315554
preserved ~ RndCumErr,3253.229025
preserved ~ RndCumErr,3253.555627
preserved ~ RndCumErr,3254.312845
preserved ~ RndCumErr,3255.010357
preserved ~ RndCumErr,3255.258559
preserved ~ RndCumErr,3259.05032
preserved ~ RndCumErr,3259.380539
preserved ~ RndCumErr,3260.320391
preserved ~ RndCumErr,3261.348727
preserved ~ RndCumErr,3263.645402
preserved ~ RndCumErr,3265.64453
preserved ~ RndCumErr,3269.852861
preserved ~ RndCumErr,3280.923484
preserved ~ RndCumErr,3285.45267
***preserved ~ CumErr,3331.365555
Random average,3220.356551
Random SD,29.55670502
