"Name","AIC"
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3081.33432608013
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3104.03698330537
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3110.31401113922
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3110.91787170035
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3112.45606720709
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3113.31583401244
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3119.55979994173
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3120.30438819954
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3122.54783113278
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3125.22386854341
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3129.53700182095
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3130.34565308454
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3131.44760681903
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3132.75875586704
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3133.32150826943
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3134.65782860764
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3134.87268939835
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3135.42507556542
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3137.40140889994
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3138.21378619443
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3138.4469258466
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3140.09633919765
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3140.30943296667
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3140.5259136939
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3140.7265362436
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3141.15446277539
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3141.94714157954
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3144.6502200418
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3145.24138696
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3145.25494631505
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3146.21104310011
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3146.28131652409
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3146.80806398532
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3147.54729643332
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3147.96580958693
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3148.07501435996
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3149.36527484768
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3149.94546045945
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3150.38863538826
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3151.55962580567
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3151.75993750342
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3151.79964417221
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3151.90052521795
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3152.10639619074
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3152.12220524117
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3152.67704664788
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3152.89345727397
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3154.7422388352
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3157.25483055132
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3157.277567457
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3158.37239807706
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3158.58970545075
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3159.17904138896
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3159.2614405623
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3159.49215045018
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3159.882469539
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3159.94459323194
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3160.54887871669
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3163.7857478883
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3164.45037830604
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3164.74174637103
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3165.41315566234
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3165.58288363744
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3166.3075969802
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3166.85904358328
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3167.24576247403
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3168.54224513835
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3168.83495390585
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3169.0869874892
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3169.51408407864
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3170.94731085787
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3172.95229431594
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3173.05965153101
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3173.52829189689
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3173.99573886771
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3175.3268622279
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3175.95034549006
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3178.12122372613
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3179.85267138927
