"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",3451.67086296398,0,1,0.327952901022193,0.0396498321915891,3.5430702967692,-0.0849807103024879,0.0350979077532184,-0.0224419032693733,-0.357740378270913,NA,0.105853016826952,0.0246819429467612,NA,-0.0111865166234155,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",3452.4101856063,0.739322642313709,0.690968307360622,0.226605060913311,0.0388886630542719,3.56825908977327,-0.0851864648457695,-0.130252957865423,NA,-0.359149844635487,0.107481050301663,NA,0.0244762686940094,-0.0121193102882075,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",3452.41428312381,0.743420159832112,0.689554129138254,0.226141277062722,0.0393694329463359,1.40765424081587,0.214115152342247,NA,NA,0.629756180457733,NA,NA,-0.0457833474715043,NA,NA,-0.139149182163248,0.0106536291610825
"preserved ~ stimlen * log_freq + I(pos^2) + pos",3453.47462333947,1.80376037548695,0.405805950632722,0.13308523876207,0.0374773836596292,3.56765429370068,-0.0853579037548601,0.25811307589531,-0.0255013255430094,-0.376176615581077,NA,NA,0.0270026697977032,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",3455.39194596957,3.7210830055933,0.155588356022747,0.0510256527229338,0.0362778262238097,3.62112599490753,-0.0883667457995529,0.0526077330030453,NA,-0.383025239446072,NA,NA,0.0277454382621924,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",3457.24803668207,5.57717371809031,0.0615080721048581,0.0201717506830704,0.0359832443712686,2.93685910907267,NA,-0.103091265754677,NA,-0.344233584111727,0.10644528667786,NA,0.0199285134230667,-0.0124273310485595,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",3457.94936455314,6.27850158915771,0.0433152377593374,0.0142053578816408,0.0343175959265004,3.74421037976653,-0.104514496236922,NA,NA,-0.384654896503413,NA,NA,0.027935229806551,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",3465.43441525199,13.7635522880055,0.00102631953407181,0.000336584468574596,0.0339007681701206,3.01459684269591,-0.0688681343138774,0.273269534150116,-0.0273118453534171,-0.132835187273307,NA,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",3467.11858525561,15.4477222916289,0.00044215009777179,0.000145004407251505,0.0295487660614687,2.97511483918349,NA,NA,NA,-0.368809945672283,NA,NA,0.022549139150026,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",3467.3715432715,15.7006803075205,0.000389619415200668,0.000127776817509629,0.0339125111835158,3.01473152312855,-0.0693061397576435,0.273920194965474,-0.0284798657839958,-0.132070753236068,NA,0.00197822034479555,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",3468.10256129943,16.4316983354524,0.000270334853906043,8.86570995858976e-05,0.0324847247024782,3.05618248339715,-0.0717571182575412,0.0533858015142041,NA,-0.132845389996333,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",3469.63356939729,17.9627064333067,0.000125732588896097,4.12343672815057e-05,0.0326503354862102,3.04759195101726,-0.0694344898834124,0.082962184851912,NA,-0.135707701053693,-0.00668560855835909,NA,NA,NA,NA,NA,NA
"preserved ~ pos + log_freq",3470.44331350753,18.7724505435522,8.38714513990005e-05,2.75058857992441e-05,0.0303065313203488,2.58444019055538,NA,0.0666100979441878,NA,-0.154568438074122,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos",3470.84313846473,19.172275500744,6.86741467603804e-05,2.25218856552906e-05,0.0304595965907141,3.17688291721187,-0.0880383646022853,NA,NA,-0.132682483999634,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",3471.58145262941,19.9105896654251,4.7475591948263e-05,1.55697581071787e-05,0.0306409654124869,2.59430391755255,NA,0.107985673545687,NA,-0.157713379475416,-0.00948582707287798,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * pos",3473.41254463995,21.7416816759701,1.90043845812745e-05,6.23254305557041e-06,0.0306104717754712,2.92819453840267,-0.0584192138069319,NA,NA,-0.0589961747178956,NA,NA,NA,NA,NA,-0.00850039454329425,NA
"preserved ~ pos",3476.04201838574,24.3711554217562,5.10353198998542e-06,1.67371812157529e-06,0.0269600606274372,2.60443741953858,NA,NA,NA,-0.161278274142116,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",3505.0555657665,53.3847028025225,2.55657817673955e-12,8.38437229751765e-13,0.0183764526053182,3.03701276841925,-0.141387558370862,0.272270270259882,-0.0272240628796876,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",3507.72422534156,56.0533623775782,6.7323550806589e-13,2.20789537941359e-13,0.0169480417057811,3.07836729103014,-0.144261980429748,0.0528937781100351,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",3510.41343844031,58.7425754763303,1.75473609213304e-13,5.75470791943377e-14,0.0149258050002788,3.19790853865377,-0.160301558377469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",3543.17555018822,91.5046872242392,1.34899281057181e-20,4.42406105685106e-21,4.39828589950119e-16,1.94003831891546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
