"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + I(pos^2) + pos",3311.42658359879,0,1,0.999953195560613,0.0878099431258611,2.94721528053129,-0.715826937150923,0.0354406480566101,-0.350469409357191,NA,NA
"preserved ~ CumErr + stimlen",3326.08344361027,0,1,0.933457568106428,0.0846657707946975,2.90534702082238,-0.697510711480421,NA,NA,-0.0826647785102392,NA
"preserved ~ CumErr",3331.36555498938,19.9389713905953,4.68066301455754e-05,4.68044393874919e-05,0.0812408486840805,2.27484845627844,-0.735407522603983,NA,NA,NA,NA
"preserved ~ CumErr",3331.36555498938,5.28211137911103,0.071285973960827,0.0665424318935717,0.0812408486840805,2.27484845627844,-0.735407522603983,NA,NA,NA,NA
"preserved ~ CumErr",3331.36555498938,0,1,0.513231324079098,0.0812408486840805,2.27484845627844,-0.735407522603983,NA,NA,NA,NA
"preserved ~ CumErr",3331.36555498938,0,1,0.513231324079552,0.0812408486840805,2.27484845627844,-0.735407522603983,NA,NA,NA,NA
"preserved ~ CumErr + CumPres",3331.47143030046,0.105875311079217,0.948439140565558,0.486768675920902,0.0820038374637094,2.35666627970095,-0.724137879567701,NA,NA,NA,-0.0329668978159015
"preserved ~ CumErr + pos",3331.47143030046,0.105875311082855,0.948439140563832,0.486768675920448,0.0820038374637094,2.38963317751689,-0.691170981751809,NA,-0.0329668978159016,NA,NA
"preserved ~ I(pos^2) + pos",3467.11858525561,155.692001656825,1.55564824003701e-34,1.55557542879325e-34,0.0295487660614687,2.97511483918349,NA,0.022549139150026,-0.368809945672283,NA,NA
"preserved ~ pos",3476.04201838574,144.676463396357,3.83623446582412e-32,1.96887569437453e-32,0.0269600606274372,2.60443741953858,NA,NA,-0.161278274142116,NA,NA
"preserved ~ stimlen",3510.41343844031,184.329994830042,9.40264843253769e-41,8.77697333959635e-41,0.0149258050002788,3.19790853865377,NA,NA,NA,-0.160301558377469,NA
"preserved ~ CumPres",3533.39368235648,202.028127367101,1.34942747268247e-44,6.92568448553536e-45,0.0046584056517347,2.13596104738828,NA,NA,NA,NA,-0.0746651553629134
