"Name","AIC"
"***preserved ~ CumErr + I(pos^2) + pos + log_freq",648.117266940533
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",670.767033195779
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",673.9348499511
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",674.560526785135
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",674.569701851876
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",677.134426504517
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",677.740693447777
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",678.370648402402
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",683.99085258339
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",684.579307765082
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",686.703961106503
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",689.957365795964
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",690.796523690642
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",691.249267267113
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",692.632410075756
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",692.775216147759
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",693.242623721738
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",693.680425119151
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",694.885319686818
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",695.059017740109
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",696.350175732219
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",697.213358414847
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",697.300448047457
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",697.389960175654
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",697.867048700696
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",697.976331518449
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",698.298235203421
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",698.892666760851
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",700.035129135988
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",700.578587360229
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",700.588763733538
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",701.558284730231
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",701.734814822282
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",702.688563604171
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",703.381469092945
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",703.473921857566
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",703.702576278091
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",704.092214074461
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",705.063376715563
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",705.277471808191
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",705.438569449188
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",705.651198916992
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",706.03647044237
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",706.378869380205
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",706.490621299071
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",706.532224865095
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",707.514375989417
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",707.618473865475
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",708.002354811927
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",708.359941021823
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",710.920612268
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",711.179583713198
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",711.266817305331
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",714.792738272752
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",715.728893999676
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",715.991451863267
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",716.130369543443
