"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen + I(pos^2) + pos + log_freq",897.592795097654,0,1,0.492841199638135,0.094482010822681,2.58284817179844,0.16643093146221,0.193459443432275,NA,-0.747313957015364,NA,NA,0.049445884714703,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",899.594571022589,2.00177592493469,0.367552923024558,0.181145223513926,0.0944822590343096,2.58237287033896,0.166601934890639,0.190582066102574,0.000423713591400517,-0.747522858564242,NA,NA,0.0494698504753941,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",901.011035867921,3.41824077026706,0.181024954847614,0.0892165559115372,0.0865377544694877,1.65522686676385,0.206925171243669,0.193654998457723,NA,-0.343039386851552,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",901.547482411864,3.95468731420976,0.138436484099211,0.0682272028971406,0.0945298284431698,2.56392721087636,0.167595492086335,0.183813021876022,NA,-0.737685816011382,0.0104719756219306,NA,0.0479170557802397,-0.00166166173380629,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",902.593160328935,5.00036523128097,0.0820700099879224,0.0404474821767614,0.0869977332916337,1.67076027380804,0.208828558676839,0.255599392823908,NA,-0.351571517097846,-0.015510935719636,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",902.955918581785,5.36312348413082,0.0684561597628657,0.0337380159001506,0.0865846961965111,1.66723111880407,0.204429159234186,0.232467525748775,-0.00574602603410807,-0.342872949410594,NA,NA,NA,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",903.426741373051,5.83394627539712,0.054097184462092,0.0266613212873429,0.0854654219313701,3.60298728407177,NA,0.137249522489107,NA,-0.783327789214609,0.0076232655912848,NA,0.0622256294623513,-0.000507630276805028,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",903.539968035043,5.9471729373895,0.0511196421724021,0.0251938657733189,0.0945554307976604,2.55043503827795,0.170423276834995,0.152357754922978,0.00525995646231178,-0.736789510718423,NA,0.0114372098754647,0.0475820925725428,NA,-0.00207722573823927,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",904.574210033771,6.98141493611752,0.0304793014096042,0.0150214554708416,0.0870404997737419,1.65949017525362,0.212305997209694,0.223677945894605,0.00662915337846976,-0.353703187991119,NA,-0.0187403668981646,NA,NA,NA,NA,NA
"preserved ~ pos + log_freq",905.865417268876,8.27262217122234,0.0159816980136727,0.00787643922131287,0.0717872625163936,2.69533498248491,NA,0.14722659619601,NA,-0.253838332659344,NA,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",905.95736268084,8.36456758318616,0.0152636088296476,0.00752253528641076,0.0725652830750182,3.58949404144818,NA,NA,NA,-0.767484703790441,NA,NA,0.0580150951237656,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",906.737441363778,9.14464626612425,0.0103339247279867,0.00509298385991115,0.0765923562412631,2.93289211829643,0.106887192369848,NA,NA,-0.742339858740285,NA,NA,0.0492795290599141,NA,NA,NA,NA
"preserved ~ pos * log_freq",907.628483577908,10.0356884802538,0.00661877984061982,0.00326200739679178,0.0720033820924361,2.71130535278907,NA,0.187732985104442,NA,-0.258819222437502,-0.0103082559004697,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",909.058111501062,11.4653164034079,0.00323845730919998,0.001596045185243,0.0800385101506905,3.78705407729317,0.0390994012010402,NA,NA,-1.56154248854075,NA,NA,0.195566326432591,NA,NA,0.0790876290195908,-0.0151550390710669
"preserved ~ stimlen + pos",910.188220461671,12.5954253640169,0.00184050979725923,0.000907079056426981,0.0685048760521428,2.00719925918646,0.147168751105343,NA,NA,-0.338990960746469,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * pos",910.56186362565,12.9690685279962,0.00152687172020602,0.00075250529027988,0.0704122142453428,2.83718595880664,0.0305209186243018,NA,NA,-0.572263652964185,NA,NA,NA,NA,NA,0.0310249188599998,NA
"preserved ~ pos",911.387158125405,13.7943630277513,0.00101062986491515,0.000498080035014907,0.0604232402677086,2.73426011159395,NA,NA,NA,-0.270850553203937,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",936.82994610573,39.2371510080766,3.01828965909296e-09,1.48753749644275e-09,0.0198738485346649,1.79394407030842,-0.00203766287958089,0.185388606438539,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",938.743792713534,41.1509976158804,1.15924279495529e-09,5.71322609737631e-10,0.0199598322665679,1.81016458845223,-0.00524307690977708,0.23583107400584,-0.00741504358155917,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",945.278208451976,47.685413354322,4.41818662368802e-11,2.17746439584357e-11,0,1.75002679471943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",945.569987674516,47.9771925768624,3.8184314935055e-11,1.88188035799529e-11,0.00192904791334118,2.13257530998229,-0.0573468680295952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
