"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + I(pos^2) + pos",648.563542765262,0,1,0.996619394949129,0.385694809410193,3.70891080918178,-1.86198082520173,0.10816213339478,-0.829348384495622,NA,NA
"preserved ~ CumErr + stimlen",659.859772417023,0,1,0.509548693482134,0.37012086343014,1.72216508327433,-1.84490308085168,NA,NA,0.110965395433078,NA
"preserved ~ CumErr",659.936171253595,11.3726284883334,0.00339207230764732,0.00338060505087116,0.366340101739742,2.43561191029311,-1.81297596508598,NA,NA,NA,NA
"preserved ~ CumErr",659.936171253595,0.0763988365719115,0.962520977467804,0.490451306517866,0.366340101739742,2.43561191029311,-1.81297596508598,NA,NA,NA,NA
"preserved ~ CumErr",659.936171253595,0,1,0.70833348348469,0.366340101739742,2.43561191029311,-1.81297596508598,NA,NA,NA,NA
"preserved ~ CumErr",659.936171253595,0,1,0.708333483484667,0.366340101739742,2.43561191029311,-1.81297596508598,NA,NA,NA,NA
"preserved ~ CumErr + pos",661.710779097163,1.77460784356788,0.411764406618858,0.291666516515333,0.366379571946988,2.40316555008178,-1.82261831957991,NA,0.0105206829852822,NA,NA
"preserved ~ CumErr + CumPres",661.710779097163,1.77460784356811,0.411764406618812,0.291666516515309,0.366379571946988,2.41368623306708,-1.81209763659464,NA,NA,NA,0.0105206829852822
"preserved ~ I(pos^2) + pos",905.95736268084,257.393819915578,1.28127445413611e-56,1.2769429712449e-56,0.0725652830750182,3.58949404144818,NA,0.0580150951237656,-0.767484703790441,NA,NA
"preserved ~ pos",911.387158125405,251.45098687181,2.50099006322674e-55,1.77153500364593e-55,0.0604232402677086,2.73426011159395,NA,NA,-0.270850553203937,NA,NA
"preserved ~ CumPres",945.032256581753,285.096085328157,1.23643606665565e-62,8.75809066200308e-63,0.00198456617215736,1.63980695934891,NA,NA,NA,NA,0.0546842342794117
"preserved ~ stimlen",945.569987674516,285.710215257493,9.09525846454833e-63,4.63447706749292e-63,0.00192904791334118,2.13257530998229,NA,NA,NA,-0.0573468680295952,NA
