"Name","AIC"
"***preserved ~ CumErr",2107.59404202477
"preserved ~ RndCumErr",2493.07460339569
"preserved ~ RndCumErr",2495.25819527151
"preserved ~ RndCumErr",2500.67703981949
"preserved ~ RndCumErr",2507.51749680962
"preserved ~ RndCumErr",2537.48650585257
"preserved ~ RndCumErr",2538.74941104947
"preserved ~ RndCumErr",2539.84260444572
"preserved ~ RndCumErr",2543.26497381421
"preserved ~ RndCumErr",2547.19685451114
"preserved ~ RndCumErr",2549.89551956316
"preserved ~ RndCumErr",2553.78944841553
"preserved ~ RndCumErr",2554.31778637073
"preserved ~ RndCumErr",2556.29712145844
"preserved ~ RndCumErr",2556.33157325082
"preserved ~ RndCumErr",2556.53516235484
"preserved ~ RndCumErr",2557.68899505522
"preserved ~ RndCumErr",2558.02995682602
"preserved ~ RndCumErr",2563.99687161495
"preserved ~ RndCumErr",2564.61531949591
"preserved ~ RndCumErr",2564.76506348504
"preserved ~ RndCumErr",2565.70724881938
"preserved ~ RndCumErr",2565.73878802061
"preserved ~ RndCumErr",2565.9195105224
"preserved ~ RndCumErr",2565.93575074943
"preserved ~ RndCumErr",2566.99915879048
"preserved ~ RndCumErr",2568.25360364652
"preserved ~ RndCumErr",2568.54903939872
"preserved ~ RndCumErr",2571.65884788292
"preserved ~ RndCumErr",2572.41658687633
"preserved ~ RndCumErr",2573.00427812156
"preserved ~ RndCumErr",2575.99827159909
"preserved ~ RndCumErr",2576.42233816739
"preserved ~ RndCumErr",2582.17072688463
"preserved ~ RndCumErr",2583.20802807926
"preserved ~ RndCumErr",2584.48043917028
"preserved ~ RndCumErr",2585.27604356581
"preserved ~ RndCumErr",2585.32132379414
"preserved ~ RndCumErr",2587.6369899565
"preserved ~ RndCumErr",2587.97767981192
"preserved ~ RndCumErr",2588.07917083478
"preserved ~ RndCumErr",2589.62784179238
"preserved ~ RndCumErr",2589.65902660382
"preserved ~ RndCumErr",2591.32107022331
"preserved ~ RndCumErr",2592.31578401123
"preserved ~ RndCumErr",2593.72353425497
"preserved ~ RndCumErr",2595.93151929879
"preserved ~ RndCumErr",2597.15646464446
"preserved ~ RndCumErr",2597.22587562982
"preserved ~ RndCumErr",2597.89383876308
"preserved ~ RndCumErr",2598.64198381
"preserved ~ RndCumErr",2599.87143595315
"preserved ~ RndCumErr",2601.10924937447
"preserved ~ RndCumErr",2606.05180225907
"preserved ~ RndCumErr",2606.98009645086
"preserved ~ RndCumErr",2607.64157101046
"preserved ~ RndCumErr",2609.79785796224
"preserved ~ RndCumErr",2610.92362831727
"preserved ~ RndCumErr",2611.17361698244
"preserved ~ RndCumErr",2611.46704544683
"preserved ~ RndCumErr",2611.51522602629
"preserved ~ RndCumErr",2612.16258231864
"preserved ~ RndCumErr",2613.33920402678
"preserved ~ RndCumErr",2614.34770134392
"preserved ~ RndCumErr",2614.77114261049
"preserved ~ RndCumErr",2615.83780273837
"preserved ~ RndCumErr",2616.48198217216
"preserved ~ RndCumErr",2617.51078138342
"preserved ~ RndCumErr",2617.90622761146
"preserved ~ RndCumErr",2619.81868675347
"preserved ~ RndCumErr",2620.24711025996
"preserved ~ RndCumErr",2620.75938815321
"preserved ~ RndCumErr",2620.8652074976
"preserved ~ RndCumErr",2621.39166203432
"preserved ~ RndCumErr",2621.84358579722
"preserved ~ RndCumErr",2621.85954550509
"preserved ~ RndCumErr",2622.73863761492
"preserved ~ RndCumErr",2624.39259140468
"preserved ~ RndCumErr",2625.26166541764
"preserved ~ RndCumErr",2626.11783011167
"preserved ~ RndCumErr",2626.2086885715
"preserved ~ RndCumErr",2628.00295694418
"preserved ~ RndCumErr",2629.85079670538
"preserved ~ RndCumErr",2633.327020225
"preserved ~ RndCumErr",2634.39817506205
"preserved ~ RndCumErr",2634.99329544794
"preserved ~ RndCumErr",2635.05052231497
"preserved ~ RndCumErr",2635.94492169452
"preserved ~ RndCumErr",2637.9982853778
"preserved ~ RndCumErr",2640.36652683731
"preserved ~ RndCumErr",2641.07230932671
"preserved ~ RndCumErr",2641.96403658354
"preserved ~ RndCumErr",2643.04686736249
"preserved ~ RndCumErr",2644.48974703355
"preserved ~ RndCumErr",2646.94228510748
"preserved ~ RndCumErr",2649.51116993392
"preserved ~ RndCumErr",2650.74061188617
"preserved ~ RndCumErr",2669.26023104632
"preserved ~ RndCumErr",2670.51168137282
"preserved ~ RndCumErr",2682.96412507071
"preserved ~ RndCumErr",2701.99534682373
"Random average",2597.2640573185
"Random SD",39.1401659130178
