"Name","AIC"
"***preserved ~ CumErr + I(pos^2) + pos + stimlen",2066.69127055761
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2271.16891173497
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2279.43788472367
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2282.67209836166
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2288.54431100387
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2292.38785337229
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2293.06871207968
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2293.14350415294
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2294.78880431254
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2296.28784040093
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2296.31404678253
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2298.3924362722
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2300.97576776973
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2302.4193331098
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2305.33497241862
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2306.00809635127
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2306.07372817037
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2306.4479392014
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2306.47623191635
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2306.74621484682
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2309.67110642117
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2309.85633206065
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2312.89287790805
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2315.85293736088
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2316.10411117358
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2317.81983327347
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2318.25720085384
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2320.55762388951
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2320.58753368162
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2321.0507991696
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2324.8246834637
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2324.93484097221
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2325.75205586716
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2327.73959540126
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2330.13398478818
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2331.54629860051
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2335.42853448625
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2335.72100818565
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2336.70101992067
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2336.80064272622
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2336.86062768277
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2338.04371834747
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2338.46642848245
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2338.58472723623
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2338.93051196188
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2339.41040112069
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2341.07576893622
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2341.11866868192
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2341.4105087938
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2341.62328023453
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2341.70003103581
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2341.88688154889
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2343.23639838363
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2344.45183778632
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2345.01975697618
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2345.22555146295
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2345.98142917737
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2346.06134706168
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2346.40799710991
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2349.43122316554
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2349.61623960573
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2350.52131050739
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2353.10485480738
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2356.07993036372
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2357.13219135643
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2357.34293812394
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2359.03734632689
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2359.16613083426
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2360.48821478789
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2360.82397363221
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2361.94511443253
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2362.10336991138
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2364.65475706954
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2366.32308500301
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2366.61005934217
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2367.45829630196
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2369.54505510499
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2371.4007106168
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2371.48010353955
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2372.59385558876
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2372.92532535531
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2373.1220933439
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2373.48970408031
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2373.691392139
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2374.21564876772
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2375.63509121796
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2376.28499140709
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2376.50583235298
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2381.89891570395
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2382.57256444375
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2383.81296725521
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2384.84872924623
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2386.52641463526
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2389.43110347524
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2397.71756610505
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2398.81543890525
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2401.96831044092
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2402.82739040269
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2410.0395253548
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2413.67670362896
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",2413.68667412418
"Random average",2343.24968722014
"Random SD",32.864606158721
