"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen * (I(pos^2) + pos)",2912.63340716961,0,1,0.767968336251366,0.122216204408485,8.19275403972289,-0.44899833958698,NA,NA,-2.39720166492072,NA,NA,0.23201046910441,NA,NA,0.182424478589104,-0.0203968744533204
"preserved ~ stimlen + I(pos^2) + pos",2917.17752777569,4.54412060608001,0.103099544806176,0.0791771858930721,0.119636147885915,5.15716253016533,-0.0960048113963557,NA,NA,-0.792359062250316,NA,NA,0.0490195373850508,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",2917.21475629875,4.5813491291342,0.101198174121713,0.077716993411928,0.120546359498333,5.06211677096326,-0.0837509616635091,0.038846384806915,NA,-0.790570106006612,NA,NA,0.04882733304889,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",2918.43573902023,5.80233185061115,0.0549591044760011,0.0422068520262996,0.12101864358423,5.01582403576087,-0.0814316131466897,0.185739306059995,-0.0178464094308568,-0.783207557391507,NA,NA,0.0481018520996892,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",2920.65758943272,8.02418226310738,0.0180955155413625,0.0138967829639109,0.116643405788439,4.46339568103436,NA,NA,NA,-0.781848664319917,NA,NA,0.0443872604215668,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",2921.46007690749,8.82666973787263,0.0121147099192153,0.00930371362082765,0.120673626855469,5.03735357926698,-0.0806763029395283,0.0761112264136935,NA,-0.78737390379536,-0.00757976984892414,NA,0.0481833694360176,4.9640970507999e-05,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",2922.42454994068,9.79114277107055,0.00747963424786679,0.005744122269103,0.121031116608882,5.01903997211661,-0.0812261381767225,0.207746514143275,-0.0177281387498678,-0.785496883416129,NA,-0.00975098443625368,0.0483268531838103,NA,0.000889336581952747,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",2923.20267768325,10.5692705136403,0.0050688806906874,0.00389273987068388,0.118727165575556,4.44762271442162,NA,0.106875880964968,NA,-0.775561153755047,-0.0100858904410801,NA,0.0440323881348547,-0.000120107740002709,NA,NA,NA
"preserved ~ stimlen * pos",2930.78188767795,18.1484805083383,0.000114579660249574,8.7993551050112e-05,0.114392958260778,5.75186499409341,-0.275018317837488,NA,NA,-0.770920953663859,NA,NA,NA,NA,NA,0.0520118147951623,NA
"preserved ~ pos + log_freq",2939.2984564927,26.6650493230832,1.62090704426306e-06,1.24480528600082e-06,0.110159606494944,3.54250419698472,NA,0.049625040739487,NA,-0.335143605599632,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",2940.12931832595,27.4959111563321,1.06988908026666e-06,8.21640936945892e-07,0.111065738568617,3.87884796823403,-0.0531054862475836,0.0406784048736928,NA,-0.316753012765928,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos",2940.28855484441,27.6551476747982,9.88009190220606e-07,7.58759774014778e-07,0.110065472697718,3.97337601732577,-0.0658717875798446,NA,NA,-0.316557851065157,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos",2940.46860098302,27.8351938134015,9.02951579574546e-07,6.93438222281406e-07,0.10858718231857,3.56146519724298,NA,NA,NA,-0.340827230794003,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",2940.64411100886,28.0107038392493,8.27090331773517e-07,6.35179186021698e-07,0.111859369906346,3.84193720798923,-0.0504862984633279,0.224970333846584,-0.0224752677210494,-0.316646188083907,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",2940.87047357,28.2370664003852,7.38582373030438e-07,5.67207876200771e-07,0.110840916842777,3.55904982444629,NA,0.123698429255878,NA,-0.339731375424682,-0.014900891542492,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",2941.8751642127,29.241757043088,4.46923444748961e-07,3.43223054295589e-07,0.111555050751571,3.85821101096649,-0.047661884881962,0.104690499650102,NA,-0.322506538689816,-0.012702572184631,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",2942.80241112486,30.1690039552414,2.81115005915779e-07,2.15887423388434e-07,0.111949910811706,3.84052787967889,-0.0486251343763233,0.221558251854856,-0.018190609377877,-0.319337102238949,NA,-0.00629457615660277,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",3107.21202917622,194.578622006608,5.59485818911377e-43,4.29667393505603e-43,0.0351902598634065,3.97766575872053,-0.242317525441278,0.0387812336152122,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",3107.27433156574,194.64092439613,5.42325831893587e-43,4.16489066825456e-43,0.0341969193473808,4.06758575120234,-0.254355666876889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",3107.68190692365,195.048499754034,4.42340217000801e-43,3.39703280507173e-43,0.0360376745580969,3.94135931722183,-0.239688083982183,0.222740869195055,-0.0223236754247364,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",3172.64374333365,260.010336164039,3.46316260282021e-57,2.65959922225579e-57,2.25090586098231e-16,2.05196848292986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
