"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + I(pos^2) + pos",2067.86834262334,0,1,0.999999997635856,0.427906530733075,4.45155376907608,-1.78144433377137,0.0781499886530735,-0.791589750092071,NA,NA
"preserved ~ CumErr + CumPres",2106.0610681522,0,1,0.682760458020519,0.415430025730842,3.06553339391989,-1.85612654350155,NA,NA,NA,-0.0787938007665502
"preserved ~ CumErr + pos",2106.0610681522,0,1,0.682760458020224,0.415430025730842,3.14432719468646,-1.77733274273499,NA,-0.0787938007665482,NA,NA
"preserved ~ CumErr",2107.59404202477,39.7256994014365,2.36414429512533e-09,2.36414428953615e-09,0.412916276675624,2.84797607336151,-1.86035213388679,NA,NA,NA,NA
"preserved ~ CumErr",2107.59404202477,0,1,0.545762790138099,0.412916276675624,2.84797607336151,-1.86035213388679,NA,NA,NA,NA
"preserved ~ CumErr",2107.59404202477,1.53297387257044,0.464642523234623,0.317239541979481,0.412916276675624,2.84797607336151,-1.86035213388679,NA,NA,NA,NA
"preserved ~ CumErr",2107.59404202477,1.53297387256771,0.464642523235257,0.317239541979776,0.412916276675624,2.84797607336151,-1.86035213388679,NA,NA,NA,NA
"preserved ~ CumErr + stimlen",2107.96117178632,0.367129761546494,0.832297873856444,0.454237209861901,0.414465804855239,3.4236328568526,-1.83178680830966,NA,NA,-0.0750761006401574,NA
"preserved ~ I(pos^2) + pos",2920.65758943272,852.789246809386,6.59428847765302e-186,6.59428846206317e-186,0.116643405788439,4.46339568103436,NA,0.0443872604215668,-0.781848664319917,NA,NA
"preserved ~ pos",2940.46860098302,834.407532830812,6.46705294584308e-182,4.41544803134486e-182,0.10858718231857,3.56146519724298,NA,NA,-0.340827230794003,NA,NA
"preserved ~ stimlen",3107.27433156574,999.680289540972,8.35955755970443e-218,4.56233545810433e-218,0.0341969193473808,4.06758575120234,NA,NA,NA,-0.254355666876889,NA
"preserved ~ CumPres",3172.38662013054,1066.32555197834,2.82064500916566e-232,1.92582487837124e-232,0.00165577428231828,2.1700574439415,NA,NA,NA,NA,-0.0443078468434755
