"Name","AIC"
"***preserved ~ CumPres",5591.73355525856
"preserved ~ RndCumPres",5593.94007989854
"preserved ~ RndCumPres",5613.93166420012
"preserved ~ RndCumPres",5618.14273301249
"preserved ~ RndCumPres",5618.72663750246
"preserved ~ RndCumPres",5620.63019060379
"preserved ~ RndCumPres",5621.41876255762
"preserved ~ RndCumPres",5621.60752814275
"preserved ~ RndCumPres",5622.09944110594
"preserved ~ RndCumPres",5623.55481351061
"preserved ~ RndCumPres",5625.77508141717
"preserved ~ RndCumPres",5626.62854782184
"preserved ~ RndCumPres",5628.21881109126
"preserved ~ RndCumPres",5628.38238877964
"preserved ~ RndCumPres",5628.95629124097
"preserved ~ RndCumPres",5629.33302171116
"preserved ~ RndCumPres",5631.27158838578
"preserved ~ RndCumPres",5632.26726388822
"preserved ~ RndCumPres",5633.50607672146
"preserved ~ RndCumPres",5633.92603953143
"preserved ~ RndCumPres",5634.06340346992
"preserved ~ RndCumPres",5634.0877040278
"preserved ~ RndCumPres",5634.77556584472
"preserved ~ RndCumPres",5635.53474813189
"preserved ~ RndCumPres",5635.77489059972
"preserved ~ RndCumPres",5636.25677844888
"preserved ~ RndCumPres",5636.77193706647
"preserved ~ RndCumPres",5636.80457944431
"preserved ~ RndCumPres",5637.6161457863
"preserved ~ RndCumPres",5638.04449652103
"preserved ~ RndCumPres",5638.72914265005
"preserved ~ RndCumPres",5639.19337668607
"preserved ~ RndCumPres",5639.59239347761
"preserved ~ RndCumPres",5640.07134615662
"preserved ~ RndCumPres",5640.69140621391
"preserved ~ RndCumPres",5640.78720285426
"preserved ~ RndCumPres",5641.71565474558
"preserved ~ RndCumPres",5641.80330872351
"preserved ~ RndCumPres",5643.29279367515
"preserved ~ RndCumPres",5644.71488685473
"preserved ~ RndCumPres",5645.01700844052
"preserved ~ RndCumPres",5645.92692516152
"preserved ~ RndCumPres",5646.34766218323
"preserved ~ RndCumPres",5647.88416669495
"preserved ~ RndCumPres",5647.95899706753
"preserved ~ RndCumPres",5648.86303636451
"preserved ~ RndCumPres",5648.86579787113
"preserved ~ RndCumPres",5648.87705738136
"preserved ~ RndCumPres",5649.00051330562
"preserved ~ RndCumPres",5649.76981172781
"preserved ~ RndCumPres",5650.2769578341
"preserved ~ RndCumPres",5650.86311232704
"preserved ~ RndCumPres",5650.88244290429
"preserved ~ RndCumPres",5651.17674001749
"preserved ~ RndCumPres",5651.25414460303
"preserved ~ RndCumPres",5651.26418127479
"preserved ~ RndCumPres",5651.53466211775
"preserved ~ RndCumPres",5651.96140509623
"preserved ~ RndCumPres",5652.44948031807
"preserved ~ RndCumPres",5653.73284840811
"preserved ~ RndCumPres",5653.9381061285
"preserved ~ RndCumPres",5654.203257954
"preserved ~ RndCumPres",5654.24412711117
"preserved ~ RndCumPres",5654.62197513816
"preserved ~ RndCumPres",5655.4249155961
"preserved ~ RndCumPres",5656.33892417352
"preserved ~ RndCumPres",5656.91831562368
"preserved ~ RndCumPres",5657.05541330694
"preserved ~ RndCumPres",5658.03930468251
"preserved ~ RndCumPres",5659.24778053883
"preserved ~ RndCumPres",5660.0246065876
"preserved ~ RndCumPres",5660.11293362171
"preserved ~ RndCumPres",5660.12573658058
"preserved ~ RndCumPres",5660.53102584235
"preserved ~ RndCumPres",5660.81235245843
"preserved ~ RndCumPres",5661.81568616121
"preserved ~ RndCumPres",5661.96245972209
"preserved ~ RndCumPres",5662.81132212257
"preserved ~ RndCumPres",5664.40919778094
"preserved ~ RndCumPres",5666.07525455805
"preserved ~ RndCumPres",5666.65836689962
"preserved ~ RndCumPres",5666.69126522187
"preserved ~ RndCumPres",5666.76579945973
"preserved ~ RndCumPres",5666.83316948591
"preserved ~ RndCumPres",5668.92429130436
"preserved ~ RndCumPres",5669.1968634673
"preserved ~ RndCumPres",5669.20282516276
"preserved ~ RndCumPres",5670.91852716504
"preserved ~ RndCumPres",5671.42761698631
"preserved ~ RndCumPres",5671.81322894521
"preserved ~ RndCumPres",5673.1970522625
"preserved ~ RndCumPres",5674.93959650564
"preserved ~ RndCumPres",5675.32396958414
"preserved ~ RndCumPres",5675.46768192515
"preserved ~ RndCumPres",5676.29355341495
"preserved ~ RndCumPres",5676.41633346753
"preserved ~ RndCumPres",5677.68196444844
"preserved ~ RndCumPres",5678.26707896552
"preserved ~ RndCumPres",5678.45016335016
"preserved ~ RndCumPres",5678.98592789456
"preserved ~ RndCumPres",5679.57174664095
"Random average",5649.28285391847
"Random SD",17.6263971512223
