"Name","AIC"
"***preserved ~ CumPres + stimlen + log_freq",5571.72761594863
"preserved ~ RndCumPres + stimlen + log_freq",5596.78596938246
"preserved ~ RndCumPres + stimlen + log_freq",5598.04209121383
"preserved ~ RndCumPres + stimlen + log_freq",5604.37688152918
"preserved ~ RndCumPres + stimlen + log_freq",5607.83040818807
"preserved ~ RndCumPres + stimlen + log_freq",5608.87415521671
"preserved ~ RndCumPres + stimlen + log_freq",5610.27804837496
"preserved ~ RndCumPres + stimlen + log_freq",5610.84879027416
"preserved ~ RndCumPres + stimlen + log_freq",5612.60592592457
"preserved ~ RndCumPres + stimlen + log_freq",5612.96971734076
"preserved ~ RndCumPres + stimlen + log_freq",5613.9395068435
"preserved ~ RndCumPres + stimlen + log_freq",5613.97741752141
"preserved ~ RndCumPres + stimlen + log_freq",5614.39268167823
"preserved ~ RndCumPres + stimlen + log_freq",5615.96325471901
"preserved ~ RndCumPres + stimlen + log_freq",5616.02278915126
"preserved ~ RndCumPres + stimlen + log_freq",5616.6846697952
"preserved ~ RndCumPres + stimlen + log_freq",5618.34148571414
"preserved ~ RndCumPres + stimlen + log_freq",5618.64601584775
"preserved ~ RndCumPres + stimlen + log_freq",5618.73008728583
"preserved ~ RndCumPres + stimlen + log_freq",5619.5674403185
"preserved ~ RndCumPres + stimlen + log_freq",5623.02142578811
"preserved ~ RndCumPres + stimlen + log_freq",5623.17445540337
"preserved ~ RndCumPres + stimlen + log_freq",5623.59793698756
"preserved ~ RndCumPres + stimlen + log_freq",5623.78037496179
"preserved ~ RndCumPres + stimlen + log_freq",5624.26842865648
"preserved ~ RndCumPres + stimlen + log_freq",5624.56070828431
"preserved ~ RndCumPres + stimlen + log_freq",5624.87066751313
"preserved ~ RndCumPres + stimlen + log_freq",5624.89909875165
"preserved ~ RndCumPres + stimlen + log_freq",5625.85929162369
"preserved ~ RndCumPres + stimlen + log_freq",5627.44533072704
"preserved ~ RndCumPres + stimlen + log_freq",5627.5795342547
"preserved ~ RndCumPres + stimlen + log_freq",5627.64142904376
"preserved ~ RndCumPres + stimlen + log_freq",5627.69170510607
"preserved ~ RndCumPres + stimlen + log_freq",5627.79233707955
"preserved ~ RndCumPres + stimlen + log_freq",5628.8401919379
"preserved ~ RndCumPres + stimlen + log_freq",5630.0926982941
"preserved ~ RndCumPres + stimlen + log_freq",5630.14953677831
"preserved ~ RndCumPres + stimlen + log_freq",5631.46094409229
"preserved ~ RndCumPres + stimlen + log_freq",5631.4885929112
"preserved ~ RndCumPres + stimlen + log_freq",5631.63767908785
"preserved ~ RndCumPres + stimlen + log_freq",5631.91066444504
"preserved ~ RndCumPres + stimlen + log_freq",5632.72789299457
"preserved ~ RndCumPres + stimlen + log_freq",5632.94793864763
"preserved ~ RndCumPres + stimlen + log_freq",5632.96421317504
"preserved ~ RndCumPres + stimlen + log_freq",5633.78242195132
"preserved ~ RndCumPres + stimlen + log_freq",5633.90032970159
