"Name","AIC"
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",513.768206926706
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",523.080201533619
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",524.119688953425
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",524.533236426327
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",527.311045505303
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",528.750325607572
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",531.943447403938
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",532.497490191613
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",535.540620690269
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",535.545264305201
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",535.618083515876
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",535.816029832186
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",536.3172948383
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",536.343302246321
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",536.881050878263
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",537.002658702896
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",537.921230817066
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",539.561238766835
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",540.334476560343
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",542.748263800637
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",543.296176628916
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",544.159479716075
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",545.629087214536
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",545.76128300777
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",546.335555994812
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",546.791869020898
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",547.04618629252
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",547.061644867911
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",547.137788564277
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",547.221350102749
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",548.19969400508
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",548.610053957692
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",548.973484375077
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",550.412400293201
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",550.865325998581
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",550.951706440952
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",551.082965087162
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",551.187724686539
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",551.449295878029
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",551.613249962696
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",551.798646419953
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",552.13845080836
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",552.229841031977
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",553.030564842614
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",553.156810353104
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",554.404700392015
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",554.91114390737
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",554.918238109449
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",555.096267450061
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",555.500503365268
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",556.092267903624
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",557.082130861766
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",558.498540345036
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",558.801180182505
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",559.668078088261
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",559.72231979369
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",560.047069842158
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",560.677287211165
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",561.37067445699
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",562.216112870404
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",562.516202208727
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",563.084279458612
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",563.364454390019
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",563.606908579325
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",564.044870638012
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",564.379643185145
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",564.588781142781
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",564.756049660015
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",564.880633829649
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",565.320688462745
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",565.364069170315
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",565.612649007191
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",565.845753858844
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",566.198826910228
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",566.376382000346
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",566.809638184615
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",567.23103836333
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",567.366776977262
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",567.507692446262
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",567.531457003008
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",567.885879333982
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",568.34500066038
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",568.695827502561
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",570.592504502727
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",570.882144172625
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",571.8847047492
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",572.054992079085
"***preserved ~ CumErr + I(pos^2) + pos + stimlen + log_freq",572.185346783055
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",572.359710605359
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",573.89707233035
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",573.911321585688
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",573.917671989945
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",576.676435192881
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",578.773113332236
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",581.085292735692
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",581.533334318168
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",584.538776680614
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",585.462451168691
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",595.03203643504
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",599.922426893141
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",601.646467848462
"Random average",556.262642674272
"Random SD",16.5633466785215
