"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",746.602117545682,0,1,0.442488465493951,0.142404902740222,2.11347997662126,-0.161685089648235,-0.189713053705737,NA,0.563896304955426,0.296992639227046,NA,-0.0587879697878987,-0.0267817608903756,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",748.20514909637,1.60303155068743,0.448648398274961,0.198521741299006,0.14304500026736,2.01422978772943,-0.142204954085509,-0.354121455373663,0.0261794499785143,0.562356990098676,NA,0.294950897273188,-0.059834299481385,NA,-0.0277741261041984,NA,NA
"preserved ~ stimlen + pos * log_freq",748.342674696757,1.740557151075,0.41883485584934,0.185329592660154,0.132401147291982,2.83553731265424,-0.183504628030425,0.0486093125678489,NA,0.127147319621641,0.100945300348537,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",750.197676067373,3.59555852169126,0.165666381837535,0.0733054630832257,0.132636602119425,2.78399650502707,-0.172560791036633,-0.0443318661673197,0.0155719864454814,0.122638304337215,NA,0.0955386823493007,NA,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",752.183178481953,5.58106093627089,0.0613886405585056,0.0271637653594929,0.132076870978713,1.02611692169025,NA,-0.120545213987809,NA,0.597382062899486,0.296327651890592,NA,-0.0696972247982462,-0.027664089922106,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",753.055608374636,6.4534908289537,0.039686451781734,0.0175607971497992,0.124918761178375,2.2910555766896,-0.149084171140992,0.395963864322559,NA,0.406847158056749,NA,NA,-0.0455255710155522,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",753.074092187588,6.47197464190617,0.0393213629629552,0.0173992495586087,0.128386636770127,2.09567611697634,-0.11122989887534,0.00416097465386696,0.0546499782836892,0.390358605565984,NA,NA,-0.0435306577788299,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",753.642644710227,7.04052716454464,0.0295916343096402,0.0130939568571308,0.119533057011796,2.78752340228063,-0.116185860518044,-0.0488529921251495,0.0617614750685177,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",754.110353048133,7.50823550245116,0.023421104737782,0.0103635686955943,0.11511101993972,3.05110280933476,-0.160919633130272,0.39472076158931,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",755.140590902732,8.53847335705007,0.0139924598230248,0.006191502075576,0.12016349178277,2.78662833289875,-0.130943876288491,-0.0494106358865882,0.06186958128433,0.0300633842329142,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",755.61876876831,9.0166512226283,0.0110168912992132,0.0048748473255025,0.115730225220551,3.05058797447452,-0.175442573475364,0.394906774002895,NA,0.0294491985572983,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",756.238248356916,9.63613081123356,0.00808240820553123,0.00357637240436123,0.118220167030459,1.73704846049393,NA,0.12022825461084,NA,0.0696352391928319,0.0983644118351479,NA,NA,NA,NA,NA,NA
"preserved ~ pos + log_freq",762.860380006606,16.2582624609236,0.00029482422388201,0.000130456318415996,0.102466805171526,2.000053421921,NA,0.454060919226783,NA,-0.0247209534691367,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * pos",776.154735573712,29.5526180280298,3.82587284854337e-07,1.69290460592693e-07,0.0815290793100122,1.20253738131895,0.0258328379876542,NA,NA,0.945012431391194,NA,NA,NA,NA,NA,-0.109653966750099,NA
"preserved ~ stimlen * (I(pos^2) + pos)",778.558849570279,31.9567320245968,1.14996285132749e-07,5.08845297458948e-08,0.0847405518339153,-0.209302795082441,0.210491671759105,NA,NA,2.00303347396886,NA,NA,-0.145865710598435,NA,NA,-0.241294998113726,0.0174331633369115
"preserved ~ stimlen + I(pos^2) + pos",786.773016865422,40.1708993197398,1.89234381983362e-09,8.37340313025141e-10,0.064262540183127,3.11265474191967,-0.281457754247222,NA,NA,0.400471983415848,NA,NA,-0.0449445908936957,NA,NA,NA,NA
"preserved ~ stimlen",787.875787559631,41.2736700139491,1.09027595069134e-09,4.82434532386368e-10,0.0540028021418003,3.86428576913412,-0.293766262447819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos",789.406569450817,42.8044519051349,5.07144089474594e-10,2.2440540993594e-10,0.0546165476406948,3.86398921066885,-0.307691769747354,NA,NA,0.0281609205539727,NA,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",809.302319797167,62.7002022514845,2.42562731170266e-14,1.07331210701552e-14,0.0261428219266809,1.2165407603827,NA,NA,NA,0.449285182710265,NA,NA,-0.0628761293394465,NA,NA,NA,NA
"preserved ~ pos",817.702554123584,71.100436577902,3.63694192829874e-16,1.60930485294352e-16,0.00590892417666992,2.039971230221,NA,NA,NA,-0.0816527412403371,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",819.019433595462,72.4173160497795,1.88269349766706e-16,8.33070156778138e-17,1.98650157441599e-16,1.74904620957579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
