"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + CumPres",636.424384568096,0,1,0.999999714306631,0.297620594220851,1.76291077279622,-0.98387720552612,NA,NA,NA,0.373656958321063
"preserved ~ CumErr + pos",636.424384568096,0,1,0.999999714306631,0.297620594220851,1.38925381447518,-1.35753416384718,NA,0.373656958321063,NA,NA
"preserved ~ CumErr + I(pos^2) + pos",636.72105472058,0,1,0.999999668623852,0.3005289651726,1.01644907522419,-1.34773589122208,-0.036416442198003,0.645121773450189,NA,NA
"preserved ~ CumErr + stimlen",665.105716073611,0,1,0.674296111879164,0.254260108651204,3.05958460660997,-0.947966336861335,NA,NA,-0.099321845868866,NA
"preserved ~ CumErr",666.561077472846,29.8400227522656,3.31376257969636e-07,3.31376148159448e-07,0.25019651576603,2.38459330442446,-0.993064168734999,NA,NA,NA,NA
"preserved ~ CumErr",666.561077472846,1.45536139923513,0.483027978929238,0.325703888120836,0.25019651576603,2.38459330442446,-0.993064168734999,NA,NA,NA,NA
"preserved ~ CumErr",666.561077472846,30.1366929047504,2.8569345049814e-07,2.85693368877416e-07,0.25019651576603,2.38459330442446,-0.993064168734999,NA,NA,NA,NA
"preserved ~ CumErr",666.561077472846,30.1366929047502,2.85693450498157e-07,2.85693368877432e-07,0.25019651576603,2.38459330442446,-0.993064168734999,NA,NA,NA,NA
"preserved ~ CumPres",778.228683188718,141.804298620623,1.61282705270381e-31,1.61282659192981e-31,0.0741325975759998,1.12076706943507,NA,NA,NA,NA,0.382659195282882
"preserved ~ stimlen",787.875787559631,122.77007148602,2.19188470107762e-27,1.47797933162406e-27,0.0540028021418003,3.86428576913412,NA,NA,NA,-0.293766262447819,NA
"preserved ~ I(pos^2) + pos",809.302319797167,172.581265076586,3.34544927002504e-38,3.34544816142295e-38,0.0261428219266809,1.2165407603827,NA,-0.0628761293394465,0.449285182710265,NA,NA
"preserved ~ pos",817.702554123584,181.278169555488,4.32459693584868e-40,4.32459570034001e-40,0.00590892417666992,2.039971230221,NA,NA,-0.0816527412403371,NA,NA
