"Name","AIC"
"preserved ~ RndCumPres",2367.76993344618
"preserved ~ RndCumPres",2368.321069145
"preserved ~ RndCumPres",2369.40882485234
"preserved ~ RndCumPres",2373.89954378892
"preserved ~ RndCumPres",2374.86298548284
"preserved ~ RndCumPres",2375.10731052751
"preserved ~ RndCumPres",2375.96446044168
"preserved ~ RndCumPres",2377.7112333131
"preserved ~ RndCumPres",2379.2143036987
"preserved ~ RndCumPres",2379.2668136347
"preserved ~ RndCumPres",2379.54134993564
"***preserved ~ CumPres",2379.75990831858
"preserved ~ RndCumPres",2379.95964721389
"preserved ~ RndCumPres",2382.051149815
"preserved ~ RndCumPres",2382.12287847584
"preserved ~ RndCumPres",2382.17565033574
"preserved ~ RndCumPres",2382.24410221772
"preserved ~ RndCumPres",2383.18869048595
"preserved ~ RndCumPres",2383.65061364413
"preserved ~ RndCumPres",2383.7915266669
"preserved ~ RndCumPres",2383.80179171708
"preserved ~ RndCumPres",2384.05123946757
"preserved ~ RndCumPres",2384.45047526196
"preserved ~ RndCumPres",2384.979425373
"preserved ~ RndCumPres",2385.30778167469
"preserved ~ RndCumPres",2385.84641051509
"preserved ~ RndCumPres",2386.35060073567
"preserved ~ RndCumPres",2386.42818370617
"preserved ~ RndCumPres",2386.43289292531
"preserved ~ RndCumPres",2386.69397617228
"preserved ~ RndCumPres",2386.81434403638
"preserved ~ RndCumPres",2387.29069445094
"preserved ~ RndCumPres",2387.51670872247
"preserved ~ RndCumPres",2387.56939201062
"preserved ~ RndCumPres",2387.76113448358
"preserved ~ RndCumPres",2388.0169818613
"preserved ~ RndCumPres",2388.45624329667
"preserved ~ RndCumPres",2388.55651267227
"preserved ~ RndCumPres",2388.95839522277
"preserved ~ RndCumPres",2388.99291404778
"preserved ~ RndCumPres",2389.46573688424
"preserved ~ RndCumPres",2389.71631966982
"preserved ~ RndCumPres",2389.89708701205
"preserved ~ RndCumPres",2390.27278051166
"preserved ~ RndCumPres",2390.51326209467
"preserved ~ RndCumPres",2391.11557991892
"preserved ~ RndCumPres",2391.17845030991
"preserved ~ RndCumPres",2391.96420792689
"preserved ~ RndCumPres",2392.49871506236
"preserved ~ RndCumPres",2392.5605947318
"preserved ~ RndCumPres",2392.6174049281
"preserved ~ RndCumPres",2392.72140499984
"preserved ~ RndCumPres",2392.80179201701
"preserved ~ RndCumPres",2392.87208889269
"preserved ~ RndCumPres",2393.03714122988
"preserved ~ RndCumPres",2393.20962212474
"preserved ~ RndCumPres",2393.32647389888
"preserved ~ RndCumPres",2393.34097732718
"preserved ~ RndCumPres",2393.34518112961
"preserved ~ RndCumPres",2393.38781600222
"preserved ~ RndCumPres",2393.56674606004
"preserved ~ RndCumPres",2393.67957008649
"preserved ~ RndCumPres",2393.91193423733
"preserved ~ RndCumPres",2394.11230627671
"preserved ~ RndCumPres",2394.60883610093
"preserved ~ RndCumPres",2394.84537294028
"preserved ~ RndCumPres",2395.01504125819
"preserved ~ RndCumPres",2395.07807255828
"preserved ~ RndCumPres",2395.31403276593
"preserved ~ RndCumPres",2395.44827356292
"preserved ~ RndCumPres",2395.47224017663
"preserved ~ RndCumPres",2395.52924251017
"preserved ~ RndCumPres",2395.80868712535
"preserved ~ RndCumPres",2396.09460743244
"preserved ~ RndCumPres",2396.20541519793
"preserved ~ RndCumPres",2396.37727104232
"preserved ~ RndCumPres",2396.76677554281
"preserved ~ RndCumPres",2396.8329790784
"preserved ~ RndCumPres",2397.20743104398
"preserved ~ RndCumPres",2397.25488657605
"preserved ~ RndCumPres",2397.2649516652
"preserved ~ RndCumPres",2397.2690351334
"preserved ~ RndCumPres",2397.38235462376
"preserved ~ RndCumPres",2397.77098482904
"preserved ~ RndCumPres",2398.20635807776
"preserved ~ RndCumPres",2398.53503939637
"preserved ~ RndCumPres",2398.84430635567
"preserved ~ RndCumPres",2399.39689981254
"preserved ~ RndCumPres",2399.43147858035
"preserved ~ RndCumPres",2399.69510299516
"preserved ~ RndCumPres",2399.81676610339
"preserved ~ RndCumPres",2400.86140660634
"preserved ~ RndCumPres",2401.16742395193
"preserved ~ RndCumPres",2401.23681140428
"preserved ~ RndCumPres",2402.18747704338
"preserved ~ RndCumPres",2402.43145998834
"preserved ~ RndCumPres",2402.49464147761
"preserved ~ RndCumPres",2402.59055210171
"preserved ~ RndCumPres",2403.19469918636
"preserved ~ RndCumPres",2404.94058112233
"preserved ~ RndCumPres",2410.52152417115
"Random average",2390.78740398347
"Random SD",8.29256765444872
