"Name","AIC"
"preserved ~ RndCumPres + pos + log_freq",2328.66573420662
"preserved ~ RndCumPres + pos + log_freq",2335.79243752629
"preserved ~ RndCumPres + pos + log_freq",2335.91234624134
"***preserved ~ CumPres + pos + log_freq",2337.10520901426
"preserved ~ RndCumPres + pos + log_freq",2341.22598153336
"preserved ~ RndCumPres + pos + log_freq",2341.45910653511
"preserved ~ RndCumPres + pos + log_freq",2342.48670061018
"preserved ~ RndCumPres + pos + log_freq",2343.47110178816
"preserved ~ RndCumPres + pos + log_freq",2344.67637780467
"preserved ~ RndCumPres + pos + log_freq",2344.90480136865
"preserved ~ RndCumPres + pos + log_freq",2345.40918428533
"preserved ~ RndCumPres + pos + log_freq",2345.8465178317
"preserved ~ RndCumPres + pos + log_freq",2346.28502074136
"preserved ~ RndCumPres + pos + log_freq",2346.40883832764
"preserved ~ RndCumPres + pos + log_freq",2347.22314387222
"preserved ~ RndCumPres + pos + log_freq",2347.51641546434
"preserved ~ RndCumPres + pos + log_freq",2347.87231579159
"preserved ~ RndCumPres + pos + log_freq",2348.54952540369
"preserved ~ RndCumPres + pos + log_freq",2348.69557813923
"preserved ~ RndCumPres + pos + log_freq",2348.83093419019
"preserved ~ RndCumPres + pos + log_freq",2349.09448721461
"preserved ~ RndCumPres + pos + log_freq",2349.69349983709
"preserved ~ RndCumPres + pos + log_freq",2349.73446050002
"preserved ~ RndCumPres + pos + log_freq",2350.05883788775
"preserved ~ RndCumPres + pos + log_freq",2350.49996846334
"preserved ~ RndCumPres + pos + log_freq",2350.66918133881
"preserved ~ RndCumPres + pos + log_freq",2351.15917883829
"preserved ~ RndCumPres + pos + log_freq",2351.17473986578
"preserved ~ RndCumPres + pos + log_freq",2351.36888328114
"preserved ~ RndCumPres + pos + log_freq",2351.53494441636
"preserved ~ RndCumPres + pos + log_freq",2351.8381363108
"preserved ~ RndCumPres + pos + log_freq",2351.91090749113
"preserved ~ RndCumPres + pos + log_freq",2351.92462010039
"preserved ~ RndCumPres + pos + log_freq",2352.06634860806
"preserved ~ RndCumPres + pos + log_freq",2352.15049894815
"preserved ~ RndCumPres + pos + log_freq",2352.80442993596
"preserved ~ RndCumPres + pos + log_freq",2353.26712797231
"preserved ~ RndCumPres + pos + log_freq",2353.45279214069
"preserved ~ RndCumPres + pos + log_freq",2354.80048836208
"preserved ~ RndCumPres + pos + log_freq",2354.97730974015
"preserved ~ RndCumPres + pos + log_freq",2355.00120500225
"preserved ~ RndCumPres + pos + log_freq",2355.18085195386
"preserved ~ RndCumPres + pos + log_freq",2355.27619050214
"preserved ~ RndCumPres + pos + log_freq",2355.49643579232
"preserved ~ RndCumPres + pos + log_freq",2355.53848192075
"preserved ~ RndCumPres + pos + log_freq",2355.97493839547
"preserved ~ RndCumPres + pos + log_freq",2356.18553665779
"preserved ~ RndCumPres + pos + log_freq",2356.32427298515
"preserved ~ RndCumPres + pos + log_freq",2356.40038169925
"preserved ~ RndCumPres + pos + log_freq",2356.45420488875
"preserved ~ RndCumPres + pos + log_freq",2356.48728309345
"preserved ~ RndCumPres + pos + log_freq",2357.35189268722
"preserved ~ RndCumPres + pos + log_freq",2358.00479432991
"preserved ~ RndCumPres + pos + log_freq",2358.32993004941
"preserved ~ RndCumPres + pos + log_freq",2358.49050348485
"preserved ~ RndCumPres + pos + log_freq",2358.62164154899
"preserved ~ RndCumPres + pos + log_freq",2359.04098662437
"preserved ~ RndCumPres + pos + log_freq",2359.05066438638
"preserved ~ RndCumPres + pos + log_freq",2359.1145560282
"preserved ~ RndCumPres + pos + log_freq",2359.15433491705
"preserved ~ RndCumPres + pos + log_freq",2359.55953547224
"preserved ~ RndCumPres + pos + log_freq",2359.71615264995
"preserved ~ RndCumPres + pos + log_freq",2359.95936204984
"preserved ~ RndCumPres + pos + log_freq",2360.08170370458
"preserved ~ RndCumPres + pos + log_freq",2360.30782168013
"preserved ~ RndCumPres + pos + log_freq",2361.03342406854
"preserved ~ RndCumPres + pos + log_freq",2361.30532401182
"preserved ~ RndCumPres + pos + log_freq",2361.75950108495
"preserved ~ RndCumPres + pos + log_freq",2362.09025142221
"preserved ~ RndCumPres + pos + log_freq",2362.35996923273
"preserved ~ RndCumPres + pos + log_freq",2362.39317607817
"preserved ~ RndCumPres + pos + log_freq",2362.45429623619
"preserved ~ RndCumPres + pos + log_freq",2362.49186377906
"preserved ~ RndCumPres + pos + log_freq",2362.82028765801
"preserved ~ RndCumPres + pos + log_freq",2363.04915213301
"preserved ~ RndCumPres + pos + log_freq",2363.19253052893
"preserved ~ RndCumPres + pos + log_freq",2363.31850569142
"preserved ~ RndCumPres + pos + log_freq",2363.4117436995
"preserved ~ RndCumPres + pos + log_freq",2363.41604573079
"preserved ~ RndCumPres + pos + log_freq",2363.66198558006
"preserved ~ RndCumPres + pos + log_freq",2363.66412091303
"preserved ~ RndCumPres + pos + log_freq",2363.93180484043
"preserved ~ RndCumPres + pos + log_freq",2364.12493717592
"preserved ~ RndCumPres + pos + log_freq",2364.37535033999
"preserved ~ RndCumPres + pos + log_freq",2364.75455498556
"preserved ~ RndCumPres + pos + log_freq",2364.85615199805
"preserved ~ RndCumPres + pos + log_freq",2365.37823628289
"preserved ~ RndCumPres + pos + log_freq",2365.66233504271
"preserved ~ RndCumPres + pos + log_freq",2365.78948122029
"preserved ~ RndCumPres + pos + log_freq",2366.0786406504
"preserved ~ RndCumPres + pos + log_freq",2366.34029494794
"preserved ~ RndCumPres + pos + log_freq",2366.62938281692
"preserved ~ RndCumPres + pos + log_freq",2366.9239114097
"preserved ~ RndCumPres + pos + log_freq",2366.9267331764
"preserved ~ RndCumPres + pos + log_freq",2367.43250669201
"preserved ~ RndCumPres + pos + log_freq",2367.6001020757
"preserved ~ RndCumPres + pos + log_freq",2368.42726052286
"preserved ~ RndCumPres + pos + log_freq",2368.92061265636
"preserved ~ RndCumPres + pos + log_freq",2369.89426490547
"preserved ~ RndCumPres + pos + log_freq",2370.94034692426
"preserved ~ RndCumPres + pos + log_freq",2374.48011729916
"Random average",2356.4840576923
"Random SD",8.49631260565507
