"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ pos * log_freq",2387.60072082909,0,1,0.262198910746134,0.0263988791632623,2.01549991361253,NA,0.224723204457313,NA,0.135050876664755,-0.0258609911139113,NA,NA,NA,NA,NA,NA
"preserved ~ pos + log_freq",2388.70870499173,1.10798416263788,0.574651171050794,0.150672911108509,0.02481720821749,1.97726011449793,NA,0.138944780832882,NA,0.148318917023393,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",2389.19388137534,1.59316054625242,0.450868176794433,0.118217144845596,0.0266955063464854,2.1028829836161,-0.0218240950930404,0.385080745553747,-0.0325603923773396,0.152679834319492,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",2389.44969753722,1.8489767081337,0.396734354674088,0.104023315651116,0.0264631402505436,2.10092879939271,-0.0127591551739356,0.220185094746394,NA,0.138407625262423,-0.0253770853992848,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",2389.66950197855,2.0687811494563,0.355442930837508,0.093196749298008,0.0274523286247504,2.10481805445039,-0.0176327251014066,0.396345642852929,-0.0257396197486611,0.142879766445498,NA,-0.0189399901555475,NA,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",2389.88371571658,2.28299488748962,0.319340469214836,0.0837307231852895,0.0278582752571307,1.95195245789656,NA,0.0939001265714692,NA,0.178816164642539,0.0641370348397081,NA,-0.00540565341888839,-0.0112073367256271,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",2390.41866849234,2.81794766324765,0.244393943857913,0.0640798258724966,0.0249468296685457,2.09932587368003,-0.0180331825439468,0.134784117640161,NA,0.152619288776308,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",2391.19788433301,3.59716350391636,0.165533489368106,0.0434027006043243,0.026695550107561,2.10117266705531,-0.0217759870620287,0.385121877677793,-0.032565435251422,0.153614942929485,NA,NA,-0.00011759166843053,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",2391.75862019342,4.15789936433248,0.12506149756204,0.0327909884370473,0.0278993308937386,2.0279296646358,-0.0103366170182587,0.0908620575126979,NA,0.176900881299792,0.0640981311262164,NA,-0.00482987275889495,-0.0111516790582265,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",2392.38928196001,4.78856113091888,0.0912382952974833,0.0239225816453343,0.0249486325257875,2.11023912601532,-0.0183387821191473,0.134772529340313,NA,0.146634573690091,NA,NA,0.000751823549083269,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",2392.43593338534,4.83521255625283,0.089134726039711,0.0233710280772673,0.0285856732623902,2.04104897185873,-0.0150162553389597,0.250837657068101,-0.02167757771796,0.176404194391633,NA,0.0612269936158037,-0.00425277970603907,NA,-0.0100953557540427,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",2402.62712576212,15.0264049330335,0.000545830283556081,0.000143116105800658,0.0189205926537864,0.242878056107691,0.22171389473148,NA,NA,1.52617751456958,NA,NA,-0.156175151957669,NA,NA,-0.175448147902973,0.0195736559801134
"preserved ~ stimlen + pos",2403.85762606959,16.2569052404974,0.000295024362511776,7.73550664941603e-05,0.0147577914077348,2.40759858278907,-0.0610987955025957,NA,NA,0.151859334893571,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * pos",2403.95729089453,16.3565700654399,0.000280682889576247,7.35947479119696e-05,0.0159477722474313,1.76303335937456,0.0174658341536173,NA,NA,0.389680196499984,NA,NA,NA,NA,NA,-0.0281045085676278,NA
"preserved ~ pos",2404.68561983556,17.0848990064724,0.000195011992120778,5.11319319165016e-05,0.0131157197188426,1.99793498528204,NA,NA,NA,0.135430895919204,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",2405.81270157284,18.2119807437484,0.000110998888315895,2.91037876104594e-05,0.0147617074098068,2.42356540051461,-0.0615424496989843,NA,NA,0.143092471539164,NA,NA,0.00110075121236034,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",2406.73516686089,19.1344460318037,6.99854625106853e-05,1.83501120383661e-05,0.0131328659456504,1.97111345322312,NA,NA,NA,0.153813286669465,NA,NA,-0.00228088853006421,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",2414.94447105373,27.3437502246375,1.15446316722691e-06,3.02698984943429e-07,0.0119424857812015,2.14654977026163,0.0439139534642169,0.383384172891349,-0.032440743045172,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",2416.15437173556,28.5536509064714,6.3045411911621e-07,1.65304383307684e-07,0.0101889975591266,2.14253931152711,0.0477236267221227,0.133868956250454,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",2427.52067872346,39.9199578943744,2.14531606196173e-09,5.62499534652551e-10,0,2.48404717401455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",2429.47949203598,41.878771206892,8.05638807555289e-10,2.11237617795811e-10,1.02988367734238e-05,2.4487533595417,0.00459490322542502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
