"Name","AIC"
"preserved ~ RndCumErr",1224.72122277453
"preserved ~ RndCumErr",1225.05820215729
"preserved ~ RndCumErr",1226.21986675701
"preserved ~ RndCumErr",1227.0844344793
"preserved ~ RndCumErr",1231.03202244039
"preserved ~ RndCumErr",1236.26658791718
"preserved ~ RndCumErr",1240.48008332851
"preserved ~ RndCumErr",1241.8017912297
"preserved ~ RndCumErr",1245.27477647885
"preserved ~ RndCumErr",1245.38173024446
"preserved ~ RndCumErr",1246.68143105536
"preserved ~ RndCumErr",1247.10288314181
"preserved ~ RndCumErr",1249.79060248003
"preserved ~ RndCumErr",1250.56917179858
"preserved ~ RndCumErr",1251.19816567962
"preserved ~ RndCumErr",1251.635103845
"preserved ~ RndCumErr",1252.93899457408
"preserved ~ RndCumErr",1257.94463623073
"preserved ~ RndCumErr",1258.01706192288
"preserved ~ RndCumErr",1259.04833555022
"preserved ~ RndCumErr",1261.70527177581
"preserved ~ RndCumErr",1262.92241067938
"preserved ~ RndCumErr",1263.55670386702
"preserved ~ RndCumErr",1264.5417489602
"preserved ~ RndCumErr",1264.75405164211
"preserved ~ RndCumErr",1265.33581850984
"preserved ~ RndCumErr",1266.28795105415
"preserved ~ RndCumErr",1266.59676809084
"preserved ~ RndCumErr",1267.50157152096
"preserved ~ RndCumErr",1269.62107993264
"preserved ~ RndCumErr",1269.84764473602
"preserved ~ RndCumErr",1270.6777212327
"preserved ~ RndCumErr",1274.04153016474
"preserved ~ RndCumErr",1274.20489230088
"preserved ~ RndCumErr",1276.09382785627
"preserved ~ RndCumErr",1276.90749294934
"preserved ~ RndCumErr",1279.01024234378
"preserved ~ RndCumErr",1281.97140735851
"preserved ~ RndCumErr",1282.9942293462
"preserved ~ RndCumErr",1283.91047407059
"preserved ~ RndCumErr",1284.98660807438
"preserved ~ RndCumErr",1285.10850746234
"preserved ~ RndCumErr",1285.17504886089
"preserved ~ RndCumErr",1285.42071932501
"preserved ~ RndCumErr",1285.98981318359
"preserved ~ RndCumErr",1287.09902347902
"preserved ~ RndCumErr",1287.16263788126
"preserved ~ RndCumErr",1287.30541172604
"preserved ~ RndCumErr",1288.67709164501
"preserved ~ RndCumErr",1289.45437794352
"preserved ~ RndCumErr",1290.39781985069
"preserved ~ RndCumErr",1291.78383291382
"preserved ~ RndCumErr",1291.84109015847
"preserved ~ RndCumErr",1292.18121570977
"***preserved ~ CumErr",1293.991310356
"preserved ~ RndCumErr",1294.2969291588
"preserved ~ RndCumErr",1295.13278811415
"preserved ~ RndCumErr",1297.08844170909
"preserved ~ RndCumErr",1297.51264501601
"preserved ~ RndCumErr",1299.05681169453
"preserved ~ RndCumErr",1302.08267218885
"preserved ~ RndCumErr",1302.28574324038
"preserved ~ RndCumErr",1302.56235290201
"preserved ~ RndCumErr",1302.97225592114
"preserved ~ RndCumErr",1304.18797925328
"preserved ~ RndCumErr",1305.57606640719
"preserved ~ RndCumErr",1306.30145281151
"preserved ~ RndCumErr",1306.40040963196
"preserved ~ RndCumErr",1307.75862433399
"preserved ~ RndCumErr",1308.69592978722
"preserved ~ RndCumErr",1309.68104213063
"preserved ~ RndCumErr",1310.30334759231
"preserved ~ RndCumErr",1311.50110459363
"preserved ~ RndCumErr",1312.38549364446
"preserved ~ RndCumErr",1312.57027533169
"preserved ~ RndCumErr",1313.00894057962
"preserved ~ RndCumErr",1315.04013657295
"preserved ~ RndCumErr",1315.09810071236
"preserved ~ RndCumErr",1315.527442804
"preserved ~ RndCumErr",1316.09203292904
"preserved ~ RndCumErr",1316.87906047635
"preserved ~ RndCumErr",1317.21472517403
"preserved ~ RndCumErr",1317.76748477852
"preserved ~ RndCumErr",1318.6633151213
"preserved ~ RndCumErr",1319.30796406271
"preserved ~ RndCumErr",1322.70050033136
"preserved ~ RndCumErr",1327.93011156137
"preserved ~ RndCumErr",1328.7146101019
"preserved ~ RndCumErr",1329.0581443115
"preserved ~ RndCumErr",1329.95167703869
"preserved ~ RndCumErr",1329.97529168731
"preserved ~ RndCumErr",1330.34051241547
"preserved ~ RndCumErr",1331.04749402351
"preserved ~ RndCumErr",1331.10658962837
"preserved ~ RndCumErr",1331.68967678893
"preserved ~ RndCumErr",1331.9117177883
"preserved ~ RndCumErr",1335.15995046511
"preserved ~ RndCumErr",1336.29692723197
"preserved ~ RndCumErr",1341.83292113528
"preserved ~ RndCumErr",1345.56513453878
"preserved ~ RndCumErr",1357.32834384128
"Random average",1289.16874312254
"Random SD",31.3917044829243
