"Name","AIC"
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1167.51402282348
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1178.5634822197
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1185.24810800728
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1192.03983515195
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1192.79441344581
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1200.09925348035
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1205.33148006014
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1205.60440721661
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1206.81524334168
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1207.97290720079
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1210.00573190651
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1210.42433694145
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1210.78602995761
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1211.62615423092
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1212.11507017929
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1212.91405219732
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1214.85002303142
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1215.23405847433
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1216.0319307669
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1216.36611187442
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1218.36439517862
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1220.35956750686
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1221.19861774291
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1223.8909665118
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1224.32451238655
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1225.503229651
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1226.79905981786
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1227.39156093233
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1228.34263982951
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1229.11396242519
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1229.17272289423
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1230.87629506204
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1231.09810570388
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1231.2864247322
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1231.43046315784
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1231.61269918894
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1232.35048548953
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1232.4134728997
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1232.44943766988
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1233.04001975811
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1233.47496734847
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1233.70230174993
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1233.88426001047
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1234.42549382927
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1235.07495767961
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1235.17873388212
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1237.06442636764
