"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen + I(pos^2) + pos + log_freq",1496.57717575091,0,1,0.312248770481657,0.0538513491588079,5.59912874603415,-0.0496536432272791,0.125935948689472,NA,-0.771805315918598,NA,NA,0.0591946694156863,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",1496.85261013585,0.27543438494331,0.871345079852319,0.272076429849128,0.0556583551603416,5.41442461935872,NA,0.360193137852489,NA,-0.870108301772108,-0.130193059104136,NA,0.0695590201491382,0.0148847019272765,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",1497.42096488438,0.843789133471546,0.655803179218434,0.204773736388918,0.0564239452466948,5.83821616539278,-0.0576803926463897,0.340086262246144,NA,-0.880035457043917,-0.129002867369754,NA,0.0727033640127323,0.0150659967450429,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",1498.56225263934,1.98507688843324,0.370634660471538,0.115730217030124,0.0538555295312376,5.60019979315986,-0.0494094706527775,0.11021268520506,0.00193600581075716,-0.772589899782816,NA,NA,0.0592726435632502,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",1499.17645747985,2.59928172893524,0.272629686462047,0.0851282843945736,0.0566666165582096,5.84562355763043,-0.0610634114559779,0.465991509693224,-0.0165423296807524,-0.88016838670552,NA,-0.132500097624475,0.07314703081443,NA,0.0159942276227984,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",1505.42936418885,8.85218843794382,0.011961116057463,0.00373484378253124,0.046634451989816,5.88385706208657,-0.0888251255731123,NA,NA,-0.776761874084932,NA,NA,0.0597162054529769,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",1506.76513333508,10.1879575841724,0.00613356708494205,0.00191519878093991,0.0487750022914064,8.46209238106949,-0.427023930973492,NA,NA,-1.75428300600469,NA,NA,0.126988083265188,NA,NA,0.130240805865517,-0.00942094648282793
"preserved ~ I(pos^2) + pos",1506.88595147531,10.3087757243964,0.00577401348544228,0.00180292861157386,0.0446536271326017,5.2363820975045,NA,NA,NA,-0.765331093313779,NA,NA,0.0552978825231432,NA,NA,NA,NA
"preserved ~ pos + log_freq",1508.19412536191,11.6169496109951,0.00300200522430503,0.000937372440268757,0.0437707441104394,4.15627567176425,NA,0.130139915504504,NA,-0.215855917195732,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * pos",1509.12933684428,12.5521610933743,0.00188075770890314,0.000587264282178904,0.0450644272157238,7.43034854620816,-0.395903410539151,NA,NA,-0.969549451130767,NA,NA,NA,NA,NA,0.0871781782967804,NA
"preserved ~ stimlen + pos + log_freq",1510.06210868961,13.4849329386996,0.00117973378799633,0.000368370424797521,0.0438148365290952,4.2429559252288,-0.0134991071837215,0.127876318838049,NA,-0.211454758914908,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",1510.13351448945,13.5563387385434,0.001138356903174,0.000355450543385387,0.0438072286388972,4.14760724970499,NA,0.111622628449001,NA,-0.213617008819576,0.00387366984124127,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",1511.97416955827,15.3969938073574,0.000453508337551876,0.000141607420803753,0.0438631162749144,4.2446600671668,-0.0153205181216187,0.106132732651119,NA,-0.208277941186377,0.00448475094476199,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",1512.05047276531,15.4732970143971,0.00043653216053438,0.000136306630402562,0.0438363725775411,4.24415910009225,-0.0140343494080885,0.162208122340171,-0.00423147146728123,-0.211450567512176,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",1513.88542403236,17.3082482814543,0.00017440608767118,5.4458086439842e-05,0.0439481596705648,4.24768528604011,-0.0176857661531577,0.16810424969143,-0.00964194366696837,-0.206047375441089,NA,0.00783817038056293,NA,NA,NA,NA,NA
"preserved ~ pos",1518.64166191734,22.0644861664339,1.61717755822087e-05,5.04961704204995e-06,0.0356040402832245,4.18198504307719,NA,NA,NA,-0.229719436432283,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos",1519.25800650598,22.680830755065,1.18828380729343e-05,3.71040157810636e-06,0.0363371002953258,4.51844981484499,-0.0531501204425009,NA,NA,-0.210822457288695,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",1536.70501956796,40.1278438170536,1.93352338844264e-09,6.03740300738741e-10,0.0190654258448237,4.32717724712899,-0.140253284479455,0.126711135651481,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",1538.69237926049,42.1152035095836,7.15813287379024e-10,2.23511818878533e-10,0.0190874733521553,4.32848946854051,-0.140801803510315,0.161283538068046,-0.00425741222097865,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",1545.79929060336,49.2221148524511,2.04905476528139e-11,6.39814831108693e-12,0.0116097748816928,4.60037634343312,-0.179219789820663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",1559.22583791433,62.6486621634174,2.48894822142976e-14,7.77171021933951e-15,0,3.18630567488538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
