"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + I(pos^2) + pos",1271.77896621079,0,1,0.99998498088886,0.211945021445182,5.26513000689727,-1.58268741937367,0.0836568516637854,-0.825586162784752,NA,NA
"preserved ~ CumErr",1293.991310356,22.212344145202,1.50193367168356e-05,1.50191111397482e-05,0.194604892818633,3.6171408117286,-1.60137882974338,NA,NA,NA,NA
"preserved ~ CumErr",1293.991310356,0,1,0.696700727755559,0.194604892818633,3.6171408117286,-1.60137882974338,NA,NA,NA,NA
"preserved ~ CumErr",1293.991310356,0,1,0.650121776836339,0.194604892818633,3.6171408117286,-1.60137882974338,NA,NA,NA,NA
"preserved ~ CumErr",1293.991310356,0,1,0.650121776836443,0.194604892818633,3.6171408117286,-1.60137882974338,NA,NA,NA,NA
"preserved ~ CumErr + CumPres",1295.23045942439,1.23914906839741,0.538173363252434,0.349878223163661,0.196078109088098,3.78171290493305,-1.58664052165816,NA,NA,NA,-0.0571806361141798
"preserved ~ CumErr + pos",1295.23045942439,1.23914906839832,0.538173363252189,0.349878223163557,0.196078109088098,3.83889354104725,-1.52945988554399,NA,-0.0571806361141716,NA,NA
"preserved ~ CumErr + stimlen",1295.65458221875,1.66327186275385,0.435336522787235,0.303299272244441,0.19487016173332,3.85488214584287,-1.58286469540571,NA,NA,-0.0310052442199381,NA
"preserved ~ I(pos^2) + pos",1506.88595147531,235.106985264513,8.85455666072038e-52,8.8544236731498e-52,0.0446536271326017,5.2363820975045,NA,0.0552978825231432,-0.765331093313779,NA,NA
"preserved ~ pos",1518.64166191734,224.650351561349,1.65118593138804e-49,1.07347193160133e-49,0.0356040402832245,4.18198504307719,NA,NA,-0.229719436432283,NA,NA
"preserved ~ stimlen",1545.79929060336,251.807980247366,2.09214528353859e-55,1.4575991416117e-55,0.0116097748816928,4.60037634343312,NA,NA,NA,-0.179219789820663,NA
"preserved ~ CumPres",1559.03231456118,265.04100420518,2.79947889537135e-58,1.82000219367465e-58,0.0025621077233978,3.37130981261045,NA,NA,NA,NA,-0.0643792827505197
