"Name","AIC"
"preserved ~ RndCumErr",4910.32011461333
"preserved ~ RndCumErr",4912.07030266101
"preserved ~ RndCumErr",4914.99729181278
"preserved ~ RndCumErr",4916.21245944612
"preserved ~ RndCumErr",4916.56077467556
"preserved ~ RndCumErr",4919.53436817986
"preserved ~ RndCumErr",4920.17041163271
"preserved ~ RndCumErr",4920.4040820916
"preserved ~ RndCumErr",4932.10336522375
"preserved ~ RndCumErr",4932.73721719386
"preserved ~ RndCumErr",4933.4006329985
"preserved ~ RndCumErr",4934.46166877984
"preserved ~ RndCumErr",4934.96475471755
"preserved ~ RndCumErr",4935.33939519423
"preserved ~ RndCumErr",4935.70759278309
"preserved ~ RndCumErr",4936.40052120808
"preserved ~ RndCumErr",4937.41596986938
"preserved ~ RndCumErr",4940.84400372145
"preserved ~ RndCumErr",4941.54812721776
"preserved ~ RndCumErr",4941.62333930801
"preserved ~ RndCumErr",4943.87689737028
"preserved ~ RndCumErr",4945.48686307143
"preserved ~ RndCumErr",4945.62958363657
"preserved ~ RndCumErr",4946.49059267688
"preserved ~ RndCumErr",4947.22817111163
"preserved ~ RndCumErr",4948.47741913642
"preserved ~ RndCumErr",4948.54905326029
"preserved ~ RndCumErr",4948.81524807573
"preserved ~ RndCumErr",4950.60759511209
"preserved ~ RndCumErr",4952.67686348432
"preserved ~ RndCumErr",4954.11217890178
"preserved ~ RndCumErr",4954.23341095852
"preserved ~ RndCumErr",4955.17976327342
"preserved ~ RndCumErr",4956.22154411212
"preserved ~ RndCumErr",4956.79056957905
"preserved ~ RndCumErr",4957.20397945828
"preserved ~ RndCumErr",4959.34010059548
"preserved ~ RndCumErr",4959.54290963386
"preserved ~ RndCumErr",4960.64472285204
"preserved ~ RndCumErr",4960.8923324627
"preserved ~ RndCumErr",4961.93971897896
"preserved ~ RndCumErr",4962.55076681014
"preserved ~ RndCumErr",4962.6851118727
"preserved ~ RndCumErr",4963.36712468799
"preserved ~ RndCumErr",4963.80007389719
"preserved ~ RndCumErr",4964.128551723
"preserved ~ RndCumErr",4964.49494260103
"preserved ~ RndCumErr",4964.64456566317
"preserved ~ RndCumErr",4965.54824745786
"preserved ~ RndCumErr",4965.98232006777
"preserved ~ RndCumErr",4966.00686000831
"preserved ~ RndCumErr",4966.3332435319
"preserved ~ RndCumErr",4966.89008919646
"preserved ~ RndCumErr",4967.00644654826
"preserved ~ RndCumErr",4967.06668459621
"preserved ~ RndCumErr",4967.07243869625
"preserved ~ RndCumErr",4967.73759599349
"preserved ~ RndCumErr",4968.97758052703
"preserved ~ RndCumErr",4970.01936804093
"preserved ~ RndCumErr",4970.10301693954
"preserved ~ RndCumErr",4971.33995322769
"preserved ~ RndCumErr",4971.81463261514
"preserved ~ RndCumErr",4972.61626652257
"preserved ~ RndCumErr",4972.92792535713
"preserved ~ RndCumErr",4975.48383404115
"preserved ~ RndCumErr",4976.14016166106
"preserved ~ RndCumErr",4976.61743650132
"preserved ~ RndCumErr",4978.40582193531
"preserved ~ RndCumErr",4980.9788935119
"preserved ~ RndCumErr",4981.92061902633
"preserved ~ RndCumErr",4982.55713793595
"preserved ~ RndCumErr",4982.5864020118
"preserved ~ RndCumErr",4984.08931529006
"preserved ~ RndCumErr",4984.69454571702
"preserved ~ RndCumErr",4984.72298336738
"preserved ~ RndCumErr",4985.81207834604
"preserved ~ RndCumErr",4988.05140245466
"preserved ~ RndCumErr",4988.86841642226
"preserved ~ RndCumErr",4989.09773604358
"preserved ~ RndCumErr",4989.62397083385
"preserved ~ RndCumErr",4990.21754455212
"preserved ~ RndCumErr",4990.52164964912
"preserved ~ RndCumErr",4992.50630841846
"preserved ~ RndCumErr",4994.18323049043
"preserved ~ RndCumErr",4994.9406259818
"preserved ~ RndCumErr",4995.80240741456
"preserved ~ RndCumErr",4995.99681198509
"preserved ~ RndCumErr",4996.68081099938
"preserved ~ RndCumErr",4997.865415914
"preserved ~ RndCumErr",5000.74056026068
"preserved ~ RndCumErr",5000.82225986884
"preserved ~ RndCumErr",5003.20530751743
"preserved ~ RndCumErr",5003.8699165795
"preserved ~ RndCumErr",5005.53132057265
"preserved ~ RndCumErr",5006.90048336448
"preserved ~ RndCumErr",5009.62585615538
"preserved ~ RndCumErr",5017.51546555652
"preserved ~ RndCumErr",5019.95684718187
"preserved ~ RndCumErr",5020.75665466437
"preserved ~ RndCumErr",5025.3540496379
"***preserved ~ CumErr",5091.5629103119
"Random average",4966.16513999516
"Random SD",26.5327286626272
