"Name","AIC"
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4789.63597676965
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4832.88423088535
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4838.31311919862
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4847.29190991965
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4857.62057872539
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4857.91966518695
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4858.92901740351
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4866.96059783917
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4870.17555617449
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4870.19781317577
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4870.5547673285
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4871.50832244539
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4872.51644742458
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4872.86742206157
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4873.28466853375
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4874.41385814793
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4874.60862783353
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4877.52933024098
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4877.74331404584
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4879.0400384372
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4880.92286894876
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4882.41037288458
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4883.70510208204
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4885.67041427334
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4887.00302000584
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4888.03485907035
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4889.12274902309
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4890.5825837577
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4891.99524588565
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4893.85440870784
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4895.75821882601
