"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ (I(pos^2) + pos) * log_freq",5302.32764083173,0,1,0.149039451801552,0.0122245646394796,1.33409551408472,NA,-0.0739797999212223,NA,-0.181057477828259,0.00919794367304453,NA,0.0113127509942574,0.000735424640660939,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",5303.09159661824,0.763955786507722,0.682510141117044,0.101720937281084,0.0116726383324214,1.01922646856166,0.0232628852082449,-0.0702786374077851,NA,-0.0893474567128152,0.0130134022680446,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",5303.14894566901,0.821304837279968,0.663217413553381,0.0988455597412391,0.0124113831595586,1.20850434449668,0.0170877745777637,-0.0687540043326398,NA,-0.177974593724104,0.00915464902084151,NA,0.010368811932931,0.000654741927667322,NA,NA,NA
"preserved ~ pos * log_freq",5303.27025645812,0.942615626389852,0.62418541633069,0.0930282522724495,0.0113142064403013,1.17176313368968,NA,-0.0782456483103993,NA,-0.082334246309577,0.0138279316307899,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",5303.61652878694,1.28888795520834,0.524954347347865,0.0782389081495673,0.010956961738369,1.10174820073262,0.0280707855042602,NA,NA,-0.164173456268675,NA,NA,0.00835729169128302,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",5303.95658057403,1.62893974229246,0.442874045450518,0.0660057049510808,0.0113012093155042,1.14778026646713,0.0222690503849941,-0.0182737554318062,NA,-0.164785268268404,NA,NA,0.00842568381800399,NA,NA,NA,NA
"preserved ~ stimlen + pos",5304.14416657509,1.81652574335476,0.403224067947099,0.0600962940400274,0.0104633925591429,0.951491464105713,0.032556696583961,NA,NA,-0.0921184069776451,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",5304.52100632221,2.19336549048057,0.333977135398216,0.0497757691740028,0.0115675380349039,1.18535238000537,0.0191404906407049,-0.0893382305182542,0.00917609961508986,-0.167930250721292,NA,NA,0.0087901541807601,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",5304.52405162204,2.19641079031135,0.33346899210161,0.04970003577564,0.0107997243935927,0.995750533717673,0.0268599571601294,-0.0180556024084601,NA,-0.0921374750427779,NA,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",5304.73618857375,2.40854774202035,0.299909693589537,0.044698376322556,0.0104094828780125,1.30496310951063,NA,NA,NA,-0.168274326976305,NA,NA,0.0098369634105283,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",5304.99823634284,2.67059551110924,0.263079830311973,0.0392092736897417,0.0116798519278609,1.02396291396074,0.0228560282629398,-0.080919605657881,0.00166382561765055,-0.0894428510295157,NA,0.0124561302409526,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",5305.10702610883,2.77938527709466,0.249151872545534,0.0371334584995165,0.0124163400515409,1.21246109265897,0.0167538418518666,-0.0787107781860267,0.00139807770901114,-0.178026552116259,NA,0.00930243004910446,0.0103605593674802,NA,0.000584484587078841,NA,NA
"preserved ~ stimlen * pos",5305.13326220168,2.80562136995013,0.245904830700062,0.0366495211628907,0.0106977432648717,1.18491093962409,0.00412157289045703,NA,NA,-0.166289727830137,NA,NA,NA,NA,NA,0.00873409754968291,NA
"preserved ~ stimlen * log_freq + pos",5305.31383486768,2.98619403595058,0.224675752092376,0.0334855509249492,0.011023580056078,1.02403366491697,0.0241772230806438,-0.0829316787362397,0.00838123886881815,-0.0921218704927631,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos + log_freq",5305.31600601126,2.98836517952896,0.224431982772678,0.0334492196791752,0.0103166267961817,1.17178642905606,NA,-0.0235470613572191,NA,-0.0841424459458045,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos",5306.40159879892,4.07395796718538,0.1304221237015,0.0194380418192657,0.00970478418514613,1.16224446337278,NA,NA,NA,-0.0817768057429575,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",5307.83651193127,5.50887109953874,0.0636449339295469,0.00948560606280567,0.0109695880807555,1.05788829396893,0.0321300857975892,NA,NA,-0.120378629511221,NA,NA,0.000716659116618761,NA,NA,-0.0043903105021688,0.000789712673513203
"preserved ~ 1",5333.77642703497,31.4487862032347,1.48245952452398e-07,2.20944954853044e-08,0,0.840645967800933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",5336.08642270982,33.7587818780867,4.67061056408546e-08,6.96105238049834e-09,0.000202683252552805,0.958085921090079,-0.0151990070346001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",5336.47755089497,34.1499100632327,3.84097297087149e-08,5.72456505963265e-09,0.000539247016956128,1.00202436427259,-0.0208640127990317,-0.0179355073898019,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",5337.25936441011,34.9317235783801,2.59820014857239e-08,3.8723432581394e-09,0.000766422346362188,1.03034631707369,-0.0235424768361851,-0.082911313735304,0.00838815691222316,NA,NA,NA,NA,NA,NA,NA,NA
