"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + I(pos^2) + pos",5063.33328507572,0,1,0.999999258665102,0.0755055975789327,1.17115992895877,-0.53185617646287,0.0143674682464046,-0.0392384902865998,NA,NA
"preserved ~ CumErr + pos",5067.99577908746,0,1,0.999992371148445,0.0741673719894061,0.969210434481223,-0.52892655629891,NA,0.0847773213912102,NA,NA
"preserved ~ CumErr + CumPres",5067.99577908746,0,1,0.999992371148445,0.0741673719894061,1.05398775587244,-0.444149234907701,NA,NA,NA,0.0847773213912101
"preserved ~ CumErr + stimlen",5081.25162380093,0,1,0.994266295575366,0.0707944810353357,0.796439457495783,-0.447886326939498,NA,NA,0.0561779095582468,NA
"preserved ~ CumErr",5091.5629103119,28.2296252361866,7.41335447730762e-07,7.41334898152923e-07,0.0684393305155722,1.21182200989155,-0.427304342752514,NA,NA,NA,NA
"preserved ~ CumErr",5091.5629103119,10.3112865109733,0.00576676937571978,0.00573370442463437,0.0684393305155722,1.21182200989155,-0.427304342752514,NA,NA,NA,NA
"preserved ~ CumErr",5091.5629103119,23.567131224444,7.62890975430201e-06,7.62885155448197e-06,0.0684393305155722,1.21182200989155,-0.427304342752514,NA,NA,NA,NA
"preserved ~ CumErr",5091.5629103119,23.5671312244458,7.62890975429507e-06,7.62885155447504e-06,0.0684393305155722,1.21182200989155,-0.427304342752514,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",5304.73618857375,241.402903498038,3.8021176189681e-53,3.80211480032562e-53,0.0104094828780125,1.30496310951063,NA,0.0098369634105283,-0.168274326976305,NA,NA
"preserved ~ pos",5306.40159879892,238.405819711462,1.70150810766789e-52,1.70149512711512e-52,0.00970478418514613,1.16224446337278,NA,NA,-0.0817768057429575,NA,NA
"preserved ~ CumPres",5326.0109583074,258.015179219937,9.39108364478646e-57,9.3910120016034e-57,0.00210133807490022,0.743977116481835,NA,NA,NA,NA,0.0473979445358594
"preserved ~ stimlen",5336.08642270982,254.834798908891,4.6060274141771e-56,4.57961781441244e-56,0.000202683252552805,0.958085921090079,NA,NA,NA,-0.0151990070346001,NA
