"Name","AIC"
"preserved ~ RndCumErr",2463.08985539625
"preserved ~ RndCumErr",2468.06344846917
"preserved ~ RndCumErr",2468.76726344323
"preserved ~ RndCumErr",2474.19505641179
"preserved ~ RndCumErr",2475.20095703812
"preserved ~ RndCumErr",2479.01904723662
"preserved ~ RndCumErr",2482.4024600531
"preserved ~ RndCumErr",2489.53618820228
"preserved ~ RndCumErr",2492.47903362345
"preserved ~ RndCumErr",2493.91289745359
"preserved ~ RndCumErr",2496.63682192459
"preserved ~ RndCumErr",2496.6960109783
"preserved ~ RndCumErr",2499.12877623263
"preserved ~ RndCumErr",2501.1123364099
"preserved ~ RndCumErr",2501.58756405319
"preserved ~ RndCumErr",2503.35442198508
"preserved ~ RndCumErr",2503.82635938004
"preserved ~ RndCumErr",2505.15339052975
"preserved ~ RndCumErr",2506.67712826774
"preserved ~ RndCumErr",2507.30960645954
"preserved ~ RndCumErr",2507.95723180515
"preserved ~ RndCumErr",2512.84905388581
"preserved ~ RndCumErr",2515.97232511816
"preserved ~ RndCumErr",2516.12557138875
"preserved ~ RndCumErr",2516.16720044318
"preserved ~ RndCumErr",2516.55311875722
"preserved ~ RndCumErr",2519.03569445332
"preserved ~ RndCumErr",2520.83659730567
"preserved ~ RndCumErr",2521.82713928719
"preserved ~ RndCumErr",2522.14022686882
"preserved ~ RndCumErr",2522.47725893913
"preserved ~ RndCumErr",2523.5068619898
"preserved ~ RndCumErr",2524.1616174361
"preserved ~ RndCumErr",2526.30383840146
"preserved ~ RndCumErr",2526.59832943147
"preserved ~ RndCumErr",2526.88069129067
"preserved ~ RndCumErr",2527.90629822226
"preserved ~ RndCumErr",2528.64681099915
"preserved ~ RndCumErr",2529.21885632684
"preserved ~ RndCumErr",2529.95720190288
"preserved ~ RndCumErr",2530.45512149438
"preserved ~ RndCumErr",2532.29740690986
"preserved ~ RndCumErr",2532.66731811071
"preserved ~ RndCumErr",2534.637552739
"preserved ~ RndCumErr",2535.00172363987
"preserved ~ RndCumErr",2535.00708187274
"preserved ~ RndCumErr",2535.57141280719
"preserved ~ RndCumErr",2536.97942514913
"preserved ~ RndCumErr",2537.10439911048
"preserved ~ RndCumErr",2538.80147657021
"preserved ~ RndCumErr",2539.70540313608
"preserved ~ RndCumErr",2540.09868852633
"preserved ~ RndCumErr",2540.73132039148
"preserved ~ RndCumErr",2540.86871068004
"preserved ~ RndCumErr",2541.10706457635
"preserved ~ RndCumErr",2542.444152676
"preserved ~ RndCumErr",2543.44845282234
"preserved ~ RndCumErr",2544.16830213016
"preserved ~ RndCumErr",2544.83086045991
"preserved ~ RndCumErr",2544.97744622174
"preserved ~ RndCumErr",2545.08994200891
"preserved ~ RndCumErr",2545.68160645637
"preserved ~ RndCumErr",2545.96763492584
"preserved ~ RndCumErr",2547.99812150089
"preserved ~ RndCumErr",2548.22947559875
"preserved ~ RndCumErr",2548.34894422263
"preserved ~ RndCumErr",2550.64265666185
"preserved ~ RndCumErr",2550.85974341807
"preserved ~ RndCumErr",2551.03576312266
"preserved ~ RndCumErr",2551.49440527318
"preserved ~ RndCumErr",2552.46772329125
"preserved ~ RndCumErr",2552.58378969576
"preserved ~ RndCumErr",2552.76616713944
"preserved ~ RndCumErr",2554.27078427932
"preserved ~ RndCumErr",2554.40735864965
"preserved ~ RndCumErr",2556.70186308512
"preserved ~ RndCumErr",2556.71736500111
"preserved ~ RndCumErr",2556.99089465774
"preserved ~ RndCumErr",2557.67585631177
"preserved ~ RndCumErr",2557.907075226
"preserved ~ RndCumErr",2559.07507990011
"preserved ~ RndCumErr",2559.56167989179
"preserved ~ RndCumErr",2560.52808704484
"preserved ~ RndCumErr",2561.06770355046
"preserved ~ RndCumErr",2561.27184043672
"preserved ~ RndCumErr",2562.07618916507
"preserved ~ RndCumErr",2563.02395871629
"preserved ~ RndCumErr",2563.2484563115
"preserved ~ RndCumErr",2563.37171273826
"preserved ~ RndCumErr",2566.40592906682
"preserved ~ RndCumErr",2568.14797113605
"preserved ~ RndCumErr",2571.83343361692
"preserved ~ RndCumErr",2573.62746387548
"preserved ~ RndCumErr",2575.36353485731
"preserved ~ RndCumErr",2576.19310104225
"preserved ~ RndCumErr",2578.58080107479
"preserved ~ RndCumErr",2579.29920785821
"preserved ~ RndCumErr",2584.31162925957
"preserved ~ RndCumErr",2589.3852802826
"preserved ~ RndCumErr",2593.26569860819
"***preserved ~ CumErr",2777.45418127218
"Random average",2534.61649796785
"Random SD",28.7371216440734
