"Name","AIC"
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2436.26418621175
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2451.55524256728
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2466.53378844238
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2467.80420480951
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2467.8688409456
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2469.58516750998
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2477.84018504699
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2478.5209974354
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2484.6116782697
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2487.27454759031
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2487.50600339088
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2487.8196723999
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2488.44720202375
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2489.94598824725
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2492.00053878198
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2497.39007362404
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2498.05435563655
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2498.43319486809
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2502.49925444993
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2502.53715051498
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2503.52292793797
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2504.65142415217
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2505.42554175929
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2506.37454817513
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2507.19027311457
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2507.83524309594
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2508.15280585953
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2509.03908536979
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2509.28059933832
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2509.85125802014
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2511.24837289848
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2511.2677867065
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2512.37736126698
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2515.29028026381
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2515.56527784232
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",2516.41206887849
