"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + CumPres",2768.03660768733,0,1,0.991064843127606,0.0215297322709484,2.17693482600684,-0.421949181199788,NA,NA,NA,0.0940709711528369
"preserved ~ CumErr + pos",2768.03660768733,0,1,0.991064847759365,0.0215297322709484,2.08286385485401,-0.516020152352616,NA,0.094070971152836,NA,NA
"preserved ~ CumErr + I(pos^2) + pos",2769.39126369233,0,1,0.982561093096445,0.0219239753168193,1.95449631857156,-0.515138209685126,-0.00963546374183786,0.176146481186691,NA,NA
"preserved ~ CumErr",2777.45418127218,8.06291757984991,0.0177484198434989,0.0174389068021629,0.0155565530417493,2.39597181492001,-0.400648093494811,NA,NA,NA,NA
"preserved ~ CumErr",2777.45418127218,0,1,0.576673371546689,0.0155565530417493,2.39597181492001,-0.400648093494811,NA,NA,NA,NA
"preserved ~ CumErr",2777.45418127218,9.41757358485302,0.00901570887642071,0.00893515210329406,0.0155565530417493,2.39597181492001,-0.400648093494811,NA,NA,NA,NA
"preserved ~ CumErr",2777.45418127218,9.41757358485302,0.00901570887642071,0.00893515214505265,0.0155565530417493,2.39597181492001,-0.400648093494811,NA,NA,NA,NA
"preserved ~ CumErr + stimlen",2778.07244558706,0.618264314876342,0.73408374898771,0.423326550526376,0.0159765329921499,2.61750765010997,-0.386691624286322,NA,NA,-0.0292783081561701,NA
"preserved ~ CumPres",2806.34087349773,38.3042658104018,4.81209688401761e-09,4.76910004347376e-09,0.00452010975239791,2.05762323712584,NA,NA,NA,NA,0.079581350508074
"preserved ~ stimlen",2809.08821112351,31.6340298513273,1.35131842271299e-07,7.79269350859054e-08,0.00197864748586419,2.7257751123516,NA,NA,NA,-0.0614693333818667,NA
"preserved ~ pos",2814.16071431551,46.1241066281827,9.64445085330572e-11,9.55827621665411e-11,0.000521660180608696,2.1556634001463,NA,NA,0.0248263697520395,NA,NA
"preserved ~ I(pos^2) + pos",2815.38012294635,45.9888592540219,1.03192016330626e-10,1.01392460364646e-10,0.000990387138631368,2.01652653636836,NA,-0.0103730052559318,0.113526107751287,NA,NA
