"Name","AIC"
"preserved ~ RndCumErr",1208.2949594601
"preserved ~ RndCumErr",1208.70759048917
"preserved ~ RndCumErr",1209.07422316766
"preserved ~ RndCumErr",1210.06000908489
"preserved ~ RndCumErr",1220.07043340658
"preserved ~ RndCumErr",1221.85379790123
"preserved ~ RndCumErr",1224.29281469844
"preserved ~ RndCumErr",1228.20122318437
"preserved ~ RndCumErr",1230.25123204907
"preserved ~ RndCumErr",1231.20790393511
"preserved ~ RndCumErr",1231.21252703458
"preserved ~ RndCumErr",1231.69927834159
"preserved ~ RndCumErr",1231.88759043146
"preserved ~ RndCumErr",1234.21938240767
"preserved ~ RndCumErr",1235.06680687823
"preserved ~ RndCumErr",1238.16497105153
"preserved ~ RndCumErr",1241.12207710744
"preserved ~ RndCumErr",1242.56127408915
"preserved ~ RndCumErr",1244.35259713709
"preserved ~ RndCumErr",1245.23192402789
"preserved ~ RndCumErr",1247.93163938435
"preserved ~ RndCumErr",1248.76578196845
"preserved ~ RndCumErr",1249.33871981018
"preserved ~ RndCumErr",1251.65790055219
"preserved ~ RndCumErr",1252.60341414154
"preserved ~ RndCumErr",1252.6256752008
"preserved ~ RndCumErr",1254.23280579123
"preserved ~ RndCumErr",1254.72448751079
"preserved ~ RndCumErr",1256.0418671827
"preserved ~ RndCumErr",1256.18734769036
"preserved ~ RndCumErr",1256.71781038099
"preserved ~ RndCumErr",1257.18125218662
"preserved ~ RndCumErr",1257.30625056187
"preserved ~ RndCumErr",1258.0523086477
"preserved ~ RndCumErr",1258.2558229797
"preserved ~ RndCumErr",1258.32613794599
"preserved ~ RndCumErr",1258.88705631855
"preserved ~ RndCumErr",1259.56959599391
"preserved ~ RndCumErr",1260.31278259106
"preserved ~ RndCumErr",1261.30045053114
"preserved ~ RndCumErr",1261.37618192897
"preserved ~ RndCumErr",1261.66537918509
"preserved ~ RndCumErr",1262.65537701644
"preserved ~ RndCumErr",1262.83850298328
"preserved ~ RndCumErr",1263.07298120988
"preserved ~ RndCumErr",1263.40254861295
"preserved ~ RndCumErr",1264.21454470658
"preserved ~ RndCumErr",1264.4155605608
"preserved ~ RndCumErr",1264.78531891418
"preserved ~ RndCumErr",1265.31744724652
"preserved ~ RndCumErr",1266.1115690245
"preserved ~ RndCumErr",1266.43496346134
"preserved ~ RndCumErr",1266.48791818937
"preserved ~ RndCumErr",1266.49825790197
"preserved ~ RndCumErr",1266.81350108682
"preserved ~ RndCumErr",1266.84631085978
"preserved ~ RndCumErr",1267.70967414631
"preserved ~ RndCumErr",1268.04131715582
"preserved ~ RndCumErr",1268.7513530292
"preserved ~ RndCumErr",1270.44537515644
"preserved ~ RndCumErr",1270.56686931475
"preserved ~ RndCumErr",1271.27835943121
"preserved ~ RndCumErr",1272.04407043112
"preserved ~ RndCumErr",1272.16331917249
"preserved ~ RndCumErr",1272.59177992404
"preserved ~ RndCumErr",1274.02410089787
"preserved ~ RndCumErr",1274.77572113554
"preserved ~ RndCumErr",1275.74097812984
"preserved ~ RndCumErr",1276.40728041797
"preserved ~ RndCumErr",1277.09018827541
"preserved ~ RndCumErr",1277.16421947257
"preserved ~ RndCumErr",1279.99745384608
"preserved ~ RndCumErr",1280.06149990919
"preserved ~ RndCumErr",1280.24006317283
"preserved ~ RndCumErr",1281.29902334776
"preserved ~ RndCumErr",1283.06624989791
"preserved ~ RndCumErr",1283.72405638408
"preserved ~ RndCumErr",1284.99929617421
"preserved ~ RndCumErr",1285.73711401534
"preserved ~ RndCumErr",1286.28583544158
"preserved ~ RndCumErr",1288.45346952549
"preserved ~ RndCumErr",1288.75161222433
"preserved ~ RndCumErr",1289.0727141931
"preserved ~ RndCumErr",1290.44471090462
"preserved ~ RndCumErr",1291.98479435355
"preserved ~ RndCumErr",1293.27023207106
"preserved ~ RndCumErr",1294.67498367056
"preserved ~ RndCumErr",1298.97735238452
"preserved ~ RndCumErr",1298.99615093018
"preserved ~ RndCumErr",1302.30482209318
"preserved ~ RndCumErr",1302.45633456659
"preserved ~ RndCumErr",1303.68610852446
"preserved ~ RndCumErr",1305.37744003364
"preserved ~ RndCumErr",1307.30870235451
"preserved ~ RndCumErr",1307.91200325753
"preserved ~ RndCumErr",1308.34713272959
"preserved ~ RndCumErr",1311.78045638333
"preserved ~ RndCumErr",1312.75503080647
"preserved ~ RndCumErr",1326.73392278126
"preserved ~ RndCumErr",1331.49122217295
"***preserved ~ CumErr",1370.27124049498
"Random average",1265.99472480382
"Random SD",25.9626939785486
