"Name","AIC"
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1184.24398924616
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1184.78620154456
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1198.01159638256
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1198.68312382806
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1199.64264761966
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1206.02011411079
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1212.41116831344
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1218.6867206616
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1222.28112947809
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1223.90719773488
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1227.3992462257
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1228.67826329914
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1229.91373556757
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1230.03148239937
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1230.58795047957
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1231.45389567197
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1232.23400486922
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1234.89311264858
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1236.00926055822
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1237.07016079301
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1239.33402351033
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1241.02913963987
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1242.5273176624
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1243.01387256015
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1243.68592539315
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1243.8264760001
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1244.84962940931
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1244.90884272099
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1245.23542333436
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1245.45427736082
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1246.10103162344
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1246.20768150352
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1246.62039123301
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1246.98770493789
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1247.63621874468
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1249.10960825147
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1250.50888792277
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1250.78451250766
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1251.2756126591
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1252.20638644319
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1252.72072326467
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1253.21627207395
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1253.84208704988
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1254.48330849503
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1254.63459933892
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1254.86032457744
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1255.30733814786
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1255.78095697323
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1256.08609793371
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1256.42793371137
