Name,AIC
***preserved ~ CumErr,1981.609591
preserved ~ RndCumErr,2116.947231
preserved ~ RndCumErr,2120.323153
preserved ~ RndCumErr,2124.391941
preserved ~ RndCumErr,2133.127288
preserved ~ RndCumErr,2133.357316
preserved ~ RndCumErr,2136.838867
preserved ~ RndCumErr,2141.874768
preserved ~ RndCumErr,2143.250577
preserved ~ RndCumErr,2143.735053
preserved ~ RndCumErr,2148.953144
preserved ~ RndCumErr,2149.374126
preserved ~ RndCumErr,2157.632491
preserved ~ RndCumErr,2157.934297
preserved ~ RndCumErr,2159.843434
preserved ~ RndCumErr,2161.208327
preserved ~ RndCumErr,2161.946468
preserved ~ RndCumErr,2162.00438
preserved ~ RndCumErr,2165.465647
preserved ~ RndCumErr,2165.698449
preserved ~ RndCumErr,2166.751115
preserved ~ RndCumErr,2167.595787
preserved ~ RndCumErr,2169.245874
preserved ~ RndCumErr,2169.247759
preserved ~ RndCumErr,2170.771258
preserved ~ RndCumErr,2171.566361
preserved ~ RndCumErr,2177.068441
preserved ~ RndCumErr,2178.524949
preserved ~ RndCumErr,2183.42378
preserved ~ RndCumErr,2184.265612
preserved ~ RndCumErr,2188.449482
preserved ~ RndCumErr,2195.195788
preserved ~ RndCumErr,2196.078221
preserved ~ RndCumErr,2196.899938
preserved ~ RndCumErr,2197.327982
preserved ~ RndCumErr,2197.953428
preserved ~ RndCumErr,2198.27432
preserved ~ RndCumErr,2198.378984
preserved ~ RndCumErr,2199.9459
preserved ~ RndCumErr,2200.802859
preserved ~ RndCumErr,2201.680548
preserved ~ RndCumErr,2203.018712
preserved ~ RndCumErr,2206.431797
preserved ~ RndCumErr,2206.455749
preserved ~ RndCumErr,2207.84209
preserved ~ RndCumErr,2209.819401
preserved ~ RndCumErr,2209.910252
preserved ~ RndCumErr,2210.429869
preserved ~ RndCumErr,2212.05114
preserved ~ RndCumErr,2212.222203
preserved ~ RndCumErr,2213.748984
preserved ~ RndCumErr,2214.657693
preserved ~ RndCumErr,2217.089071
preserved ~ RndCumErr,2217.344784
preserved ~ RndCumErr,2218.670952
preserved ~ RndCumErr,2219.072714
preserved ~ RndCumErr,2219.639416
preserved ~ RndCumErr,2220.409822
preserved ~ RndCumErr,2220.438573
preserved ~ RndCumErr,2222.150931
preserved ~ RndCumErr,2222.856492
preserved ~ RndCumErr,2224.212777
preserved ~ RndCumErr,2224.706864
preserved ~ RndCumErr,2226.07868
preserved ~ RndCumErr,2226.261588
preserved ~ RndCumErr,2227.18915
preserved ~ RndCumErr,2227.901009
preserved ~ RndCumErr,2228.250938
preserved ~ RndCumErr,2230.245646
preserved ~ RndCumErr,2232.543407
preserved ~ RndCumErr,2233.994816
preserved ~ RndCumErr,2234.553407
preserved ~ RndCumErr,2234.56727
preserved ~ RndCumErr,2235.605354
preserved ~ RndCumErr,2236.659782
preserved ~ RndCumErr,2237.441469
preserved ~ RndCumErr,2238.029607
preserved ~ RndCumErr,2239.341041
preserved ~ RndCumErr,2239.551734
preserved ~ RndCumErr,2240.08317
preserved ~ RndCumErr,2241.462198
preserved ~ RndCumErr,2241.855748
preserved ~ RndCumErr,2244.538411
preserved ~ RndCumErr,2245.042385
preserved ~ RndCumErr,2245.606755
preserved ~ RndCumErr,2248.847346
preserved ~ RndCumErr,2250.65816
preserved ~ RndCumErr,2250.698712
preserved ~ RndCumErr,2251.242232
preserved ~ RndCumErr,2256.725677
preserved ~ RndCumErr,2259.19457
preserved ~ RndCumErr,2259.963614
preserved ~ RndCumErr,2268.944597
preserved ~ RndCumErr,2270.147578
preserved ~ RndCumErr,2275.938442
preserved ~ RndCumErr,2280.744641
preserved ~ RndCumErr,2287.042559
preserved ~ RndCumErr,2295.946226
preserved ~ RndCumErr,2296.299224
preserved ~ RndCumErr,2296.615085
preserved ~ RndCumErr,2303.724187
Random average,2209.66072
Random SD,42.66872602
