"Name","AIC"
"***preserved ~ CumErr + I(pos^2) + pos + stimlen + log_freq",1914.65585291991
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2003.5882693243
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2016.26509125645
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2027.54395893876
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2063.44738108936
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2068.80686831587
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2073.31326060059
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2073.92866450094
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2074.15452697529
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2074.64058607559
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2075.22414537821
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2076.83455364079
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2078.77488152563
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2079.92867706031
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2082.95604034003
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2085.19712982161
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2085.28847551899
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2089.32084272056
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2091.62620756446
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2094.70873500802
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2095.02954156379
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2095.23753805305
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2095.91851641836
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2096.29646971986
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2099.35251164104
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2099.88391714011
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2100.67851397898
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2101.63483196227
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2102.73691791397
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2106.40350804188
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2107.60465050272
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2109.76845346394
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2112.08978316609
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2112.62753893052
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2112.8011571395
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2113.68841122103
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2113.77188245369
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2114.63459341888
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2114.65887761782
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2115.75054239599
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2118.08714326102
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2119.3375554412
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2119.37713512589
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2119.8794246198
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2119.98220267589
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2120.7805204922
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2121.02168216102
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2121.77941040518
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2121.80425407628
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2122.12456851444
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2123.27412214904
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2125.51581207312
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2126.20144375985
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2127.96570705077
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2129.26323681023
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2129.47166072902
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2129.67893113688
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2132.57379874087
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2132.58769238051
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2132.84179018241
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2133.38138820299
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2134.66975462288
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2135.44973709812
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2135.80433626993
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2135.83631580394
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2136.67078720747
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2138.2433299832
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2139.08862489478
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2139.93618247935
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2141.08381906557
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2142.62412911825
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2143.40621426049
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2143.62843962374
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2145.40729229861
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2146.00423908866
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2152.97152862056
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2154.60369236739
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2155.08774436493
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",2155.29903693522
