"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen * log_freq + I(pos^2) + pos",2842.38324550997,0,1,0.598555806960661,0.0730875796255955,4.78525814073727,-0.194762562260904,0.511752692636565,-0.0505755519030803,-0.427663541951316,NA,NA,0.0296966374270062,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",2843.53605269003,1.15280718005852,0.561915615887021,0.336337854911052,0.0744513469466513,4.75229181961701,-0.198251532861617,0.362636571660418,-0.0555660033016823,-0.401709613417155,NA,0.0789498355162435,0.0275576397180335,NA,-0.00673521363643225,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",2848.17224973873,5.78900422875586,0.0553265645393785,0.0331160364842288,0.0694431557237359,4.80094420111775,-0.190859744727359,0.0941059767512599,NA,-0.439590620068529,NA,NA,0.0309461230900399,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",2849.46095329967,7.07770778969689,0.0290465984684413,0.0173860101857402,0.070779311194924,4.73907835639146,-0.190185330880856,-0.0691684874765539,NA,-0.404817571446539,0.0868995494801463,NA,0.026931268788156,-0.00918366475271654,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",2850.92300243774,8.53975692776521,0.0139834825482438,0.00836989468078441,0.0691819759192797,4.13534417150062,-0.175251765316042,0.525216916432334,-0.0521391119511765,-0.153770876175628,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",2851.83462567849,9.4513801685157,0.00886459448160656,0.00530595450331703,0.069698935154968,4.13612785779124,-0.179226398701438,0.530149836675994,-0.0604301553761533,-0.146694196094485,NA,0.0137804838943628,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",2857.54700570245,15.1637601924808,0.000509602220569465,0.000305025368361901,0.0651800780966927,4.12541797974596,-0.170719374971442,0.0951325640435947,NA,-0.153988211384952,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",2857.90381445033,15.5205689403642,0.00042633528375798,0.00025518545980556,0.0638547175366956,5.01285188041126,-0.21957765656903,NA,NA,-0.442633571736569,NA,NA,0.031312380118822,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",2857.9640006595,15.5807551495341,0.000413696653068787,0.000247620534014512,0.0660267461534208,3.0149069466178,0.0117929685940908,NA,NA,0.806196614326583,NA,NA,-0.124639560757851,NA,NA,-0.141313163444449,0.0173296580361452
"preserved ~ stimlen + pos * log_freq",2859.50063180353,17.1173862935589,0.000191869875632752,0.000114844828240804,0.0652034928460215,4.12349378621109,-0.169723963789118,0.107362586432579,NA,-0.155544416967898,-0.00265772315197057,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * pos",2866.36807454314,23.984829033172,6.19099638966482e-06,3.70565683990636e-06,0.0606536414722709,5.18426328158158,-0.298992913457463,NA,NA,-0.390678833199976,NA,NA,NA,NA,NA,0.0269815952205394,NA
"preserved ~ stimlen + pos",2867.56138141453,25.1781359045622,3.40908049605634e-06,2.04052492731085e-06,0.0594554202241625,4.33169686825708,-0.199642709319817,NA,NA,-0.153443074233876,NA,NA,NA,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",2877.32676978954,34.9435242795689,2.58291499500877e-08,1.54601876914826e-08,0.058767721846118,3.30697977402887,NA,-0.004649736890063,NA,-0.36982904524049,0.0824036462785473,NA,0.0169360541921825,-0.00964391857231165,NA,NA,NA
"preserved ~ pos + log_freq",2880.71707261609,38.333827106118,4.74149403778461e-09,2.83804878998533e-09,0.0549170462357169,2.98397347746035,NA,0.125037659684988,NA,-0.203585417306477,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",2882.00563883527,39.622393325295,2.48946835168264e-09,1.49008573814443e-09,0.0552278861322919,3.00219739273349,NA,0.169118090863481,NA,-0.20840851373953,-0.00971313813069158,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",2887.23012203028,44.8468765203102,1.82652027888759e-10,1.09327431945957e-10,0.0497414813595886,4.1609245249274,-0.259841569299826,0.523729882804634,-0.0520377538219996,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",2893.91057270789,51.5273271979177,6.47117381918336e-12,3.87335866732399e-12,0.0456731334166494,4.15052382282949,-0.255385497835516,0.09397405690395,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",2898.46496006466,56.0817145546898,6.63758990561027e-13,3.97296798222649e-13,0.0462488421507443,3.36526030291679,NA,NA,NA,-0.407143681436594,NA,NA,0.0202476733503346,NA,NA,NA,NA
"preserved ~ pos",2901.70801270789,59.3247671979225,1.31156700576999e-13,7.85046047521631e-14,0.0443450041397413,3.01164910352073,NA,NA,NA,-0.216427137769633,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",2903.79244936912,61.4092038591475,4.62552266090569e-14,2.76863344891323e-14,0.0399613346669146,4.3544171343233,-0.283682567348429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",2989.97138195646,147.588136446489,8.94629826951984e-33,5.35485878002321e-33,0,2.09976440969215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
