"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + I(pos^2) + pos",1946.60873291573,0,1,0.999999974900785,0.421434963916251,3.12498919058486,-1.7775832767983,0.0470996546518675,-0.25423200957762,NA,NA
"preserved ~ CumErr + CumPres",1958.85687769733,0,1,0.999988536796228,0.417007332033071,2.62916618259928,-1.63376051864412,NA,NA,NA,0.143684070719841
"preserved ~ CumErr + pos",1958.85687769733,0,1,0.999988536796228,0.417007332033072,2.48548211187943,-1.77744458936396,NA,0.143684070719847,NA,NA
"preserved ~ CumErr + stimlen",1975.91598881155,0,1,0.945153102411685,0.412523751447086,3.76948386040773,-1.58835934403061,NA,NA,-0.104355571678023,NA
"preserved ~ CumErr",1981.6095914198,35.0008585040723,2.50992153554547e-08,2.50992147254841e-08,0.409731530835244,2.96674094064629,-1.62664669050406,NA,NA,NA,NA
"preserved ~ CumErr",1981.6095914198,5.69360260825601,0.0580296435025881,0.0548468975883152,0.409731530835244,2.96674094064629,-1.62664669050406,NA,NA,NA,NA
"preserved ~ CumErr",1981.6095914198,22.7527137224724,1.14633351783798e-05,1.14632037718328e-05,0.409731530835244,2.96674094064629,-1.62664669050406,NA,NA,NA,NA
"preserved ~ CumErr",1981.6095914198,22.752713722472,1.14633351783824e-05,1.14632037718354e-05,0.409731530835244,2.96674094064629,-1.62664669050406,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",2898.46496006466,951.85622714893,2.02789979813065e-207,2.02789974723196e-207,0.0462488421507443,3.36526030291679,NA,0.0202476733503346,-0.407143681436594,NA,NA
"preserved ~ pos",2901.70801270789,942.851135010562,1.83011088606949e-205,1.83008990713548e-205,0.0443450041397413,3.01164910352073,NA,NA,-0.216427137769633,NA,NA
"preserved ~ stimlen",2903.79244936912,927.876460557571,3.26728219406052e-202,3.08808190217076e-202,0.0399613346669146,4.3544171343233,NA,NA,NA,-0.283682567348429,NA
"preserved ~ CumPres",2948.2786694333,989.421791735972,1.41184749340438e-215,1.41183130910887e-215,0.0183632987546751,1.73148617841152,NA,NA,NA,NA,0.160252837466851
