"Name","AIC"
"***preserved ~ CumErr",1076.54934248918
"preserved ~ RndCumErr",1114.27810713774
"preserved ~ RndCumErr",1130.81401176408
"preserved ~ RndCumErr",1132.44213645346
"preserved ~ RndCumErr",1132.61406173038
"preserved ~ RndCumErr",1134.56996175893
"preserved ~ RndCumErr",1136.18408048071
"preserved ~ RndCumErr",1137.83297057102
"preserved ~ RndCumErr",1138.32999510168
"preserved ~ RndCumErr",1139.41659047868
"preserved ~ RndCumErr",1141.05122614186
"preserved ~ RndCumErr",1141.60711378407
"preserved ~ RndCumErr",1143.00383144259
"preserved ~ RndCumErr",1143.00820615837
"preserved ~ RndCumErr",1145.32856686648
"preserved ~ RndCumErr",1145.61720002027
"preserved ~ RndCumErr",1146.01941989334
"preserved ~ RndCumErr",1146.70790301474
"preserved ~ RndCumErr",1146.96324067075
"preserved ~ RndCumErr",1147.07270454968
"preserved ~ RndCumErr",1148.07664170396
"preserved ~ RndCumErr",1148.5013208041
"preserved ~ RndCumErr",1148.61924908513
"preserved ~ RndCumErr",1151.09438126333
"preserved ~ RndCumErr",1151.60179844217
"preserved ~ RndCumErr",1151.68313731258
"preserved ~ RndCumErr",1151.92305820583
"preserved ~ RndCumErr",1152.54420040629
"preserved ~ RndCumErr",1153.27342163444
"preserved ~ RndCumErr",1153.64590802276
"preserved ~ RndCumErr",1154.12788167776
"preserved ~ RndCumErr",1155.13718133671
"preserved ~ RndCumErr",1155.21665028724
"preserved ~ RndCumErr",1155.90664160358
"preserved ~ RndCumErr",1156.96998398526
"preserved ~ RndCumErr",1158.70147841312
"preserved ~ RndCumErr",1159.47550846209
"preserved ~ RndCumErr",1161.93014033932
"preserved ~ RndCumErr",1162.26619379457
"preserved ~ RndCumErr",1162.4510099339
"preserved ~ RndCumErr",1162.99241884183
"preserved ~ RndCumErr",1163.03245917734
"preserved ~ RndCumErr",1163.36005177563
"preserved ~ RndCumErr",1163.37411627921
"preserved ~ RndCumErr",1164.18082983612
"preserved ~ RndCumErr",1164.41836241918
"preserved ~ RndCumErr",1165.00663005535
"preserved ~ RndCumErr",1165.10748902131
"preserved ~ RndCumErr",1165.50309125107
"preserved ~ RndCumErr",1165.92577166427
"preserved ~ RndCumErr",1166.24230600146
"preserved ~ RndCumErr",1166.2620418518
"preserved ~ RndCumErr",1166.45206085316
"preserved ~ RndCumErr",1167.46711161665
"preserved ~ RndCumErr",1169.91810693555
"preserved ~ RndCumErr",1171.01113317392
"preserved ~ RndCumErr",1171.11478270512
"preserved ~ RndCumErr",1171.85988358051
"preserved ~ RndCumErr",1172.14588460051
"preserved ~ RndCumErr",1172.21723251163
"preserved ~ RndCumErr",1172.28683229477
"preserved ~ RndCumErr",1172.40424491205
"preserved ~ RndCumErr",1172.43242242369
"preserved ~ RndCumErr",1172.49029721816
"preserved ~ RndCumErr",1172.82511919612
"preserved ~ RndCumErr",1173.27284543824
"preserved ~ RndCumErr",1173.79481779838
"preserved ~ RndCumErr",1174.09192139094
"preserved ~ RndCumErr",1175.57093810675
"preserved ~ RndCumErr",1175.86247903892
"preserved ~ RndCumErr",1176.61485475328
"preserved ~ RndCumErr",1176.65437729669
"preserved ~ RndCumErr",1177.94574279679
"preserved ~ RndCumErr",1180.45923510062
"preserved ~ RndCumErr",1181.64932505973
"preserved ~ RndCumErr",1182.73826821909
"preserved ~ RndCumErr",1183.03336511829
"preserved ~ RndCumErr",1183.10812202941
"preserved ~ RndCumErr",1187.71392870154
"preserved ~ RndCumErr",1187.93667247218
"preserved ~ RndCumErr",1189.27742747886
"preserved ~ RndCumErr",1189.28987646702
"preserved ~ RndCumErr",1190.16285530785
"preserved ~ RndCumErr",1190.45421917712
"preserved ~ RndCumErr",1191.40774618131
"preserved ~ RndCumErr",1191.915892321
"preserved ~ RndCumErr",1194.05995820102
"preserved ~ RndCumErr",1194.37420828833
"preserved ~ RndCumErr",1194.47795199514
"preserved ~ RndCumErr",1195.0088988343
"preserved ~ RndCumErr",1196.74350929197
"preserved ~ RndCumErr",1200.61960440777
"preserved ~ RndCumErr",1201.30699196732
"preserved ~ RndCumErr",1201.98903351173
"preserved ~ RndCumErr",1202.46578039506
"preserved ~ RndCumErr",1203.06399470853
"preserved ~ RndCumErr",1203.95648092308
"preserved ~ RndCumErr",1204.93013455106
"preserved ~ RndCumErr",1206.39281742309
"preserved ~ RndCumErr",1212.87859210459
"preserved ~ RndCumErr",1220.07144353396
"Random average",1168.0133210532
"Random SD",21.2772124212202
