"Name","AIC"
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1043.14867773051
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1049.14658145405
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1052.56899767969
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1052.85476830273
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1053.60803499994
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1054.3925814819
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1059.79616797019
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1061.98508601316
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1061.98813959833
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1062.06348782755
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1063.78586344304
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1065.16329676532
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1066.1052894681
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1067.67846760574
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1068.60754869462
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1069.25830921457
"***preserved ~ CumErr + I(pos^2) + pos + stimlen",1069.38065217135
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1070.66364204929
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1070.96435534238
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1071.19221528939
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1071.61322626235
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1071.92253125777
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1072.76443317779
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1072.79014973801
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1073.36471138977
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1074.67766067649
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1075.82777278888
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1075.91686718186
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1076.57712329642
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1077.74000425917
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1078.55693470926
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1079.17063000495
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1079.20844157847
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1079.63173088148
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1080.82357698621
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1080.9315495978
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1081.05175536538
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1081.27494482457
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1082.96092059785
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1083.5808609701
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1083.75349241947
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1084.03994891774
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1084.6690088935
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1086.27522739358
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1086.95683572113
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1087.83243234196
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1088.51487366711
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1091.19984229197
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1091.24929978397
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1091.45086812129
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1091.52880539317
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1091.90273460923
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1092.15991433249
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1092.17644953798
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1092.7312660379
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1093.90674207016
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1094.56205701813
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1094.61032829124
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1094.89537548699
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",1094.9415281157
