"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + I(pos^2) + pos",1072.57378088144,0,1,0.879508159526979,0.264596517585797,2.3070757266493,-1.02878896083878,0.0569979084888794,-0.454138276667087,NA,NA
"preserved ~ CumErr + stimlen",1075.97743324372,0,1,0.571005470662652,0.256432401436513,1.93395133520532,-0.985679349193399,NA,NA,-0.0542510423438973,NA
"preserved ~ CumErr",1076.54934249119,3.97556160974887,0.136999116117154,0.120491840473021,0.255025586804025,1.58636324379654,-1.0111984964431,NA,NA,NA,NA
"preserved ~ CumErr",1076.54934249119,0.571909247472149,0.751296706211063,0.428994529337348,0.255025586804025,1.58636324379654,-1.0111984964431,NA,NA,NA,NA
"preserved ~ CumErr",1076.54934249119,0,1,0.718436887526226,0.255025586804025,1.58636324379654,-1.0111984964431,NA,NA,NA,NA
"preserved ~ CumErr",1076.54934249119,0,1,0.718436887526249,0.255025586804025,1.58636324379654,-1.0111984964431,NA,NA,NA,NA
"preserved ~ CumErr + CumPres",1078.42278496996,1.8734424787624,0.391910712495947,0.281563112473774,0.255206090833714,1.62161343361549,-1.00924294604288,NA,NA,NA,-0.020113847420756
"preserved ~ CumErr + pos",1078.42278496996,1.87344247876263,0.391910712495903,0.281563112473751,0.255206090833715,1.64172728103625,-0.989129098622128,NA,-0.0201138474207558,NA,NA
"preserved ~ pos",1235.89385724211,159.344514750914,2.50483002848583e-35,1.79956228944764e-35,0.106291333781906,2.10686945093614,NA,NA,-0.326405938788654,NA,NA
"preserved ~ I(pos^2) + pos",1237.59300206119,165.019221179749,1.46734223049917e-36,1.29053946454253e-36,0.106764433557956,2.24536794575267,NA,0.0103572285385885,-0.411705660469677,NA,NA
"preserved ~ stimlen",1288.44285457794,212.465421334221,7.30667784732321e-47,4.17215302319116e-47,0.0447413635459049,2.57907414614579,NA,NA,NA,-0.240189601256558,NA
"preserved ~ CumPres",1330.17516395947,253.625821468272,8.43048643781925e-56,6.05677243671892e-56,0.00217963770986158,1.05066167565256,NA,NA,NA,NA,-0.0564506750515027
