"Name","AIC"
"***preserved ~ CumErr",3039.68950101706
"preserved ~ RndCumErr",3518.99440632211
"preserved ~ RndCumErr",3532.66963611475
"preserved ~ RndCumErr",3558.39970341538
"preserved ~ RndCumErr",3559.37987612767
"preserved ~ RndCumErr",3560.84896402998
"preserved ~ RndCumErr",3561.48114981987
"preserved ~ RndCumErr",3564.30658439595
"preserved ~ RndCumErr",3574.72604652766
"preserved ~ RndCumErr",3574.89717326696
"preserved ~ RndCumErr",3576.03496598961
"preserved ~ RndCumErr",3576.27698774653
"preserved ~ RndCumErr",3577.20969194346
"preserved ~ RndCumErr",3577.98246336327
"preserved ~ RndCumErr",3579.76353990844
"preserved ~ RndCumErr",3582.90528019657
"preserved ~ RndCumErr",3584.67697393476
"preserved ~ RndCumErr",3585.63287043222
"preserved ~ RndCumErr",3585.76460110438
"preserved ~ RndCumErr",3586.13014696555
"preserved ~ RndCumErr",3586.44175328447
"preserved ~ RndCumErr",3587.72147669584
"preserved ~ RndCumErr",3588.16277216076
"preserved ~ RndCumErr",3588.76361276654
"preserved ~ RndCumErr",3590.30827267362
"preserved ~ RndCumErr",3590.51784304013
"preserved ~ RndCumErr",3591.5134198645
"preserved ~ RndCumErr",3591.73964078496
"preserved ~ RndCumErr",3594.21386074262
"preserved ~ RndCumErr",3599.23783200581
"preserved ~ RndCumErr",3600.13119026832
"preserved ~ RndCumErr",3600.44159139445
"preserved ~ RndCumErr",3600.54303731625
"preserved ~ RndCumErr",3600.73388023643
"preserved ~ RndCumErr",3601.68222237463
"preserved ~ RndCumErr",3606.24087676405
"preserved ~ RndCumErr",3607.78482307821
"preserved ~ RndCumErr",3609.4970605781
"preserved ~ RndCumErr",3609.93505183434
"preserved ~ RndCumErr",3610.31522712663
"preserved ~ RndCumErr",3612.63611906877
"preserved ~ RndCumErr",3613.76240316944
"preserved ~ RndCumErr",3613.88937968477
"preserved ~ RndCumErr",3614.16636411092
"preserved ~ RndCumErr",3614.26110361654
"preserved ~ RndCumErr",3615.18723349416
"preserved ~ RndCumErr",3615.1999799713
"preserved ~ RndCumErr",3615.23393892508
"preserved ~ RndCumErr",3615.56540578551
"preserved ~ RndCumErr",3615.69617761018
"preserved ~ RndCumErr",3616.18879967534
"preserved ~ RndCumErr",3616.48632549625
"preserved ~ RndCumErr",3618.76970327492
"preserved ~ RndCumErr",3622.34241628353
"preserved ~ RndCumErr",3622.73699343249
"preserved ~ RndCumErr",3625.92578183965
"preserved ~ RndCumErr",3628.18535652322
"preserved ~ RndCumErr",3630.2159683867
"preserved ~ RndCumErr",3631.54208961729
"preserved ~ RndCumErr",3634.63310782034
"preserved ~ RndCumErr",3634.97585506529
"preserved ~ RndCumErr",3636.01701121958
"preserved ~ RndCumErr",3638.15985168674
"preserved ~ RndCumErr",3639.21174004876
"preserved ~ RndCumErr",3641.33416902587
"preserved ~ RndCumErr",3641.3843477418
"preserved ~ RndCumErr",3642.69623147779
"preserved ~ RndCumErr",3645.41359707831
"preserved ~ RndCumErr",3645.86955794273
"preserved ~ RndCumErr",3650.02527345904
"preserved ~ RndCumErr",3650.03711305983
"preserved ~ RndCumErr",3651.30497646777
"preserved ~ RndCumErr",3651.45246658143
"preserved ~ RndCumErr",3652.65235653203
"preserved ~ RndCumErr",3654.44939268327
"preserved ~ RndCumErr",3655.11226317543
"preserved ~ RndCumErr",3655.7311305859
"preserved ~ RndCumErr",3656.10433091581
"preserved ~ RndCumErr",3656.39471244876
"preserved ~ RndCumErr",3656.39754246792
"preserved ~ RndCumErr",3659.08887035618
"preserved ~ RndCumErr",3661.83185597065
"preserved ~ RndCumErr",3664.09813907969
"preserved ~ RndCumErr",3664.28200642278
"preserved ~ RndCumErr",3665.0563972439
"preserved ~ RndCumErr",3666.48666903919
"preserved ~ RndCumErr",3666.52727848644
"preserved ~ RndCumErr",3666.56524714326
"preserved ~ RndCumErr",3670.21031238248
"preserved ~ RndCumErr",3673.06072485193
"preserved ~ RndCumErr",3674.87072132763
"preserved ~ RndCumErr",3676.66495351285
"preserved ~ RndCumErr",3678.89992595668
"preserved ~ RndCumErr",3680.32686657653
"preserved ~ RndCumErr",3685.53630789321
"preserved ~ RndCumErr",3686.11098930501
"preserved ~ RndCumErr",3695.93612707053
"preserved ~ RndCumErr",3702.00040753146
"preserved ~ RndCumErr",3702.61437788458
"preserved ~ RndCumErr",3709.98646811002
"preserved ~ RndCumErr",3718.37484035903
"Random average",3623.8988456055
"Random SD",40.4061722895081
