"Name","AIC"
"***preserved ~ CumErr + I(pos^2) + pos + stimlen + log_freq",2963.30440918265
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3073.24807587492
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3080.02534399045
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3082.78513820768
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3090.41750001001
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3092.09653618175
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3092.46672487637
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3096.87504533269
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3098.38526535562
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3099.19574599709
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3108.59325338743
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3108.7376309671
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3110.53032283565
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3113.32979387284
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3113.35267553547
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3113.98231152629
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3115.32726577727
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3116.04120308402
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3118.8630708402
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3120.76674870305
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3121.72637637871
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3122.56865362595
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3122.80201555952
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3122.98396401564
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3123.34010190791
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3124.37888642198
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3124.66096415576
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3125.23196917061
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3125.37297877334
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3125.57044144318
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3126.78843934826
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3127.03926844514
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3127.87575041927
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3128.13021650961
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3128.28611434311
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3132.49366678552
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3133.00941352296
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3134.24866421618
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3134.92881646156
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3135.96179882629
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3136.19225008541
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3138.2179222169
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3138.31661336167
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3139.19136535711
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3140.18087243365
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3144.12672781722
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3145.27885872562
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3145.38100109054
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3148.22369623636
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3148.44592418933
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3150.67437524775
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3150.76020902524
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3151.725222583
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3152.42446704732
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3152.8799496938
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3152.91229261359
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3154.77654790366
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3156.84549452132
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3156.90932341683
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3157.62372805384
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3157.93846933162
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3159.15552254462
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3159.50055738826
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3160.43313063803
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3160.49149231598
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3160.8991615887
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3161.14436924044
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3161.43940371127
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3164.8175761134
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3165.05549883104
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3165.44053222337
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3167.26916018063
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3167.47748346383
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3168.05348530904
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3168.58206328105
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3168.98823707794
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3169.79211272855
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3170.34247199169
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3175.50861089117
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3177.93226975735
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3178.11827708195
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3178.37003915247
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3178.53580887356
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3179.54716305822
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3179.88080585109
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3180.60681153641
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3180.95386341518
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3181.44897431966
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3181.55323652206
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3185.40357616747
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3186.103585939
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3188.3284603307
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3190.78915851287
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3191.66357643968
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3192.22295148636
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3195.34760305962
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3195.35348774001
