"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen * log_freq + I(pos^2) + pos",3664.68506724734,0,1,0.67103722107104,0.18480728147606,4.87372511535527,-0.115183954990328,0.339792756627906,-0.0314528930625211,-0.764669695959778,NA,NA,0.041775892653466,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",3667.55624431165,2.87117706431491,0.237975266695713,0.159690261647131,0.183317762225581,4.9187257203635,-0.116278383009877,0.0808526514521401,NA,-0.773512590711977,NA,NA,0.0426237977297804,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",3667.84855096359,3.16348371625827,0.205616631095734,0.137976412736471,0.185081930714833,4.89608855066354,-0.118409074161929,0.382796028070615,-0.0384127342272656,-0.770338536970375,NA,-0.00800445581851687,0.0428716930281284,NA,0.00185539962022851,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",3671.49090578136,6.80583853401913,0.0332759865415555,0.0223294255372427,0.183326767374108,4.91361917103812,-0.115535936964264,0.0880928613991176,NA,-0.772934176405619,-0.000924845791649168,NA,0.0424751524537152,-8.77833472303315e-05,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",3674.28502322711,9.59995597977559,0.00822992818866946,0.00552258814133897,0.180802083088912,6.16068813135595,-0.298414243633727,NA,NA,-0.954398756206911,NA,NA,0.021296484648179,NA,NA,0.03724856488545,0.000729151460509729
"preserved ~ stimlen + I(pos^2) + pos",3675.73960484266,11.0545375953288,0.00397683581331078,0.00266860485281985,0.178957104541107,5.09940721778721,-0.140154103667268,NA,NA,-0.77730390500433,NA,NA,0.0431177957525809,NA,NA,NA,NA
"preserved ~ stimlen * pos",3678.31905703305,13.6339897857179,0.0010950065950458,0.000734790182593999,0.178618043353687,6.46405758035839,-0.393532947287621,NA,NA,-0.968300691312865,NA,NA,NA,NA,NA,0.0692889596330217,NA
"preserved ~ (I(pos^2) + pos) * log_freq",3685.03008021557,20.3450129682333,3.82064394672784e-05,2.56379429671414e-05,0.179008956537245,4.05731729666845,NA,0.129495168666734,NA,-0.753267199540191,-0.00456539740611577,NA,0.0363885960094166,-0.000295695418576821,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",3687.05773917499,22.3726719276533,1.38623231358833e-05,9.30213479469192e-06,0.177579339987026,3.86779730816276,-0.0880935282902512,0.359877650015097,-0.0337970205009191,-0.363600058575717,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",3688.93251197738,24.2474447300488,5.42918045219095e-06,3.64318216333143e-06,0.177685724975935,3.86834174657009,-0.0899455011078692,0.360835183315565,-0.0378750644138665,-0.360708728621008,NA,0.00658286135489116,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",3690.8924083941,26.2073411467677,2.03773721639478e-06,1.36739751896259e-06,0.175791055839616,3.89473275610257,-0.0887193417334582,0.082960471901432,NA,-0.364361996066683,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",3692.44658419265,27.7615169453156,9.36835179378889e-07,6.28651275371999e-07,0.175880200140673,3.88821005441547,-0.0865773758979585,0.109454291380222,NA,-0.366862650855288,-0.00537715943296062,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",3697.15702122071,32.4719539733769,8.88801515340036e-08,5.96418898937508e-08,0.172061044173096,4.06619205705939,NA,NA,NA,-0.756700178914792,NA,NA,0.0360449279440369,NA,NA,NA,NA
"preserved ~ pos + log_freq",3699.00353973515,34.3184724878129,3.53051763867508e-08,2.36910874519882e-08,0.173048436688327,3.32324594918674,NA,0.0968097806395078,NA,-0.393463195265245,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos",3699.62569107918,34.9406238318411,2.58666351741433e-08,1.73574749857156e-08,0.171202923621481,4.06820423797613,-0.113081313462594,NA,NA,-0.363158912477843,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",3699.81157592547,35.1265086781341,2.35708669424948e-08,1.58169290513269e-08,0.173319595253885,3.33615000715349,NA,0.142291575719179,NA,-0.396622861096029,-0.00932901923471177,NA,NA,NA,NA,NA,NA
"preserved ~ pos",3713.69865737933,49.0135901319986,2.27422868859242e-11,1.52609209927309e-11,0.166466574082807,3.34735259215056,NA,NA,NA,-0.402395081365845,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",4006.53932824228,341.85426099494,5.8518127034497e-75,3.9267841347511e-75,0.0665523204281045,3.90145203317249,-0.293476084822993,0.36054681864377,-0.0344074211811329,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",4011.01123733367,346.326170086333,6.25500550729238e-76,4.19734151339753e-76,0.0644002510806907,3.92757847583118,-0.294438389039272,0.0763800664453292,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",4018.93639498787,354.251327740531,1.189327819866e-77,7.98083235185363e-78,0.0598429417346268,4.08692950643197,-0.316187829795954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",4185.56992084964,520.8848536023,7.78558385707392e-114,5.22441655586643e-114,1.90981756609122e-16,1.57305264275948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
